frame,time,ball_center_x,ball_center_y,radius,mask_area,source
1,0.000000,654.057,841.010,36.661,3554.5,sam2_mask_circle
2,0.033333,653.609,840.700,36.729,3647.0,sam2_mask_circle
3,0.066667,653.609,840.700,36.730,3640.0,sam2_mask_circle
4,0.100000,653.565,840.754,36.747,3647.5,sam2_mask_circle
5,0.133333,653.565,840.754,36.747,3646.5,sam2_mask_circle
6,0.166667,653.410,840.943,36.810,3645.5,sam2_mask_circle
7,0.200000,653.414,840.939,36.809,3641.5,sam2_mask_circle
8,0.233333,653.414,840.939,36.809,3633.5,sam2_mask_circle
9,0.266667,653.396,841.132,36.746,3629.5,sam2_mask_circle
10,0.300000,653.099,841.510,36.868,3635.5,sam2_mask_circle
11,0.333333,652.971,841.673,36.922,3658.5,sam2_mask_circle
12,0.366667,652.883,841.785,36.960,3659.5,sam2_mask_circle
13,0.400000,653.963,841.114,36.692,3607.5,sam2_mask_circle
14,0.433333,653.951,841.300,36.611,3594.0,sam2_mask_circle
15,0.466667,653.408,841.117,36.741,3651.0,sam2_mask_circle
16,0.500000,653.408,841.117,36.741,3656.0,sam2_mask_circle
17,0.533333,653.408,841.117,36.741,3655.0,sam2_mask_circle
18,0.566667,653.408,841.117,36.741,3659.0,sam2_mask_circle
19,0.600000,653.443,841.127,36.770,3663.0,sam2_mask_circle
20,0.633333,653.443,841.127,36.770,3663.0,sam2_mask_circle
21,0.666667,653.443,841.127,36.770,3669.0,sam2_mask_circle
22,0.700000,654.165,841.055,36.544,3601.5,sam2_mask_circle
23,0.733333,654.171,841.049,36.543,3600.0,sam2_mask_circle
24,0.766667,653.443,841.127,36.770,3666.0,sam2_mask_circle
25,0.800000,653.443,841.127,36.770,3671.0,sam2_mask_circle
26,0.833333,653.643,841.184,36.938,3669.0,sam2_mask_circle
27,0.866667,653.643,841.184,36.938,3667.0,sam2_mask_circle
28,0.900000,653.643,841.184,36.938,3664.0,sam2_mask_circle
29,0.933333,653.643,841.184,36.938,3670.0,sam2_mask_circle
30,0.966667,653.643,841.184,36.938,3670.0,sam2_mask_circle
31,1.000000,653.443,841.127,36.770,3668.0,sam2_mask_circle
32,1.033333,653.656,841.012,37.010,3675.0,sam2_mask_circle
33,1.066667,653.459,840.953,36.846,3678.0,sam2_mask_circle
34,1.100000,653.459,840.953,36.846,3677.0,sam2_mask_circle
35,1.133333,653.459,840.953,36.846,3680.0,sam2_mask_circle
36,1.166667,653.644,841.025,37.014,3686.0,sam2_mask_circle
37,1.200000,653.988,841.259,36.600,3618.5,sam2_mask_circle
38,1.233333,654.260,841.087,36.627,3611.5,sam2_mask_circle
39,1.266667,653.431,840.899,36.786,3651.0,sam2_mask_circle
40,1.300000,652.798,841.817,36.936,3642.5,sam2_mask_circle
41,1.333333,654.351,840.841,36.488,3557.5,sam2_mask_circle
42,1.366667,653.439,841.051,36.708,3641.0,sam2_mask_circle
43,1.400000,653.609,841.700,36.730,3634.5,sam2_mask_circle
44,1.433333,653.609,841.700,36.730,3637.5,sam2_mask_circle
45,1.466667,653.609,841.700,36.730,3638.0,sam2_mask_circle
46,1.500000,653.609,841.700,36.730,3646.0,sam2_mask_circle
47,1.533333,653.609,841.700,36.730,3645.0,sam2_mask_circle
48,1.566667,653.606,841.764,36.706,3645.5,sam2_mask_circle
49,1.600000,653.846,841.767,36.612,3643.5,sam2_mask_circle
50,1.633333,653.662,841.831,36.736,3648.5,sam2_mask_circle
51,1.666667,653.837,841.776,36.616,3622.5,sam2_mask_circle
52,1.700000,683.500,786.000,39.538,3927.5,sam2_mask_circle
53,1.733333,683.000,787.500,39.386,3897.5,sam2_mask_circle
54,1.766667,699.817,711.419,39.901,4525.5,sam2_mask_circle
55,1.800000,712.643,639.364,40.503,4233.0,sam2_mask_circle
56,1.833333,716.460,583.623,40.479,4649.0,sam2_mask_circle
57,1.866667,721.771,532.500,41.269,4794.0,sam2_mask_circle
58,1.900000,726.556,480.972,40.327,4691.5,sam2_mask_circle
59,1.933333,726.960,481.405,40.116,4648.5,sam2_mask_circle
60,1.966667,730.452,438.284,40.442,4676.5,sam2_mask_circle
61,2.000000,732.235,400.765,41.441,4815.5,sam2_mask_circle
62,2.033333,734.710,369.740,40.316,4612.5,sam2_mask_circle
63,2.066667,736.074,343.810,40.055,4734.0,sam2_mask_circle
64,2.100000,736.074,343.810,40.055,4717.5,sam2_mask_circle
65,2.133333,739.344,322.781,40.541,4711.5,sam2_mask_circle
66,2.166667,741.565,305.000,40.449,4755.0,sam2_mask_circle
67,2.200000,742.400,295.001,40.717,4864.0,sam2_mask_circle
68,2.233333,741.873,294.894,41.214,4992.5,sam2_mask_circle
69,2.266667,742.967,291.222,40.804,4871.0,sam2_mask_circle
70,2.300000,743.586,290.133,40.854,4798.5,sam2_mask_circle
71,2.333333,743.302,294.574,40.664,4772.5,sam2_mask_circle
72,2.366667,745.234,303.719,40.376,4785.0,sam2_mask_circle
73,2.400000,747.113,317.616,42.116,5165.5,sam2_mask_circle
74,2.433333,746.693,317.934,40.922,4968.0,sam2_mask_circle
75,2.466667,748.390,336.770,41.030,4862.5,sam2_mask_circle
76,2.500000,748.169,359.727,41.037,4962.5,sam2_mask_circle
77,2.533333,747.893,387.599,41.219,4858.5,sam2_mask_circle
