frame,window_start,window_end,time,contact_type,target,score,confidence_level,source_support,source_proximity,source_motion,source_audio,source_depth,occlusion_score
10,10,10,0.375000,plane_support_contact_event,floor,1.000000,strong,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
22,22,22,0.875000,plane_support_contact_event,floor,1.000000,strong,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
36,36,36,1.458333,plane_support_contact_event,floor,1.000000,strong,1.000000,0.000001,1.000000,0.000000,0.000000,0.000000
50,50,50,2.041667,plane_support_contact_event,floor,1.000000,strong,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
63,63,63,2.583333,plane_support_contact_event,floor,1.000000,strong,1.000000,0.000001,1.000000,0.000000,0.000000,0.000000
76,76,76,3.125000,plane_support_contact_event,floor,1.000000,strong,1.000000,0.000096,1.000000,0.000000,0.000000,0.000000
87,87,87,3.583333,plane_support_contact_event,floor,1.000000,strong,1.000000,0.000013,1.000000,0.000000,0.000000,0.000000
99,99,99,4.083333,plane_support_contact_event,floor,1.000000,strong,1.000000,0.000009,1.000000,0.000000,0.000000,0.000000
112,112,112,4.625000,plane_support_contact_event,floor,1.000000,strong,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
125,125,125,5.166667,plane_support_contact_event,floor,1.000000,strong,1.000000,0.000001,1.000000,0.000000,0.000000,0.000000
137,137,137,5.666667,plane_support_contact_event,floor,1.000000,strong,1.000000,0.000016,1.000000,0.000000,0.000000,0.000000
148,148,148,6.125000,plane_support_contact_event,floor,1.000000,strong,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
160,160,160,6.625000,plane_support_contact_event,floor,1.000000,strong,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
173,173,173,7.166667,plane_support_contact_event,floor,1.000000,strong,1.000000,0.000009,1.000000,0.000000,0.000000,0.000000
186,186,186,7.708333,plane_support_contact_event,floor,1.000000,strong,1.000000,0.000008,1.000000,0.000000,0.000000,0.000000
