start_frame,end_frame,support_surface_type
10,10,floor
22,22,floor
36,36,floor
50,50,floor
63,63,floor
76,76,floor
87,87,floor
99,99,floor
112,112,floor
125,125,floor
137,137,floor
148,148,floor
160,160,floor
173,173,floor
186,186,floor
