frame,time,human_part,human_side,object_part,object_local_id,expected,observed,persistent,rel_static,min_distance_m,surface_gap_m,penetration_depth_m,contact_confidence,contact_state,anchor_update_allowed,pose_anchor_allowed,stable_local_x,stable_local_y,stable_local_z,stable_local_s,observed_local_x,observed_local_y,observed_local_z,observed_local_s,contact_u,contact_v,contact_depth_offset_m,local_s_drift,source
2,0.033333,floor,,floor_support,boundary_015,1,1,0,0,0.200667,0.200667,,0.235541,observed_anchor,1,1,,,,,,,,,618.000,844.000,0.200667,,foot_floor_from_anchor_floor_candidates
3,0.066667,floor,,floor_support,boundary_015,1,1,1,0,0.157906,0.157906,,0.225683,persistent_anchor,1,1,,,,,,,,,618.000,844.000,0.157906,,foot_floor_from_anchor_floor_candidates
4,0.100000,floor,,floor_support,boundary_015,1,1,1,0,0.178775,0.178775,,0.234499,persistent_anchor,1,1,,,,,,,,,617.000,842.000,0.178775,,foot_floor_from_anchor_floor_candidates
12,0.366667,floor,,floor_support,boundary_016,1,1,1,0,0.037447,0.037447,,0.368991,persistent_anchor,1,1,,,,,,,,,617.000,846.000,0.037447,,foot_floor_from_anchor_floor_candidates
13,0.400000,floor,,floor_support,boundary_019,1,1,1,0,0.041385,0.041385,,0.363926,persistent_anchor,1,1,,,,,,,,,618.000,844.000,0.041385,,foot_floor_from_anchor_floor_candidates
15,0.466667,floor,,floor_support,boundary_015,1,1,1,0,0.090029,0.090029,,0.3679,persistent_anchor,1,1,,,,,,,,,617.000,842.000,0.090029,,foot_floor_from_anchor_floor_candidates
16,0.500000,floor,,floor_support,boundary_015,1,1,1,0,0.076517,0.076517,,0.380514,persistent_anchor,1,1,,,,,,,,,617.000,842.000,0.076517,,foot_floor_from_anchor_floor_candidates
17,0.533333,floor,,floor_support,boundary_015,1,1,1,0,0.08197,0.08197,,0.392234,persistent_anchor,1,1,,,,,,,,,617.000,842.000,0.081970,,foot_floor_from_anchor_floor_candidates
18,0.566667,floor,,floor_support,boundary_015,1,1,1,0,0.094602,0.094602,,0.399645,persistent_anchor,1,1,,,,,,,,,617.000,842.000,0.094602,,foot_floor_from_anchor_floor_candidates
19,0.600000,floor,,floor_support,boundary_016,1,1,1,0,0.294268,0.294268,,0.382379,persistent_anchor,1,1,,,,,,,,,618.000,847.000,0.294268,,foot_floor_from_anchor_floor_candidates
20,0.633333,floor,,floor_support,boundary_015,1,1,1,0,0.101772,0.101772,,0.399301,persistent_anchor,1,1,,,,,,,,,617.000,842.000,0.101772,,foot_floor_from_anchor_floor_candidates
21,0.666667,floor,,floor_support,boundary_015,1,1,1,0,0.257731,0.257731,,0.4019,persistent_anchor,1,1,,,,,,,,,617.000,843.000,0.257731,,foot_floor_from_anchor_floor_candidates
22,0.700000,floor,,floor_support,boundary_019,1,1,1,0,0.028804,0.028804,,0.385276,persistent_anchor,1,1,,,,,,,,,618.000,843.000,0.028804,,foot_floor_from_anchor_floor_candidates
23,0.733333,floor,,floor_support,boundary_019,1,1,1,0,0.042575,0.042575,,0.378197,persistent_anchor,1,1,,,,,,,,,618.000,844.000,0.042575,,foot_floor_from_anchor_floor_candidates
24,0.766667,floor,,floor_support,boundary_015,1,1,1,0,0.129988,0.129988,,0.382994,persistent_anchor,1,1,,,,,,,,,617.000,842.000,0.129988,,foot_floor_from_anchor_floor_candidates
25,0.800000,floor,,floor_support,boundary_015,1,1,1,0,0.299789,0.299789,,0.382039,persistent_anchor,1,1,,,,,,,,,617.000,843.000,0.299789,,foot_floor_from_anchor_floor_candidates
26,0.833333,floor,,floor_support,boundary_015,1,1,1,0,0.093246,0.093246,,0.374043,persistent_anchor,1,1,,,,,,,,,617.000,842.000,0.093246,,foot_floor_from_anchor_floor_candidates
27,0.866667,floor,,floor_support,boundary_015,1,1,1,0,0.06786,0.06786,,0.368954,persistent_anchor,1,1,,,,,,,,,617.000,842.000,0.067860,,foot_floor_from_anchor_floor_candidates
28,0.900000,floor,,floor_support,boundary_015,1,1,1,0,0.107331,0.107331,,0.363184,persistent_anchor,1,1,,,,,,,,,617.000,842.000,0.107331,,foot_floor_from_anchor_floor_candidates
29,0.933333,floor,,floor_support,boundary_015,1,1,1,0,0.098975,0.098975,,0.367059,persistent_anchor,1,1,,,,,,,,,617.000,842.000,0.098975,,foot_floor_from_anchor_floor_candidates
30,0.966667,floor,,floor_support,boundary_015,1,1,1,0,0.108579,0.108579,,0.359749,persistent_anchor,1,1,,,,,,,,,617.000,842.000,0.108579,,foot_floor_from_anchor_floor_candidates
31,1.000000,floor,,floor_support,boundary_015,1,1,1,0,0.129213,0.129213,,0.354004,persistent_anchor,1,1,,,,,,,,,617.000,842.000,0.129213,,foot_floor_from_anchor_floor_candidates
32,1.033333,floor,,floor_support,boundary_017,1,1,1,0,0.131726,0.131726,,0.338791,persistent_anchor,1,1,,,,,,,,,618.000,850.000,0.131726,,foot_floor_from_anchor_floor_candidates
33,1.066667,floor,,floor_support,boundary_015,1,1,1,0,0.148562,0.148562,,0.340049,persistent_anchor,1,1,,,,,,,,,617.000,843.000,0.148562,,foot_floor_from_anchor_floor_candidates
34,1.100000,floor,,floor_support,boundary_015,1,1,1,0,0.143099,0.143099,,0.34366,persistent_anchor,1,1,,,,,,,,,617.000,843.000,0.143099,,foot_floor_from_anchor_floor_candidates
35,1.133333,floor,,floor_support,boundary_015,1,1,1,0,0.133222,0.133222,,0.346073,persistent_anchor,1,1,,,,,,,,,617.000,843.000,0.133222,,foot_floor_from_anchor_floor_candidates
36,1.166667,floor,,floor_support,boundary_015,1,1,1,0,0.092147,0.092147,,0.357372,persistent_anchor,1,1,,,,,,,,,617.000,843.000,0.092147,,foot_floor_from_anchor_floor_candidates
37,1.200000,floor,,floor_support,boundary_019,1,1,1,0,0.041779,0.041779,,0.371065,persistent_anchor,1,1,,,,,,,,,618.000,844.000,0.041779,,foot_floor_from_anchor_floor_candidates
38,1.233333,floor,,floor_support,boundary_019,1,1,1,0,0.098543,0.098543,,0.379857,persistent_anchor,1,1,,,,,,,,,618.000,844.000,0.098543,,foot_floor_from_anchor_floor_candidates
39,1.266667,floor,,floor_support,boundary_016,1,1,1,0,0.027629,0.027629,,0.417524,persistent_anchor,1,1,,,,,,,,,618.000,847.000,0.027629,,foot_floor_from_anchor_floor_candidates
43,1.400000,floor,,floor_support,boundary_022,1,1,1,0,-0.006599,-0.006599,,0.587271,persistent_anchor,1,1,,,,,,,,,619.000,854.000,-0.006599,,foot_floor_from_anchor_floor_candidates
44,1.433333,floor,,floor_support,boundary_022,1,1,1,0,-5.8e-05,-5.8e-05,,0.544997,persistent_anchor,1,1,,,,,,,,,619.000,854.000,-0.000058,,foot_floor_from_anchor_floor_candidates
45,1.466667,floor,,floor_support,boundary_022,1,1,1,0,0.000693,0.000693,,0.594347,persistent_anchor,1,1,,,,,,,,,619.000,854.000,0.000693,,foot_floor_from_anchor_floor_candidates
46,1.500000,floor,,floor_support,boundary_022,1,1,1,0,0.017407,0.017407,,0.620582,persistent_anchor,1,1,,,,,,,,,619.000,854.000,0.017407,,foot_floor_from_anchor_floor_candidates
47,1.533333,floor,,floor_support,boundary_022,1,1,1,0,-0.021845,-0.021845,,0.601334,persistent_anchor,1,1,,,,,,,,,619.000,854.000,-0.021845,,foot_floor_from_anchor_floor_candidates
48,1.566667,floor,,floor_support,boundary_022,1,1,1,0,-0.043465,-0.043465,,0.618549,persistent_anchor,1,1,,,,,,,,,619.000,854.000,-0.043465,,foot_floor_from_anchor_floor_candidates
49,1.600000,floor,,floor_support,boundary_022,1,1,1,0,0.00084,0.00084,,0.60437,persistent_anchor,1,1,,,,,,,,,620.000,854.000,0.000840,,foot_floor_from_anchor_floor_candidates
50,1.633333,foot,left,ball_boundary,boundary_022,1,1,0,0,0.057731,0.057731,,0.638653,observed_anchor,1,1,,,,,,,,,619.000,854.000,0.057731,,foot_floor_from_anchor_floor_candidates
51,1.666667,foot,left,ball_boundary,boundary_023,1,1,1,0,-0.03399,-0.03399,,0.681857,persistent_anchor,1,1,,,,,,,,,620.000,854.000,-0.033990,,foot_floor_from_anchor_floor_candidates
52,1.700000,foot,right,ball_boundary,boundary_024,1,1,0,0,1.512038,1.512038,,0.21049,observed_anchor,1,1,,,,,,,,,660.000,813.000,1.512038,,foot_floor_from_anchor_floor_candidates
53,1.733333,foot,right,ball_boundary,boundary_024,1,1,1,0,0.833151,0.833151,,0.453983,persistent_anchor,1,1,,,,,,,,,662.000,813.000,0.833151,,foot_floor_from_anchor_floor_candidates
86,2.833333,foot,left,ball_boundary,boundary_035,1,1,1,0,0.564015,0.564015,,0.460253,persistent_anchor,1,1,,,,,,,,,767.000,735.000,0.564015,,foot_floor_from_anchor_floor_candidates
87,2.866667,foot,left,ball_boundary,boundary_036,1,1,1,0,-1.860545,-1.860545,,0.855085,persistent_anchor,1,1,,,,,,,,,768.000,756.000,-1.860545,,foot_floor_from_anchor_floor_candidates
103,3.400000,foot,right,ball_boundary,boundary_029,1,1,1,0,-1.876007,-1.876007,,0.573501,persistent_anchor,1,1,,,,,,,,,722.000,776.000,-1.876007,,foot_floor_from_anchor_floor_candidates
