frame,time,source,detector,audio_score,audio_event_type,audio_conf,fused_event_type,interaction_mode,contact_quality,contact_constraint,allow_slide,fused_conf,contact_target,target_entity,manip_gamma,manip_weight,promote_anchor,obj_u,obj_v,obj_speed,obj_accel,vel_reversal,nearest_part,part_dist_px,part_speed,flow_mag,proximity_min,flow_spike,visual_cue,attack,decay_ms,centroid,bandwidth,flatness,hf_ratio,zcr,rms,hpr,mfcc1,mfcc2,mfcc3,mfcc4
68,2.78400,audio,combined,0.02475,tap,0.50000,tap,impulsive,soft,point,0,0.30000,either,none,1.00000,0.50000,0,0.00000,0.00000,0.00000,0.00000,0,none,nan,0.00000,0.31129,0,0,none,0.33177,19.00000,1251.71895,1652.43634,0.34136,0.18060,0.07509,0.00310,0.75574,119.32205,9.42332,6.81872,15.28214
77,3.16800,audio,combined,0.01651,tap,0.50000,tap,impulsive,soft,point,0,0.30000,either,none,1.00000,0.50000,0,0.00000,0.00000,0.00000,0.00000,0,none,nan,0.00000,0.29747,0,0,none,0.47671,40.00000,1360.09557,1694.63510,0.34196,0.20973,0.08636,0.00439,0.75825,98.35641,-7.56477,-2.33000,-0.61279
84,3.43800,audio,combined,0.02819,tap,0.50000,tap,impulsive,soft,point,0,0.30000,either,none,1.00000,0.50000,0,0.00000,0.00000,0.00000,0.00000,0,none,nan,0.00000,0.23604,0,0,none,0.33528,32.00000,2645.26772,2170.66767,0.56450,0.50118,0.19399,0.00677,0.52623,63.90313,15.35614,-7.38345,-17.04698
105,4.33600,audio,combined,0.00541,none,0.30000,none,none,na,none,0,0.58000,either,none,0.80000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0,none,nan,0.00000,0.48788,0,1,flow_spike,0.88180,7.00000,938.59825,1402.64786,0.24671,0.13108,0.05507,0.00821,0.63529,142.03224,13.70434,21.15535,7.07391
134,5.53600,audio,combined,1.00000,tap,0.50000,tap,impulsive,soft,point,0,0.30000,either,none,1.00000,0.50000,0,0.00000,0.00000,0.00000,0.00000,0,none,nan,0.00000,0.40485,0,0,none,0.99453,31.00000,862.43254,921.74292,0.13109,0.08557,0.06258,0.38942,0.48265,143.43271,-3.81662,4.44980,-3.49663
142,5.86400,audio,combined,0.29111,tap,0.50000,tap,impulsive,soft,point,0,0.30000,either,none,1.00000,0.50000,0,0.00000,0.00000,0.00000,0.00000,0,none,nan,0.00000,0.38510,0,0,none,0.93261,47.00000,732.27158,759.22511,0.08784,0.04597,0.04881,0.11965,0.85731,193.71771,-17.35806,-2.47559,-10.16516
191,7.90400,audio,combined,0.00000,none,0.30000,none,none,na,none,0,0.18000,either,none,0.80000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0,none,nan,0.00000,0.12017,0,0,none,0.03606,158.00000,984.58861,1470.68333,0.25675,0.13321,0.04506,0.00294,0.57958,130.56604,2.80699,14.73331,21.38242
