frame,time,ball_center_x,ball_center_y,source
1,0.000000,654.000,837.500,cotracker_box_center
2,0.041667,654.170,837.902,cotracker_box_center
3,0.083333,654.102,837.968,cotracker_box_center
4,0.125000,653.801,837.846,cotracker_box_center
5,0.166667,653.770,837.825,cotracker_box_center
6,0.208333,653.819,837.781,cotracker_box_center
7,0.250000,653.867,837.768,cotracker_box_center
8,0.291667,653.930,837.727,cotracker_box_center
9,0.333333,653.986,837.652,cotracker_box_center
10,0.375000,654.038,837.609,cotracker_box_center
11,0.416667,653.972,837.611,cotracker_box_center
12,0.458333,653.976,837.712,cotracker_box_center
13,0.500000,654.015,837.824,cotracker_box_center
14,0.541667,654.028,837.859,cotracker_box_center
15,0.583333,654.155,837.911,cotracker_box_center
16,0.625000,654.179,837.852,cotracker_box_center
17,0.666667,654.285,837.889,cotracker_box_center
18,0.708333,654.346,837.902,cotracker_box_center
19,0.750000,654.294,837.907,cotracker_box_center
20,0.791667,654.443,837.902,cotracker_box_center
21,0.833333,654.378,837.780,cotracker_box_center
22,0.875000,654.271,837.687,cotracker_box_center
23,0.916667,654.257,837.717,cotracker_box_center
24,0.958333,654.224,837.632,cotracker_box_center
25,1.000000,654.207,837.668,cotracker_box_center
26,1.041667,654.131,837.686,cotracker_box_center
27,1.083333,654.011,837.632,cotracker_box_center
28,1.125000,653.935,837.671,cotracker_box_center
29,1.166667,654.002,837.606,cotracker_box_center
30,1.208333,653.894,837.668,cotracker_box_center
31,1.250000,653.917,837.720,cotracker_box_center
32,1.291667,653.993,837.738,cotracker_box_center
33,1.333333,653.500,838.000,cotracker_box_center
34,1.375000,653.254,838.650,cotracker_box_center
35,1.416667,653.395,838.740,cotracker_box_center
36,1.458333,653.452,838.445,cotracker_box_center
37,1.500000,653.564,838.279,cotracker_box_center
38,1.541667,653.607,838.333,cotracker_box_center
39,1.583333,654.168,838.193,cotracker_box_center
40,1.625000,654.243,838.210,cotracker_tb_center
41,1.666667,654.236,838.207,cotracker_tb_center
42,1.708333,654.311,838.167,cotracker_tb_center
43,1.750000,654.502,838.064,cotracker_tb_center
44,1.791667,654.560,838.056,cotracker_tb_center
45,1.833333,654.514,838.194,cotracker_tb_center
46,1.875000,654.630,838.101,cotracker_tb_center
47,1.916667,654.506,838.077,cotracker_tb_center
48,1.958333,654.709,838.064,cotracker_tb_center
49,2.000000,654.689,838.029,cotracker_tb_center
50,2.041667,654.818,837.950,cotracker_tb_center
51,2.083333,654.539,838.109,cotracker_tb_center
52,2.125000,683.372,787.750,cotracker_center_fallback
53,2.166667,682.920,788.018,cotracker_center_fallback
54,2.208333,701.590,711.062,cotracker_center_fallback
55,2.250000,712.130,631.345,cotracker_center_fallback
56,2.291667,717.323,576.827,cotracker_center_fallback
57,2.333333,725.562,523.824,cotracker_center_fallback
58,2.375000,733.116,473.196,cotracker_center_fallback
59,2.416667,734.579,471.799,cotracker_center_fallback
60,2.458333,737.332,428.256,cotracker_center_fallback
