frame,time,u,v,x,y,visible,confidence,source
40,1.625000,544.641,188.229,544.641,188.229,1.000000,1.000000,sam2_mask_center
41,1.666667,539.072,181.836,539.072,181.836,1.000000,1.000000,sam2_mask_center
42,1.708333,534.204,175.275,534.204,175.275,1.000000,1.000000,sam2_mask_center
43,1.750000,529.816,169.130,529.816,169.130,1.000000,1.000000,sam2_mask_center
44,1.791667,524.843,163.967,524.843,163.967,1.000000,1.000000,sam2_mask_center
45,1.833333,519.985,159.265,519.985,159.265,1.000000,1.000000,sam2_mask_center
46,1.875000,515.744,155.029,515.744,155.029,1.000000,1.000000,sam2_mask_center
47,1.916667,511.804,150.925,511.804,150.925,1.000000,1.000000,sam2_mask_center
48,1.958333,508.076,147.355,508.076,147.355,1.000000,1.000000,sam2_mask_center
49,2.000000,505.047,143.171,505.047,143.171,1.000000,1.000000,sam2_mask_center
50,2.041667,501.632,140.092,501.632,140.092,1.000000,1.000000,sam2_mask_center
51,2.083333,499.003,137.022,499.003,137.022,1.000000,1.000000,sam2_mask_center
52,2.125000,496.504,134.596,496.504,134.596,1.000000,1.000000,sam2_mask_center
53,2.166667,494.280,132.238,494.280,132.238,1.000000,1.000000,sam2_mask_center
54,2.208333,492.439,130.073,492.439,130.073,1.000000,1.000000,sam2_mask_center
55,2.250000,491.006,128.029,491.006,128.029,1.000000,1.000000,sam2_mask_center
56,2.291667,489.720,126.078,489.720,126.078,1.000000,1.000000,sam2_mask_center
57,2.333333,488.605,124.417,488.605,124.417,1.000000,1.000000,sam2_mask_center
58,2.375000,487.744,122.532,487.744,122.532,1.000000,1.000000,sam2_mask_center
59,2.416667,486.889,121.319,486.889,121.319,1.000000,1.000000,sam2_mask_center
60,2.458333,486.428,120.118,486.428,120.118,1.000000,1.000000,sam2_mask_center
61,2.500000,485.616,118.306,485.616,118.306,1.000000,1.000000,sam2_mask_center
62,2.541667,484.982,117.160,484.982,117.160,1.000000,1.000000,sam2_mask_center
63,2.583333,484.748,116.257,484.748,116.257,1.000000,1.000000,sam2_mask_center
64,2.625000,484.428,115.126,484.428,115.126,1.000000,1.000000,sam2_mask_center
65,2.666667,484.156,113.764,484.156,113.764,1.000000,1.000000,sam2_mask_center
