frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
16,0.500000,654.179,837.852,654.179,837.852,654.179,837.852,cotracker_box_center,center,654.179,868.276,868.276,30.424,30.424,cotracker_bottom,,,stage2_contact_policy,5.048080,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.027719,5.048080,5.048080,5.048080,1.000000,0.000000,,,36.741
17,0.533333,654.285,837.889,654.285,837.889,654.285,837.889,cotracker_box_center,center,654.285,868.330,868.330,30.441,30.441,cotracker_bottom,,,stage2_contact_policy,5.049184,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.029492,5.049184,5.049184,5.049184,1.000000,0.000000,,,36.741
18,0.566667,654.347,837.902,654.347,837.902,654.347,837.902,cotracker_box_center,center,654.347,868.373,868.373,30.471,30.471,cotracker_bottom,,,stage2_contact_policy,5.045833,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.032811,5.045833,5.045833,5.045833,1.000000,0.000000,,,36.741
19,0.600000,654.294,837.907,654.294,837.907,654.294,837.907,cotracker_box_center,center,654.294,868.409,868.409,30.502,30.502,cotracker_bottom,,,stage2_contact_policy,5.036422,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.076352,5.036422,5.036422,5.036422,1.000000,0.000000,,,36.770
20,0.633333,654.443,837.902,654.443,837.902,654.443,837.902,cotracker_box_center,center,654.443,868.439,868.439,30.537,30.537,cotracker_bottom,,,stage2_contact_policy,5.030533,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.065503,5.030533,5.030533,5.030533,1.000000,0.000000,,,36.770
21,0.666667,654.378,837.780,654.378,837.780,654.378,837.780,cotracker_box_center,center,654.378,868.348,868.348,30.568,30.568,cotracker_bottom,,,stage2_contact_policy,5.030694,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.033823,5.030694,5.030694,5.030694,1.000000,0.000000,,,36.770
22,0.700000,654.271,837.687,654.271,837.687,654.271,837.687,cotracker_box_center,center,654.271,868.257,868.257,30.570,30.570,cotracker_bottom,,,stage2_contact_policy,5.029874,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.989257,5.029874,5.029874,5.029874,1.000000,0.000000,,,36.544
23,0.733333,654.257,837.717,654.257,837.717,654.257,837.717,cotracker_box_center,center,654.257,868.295,868.295,30.578,30.578,cotracker_bottom,,,stage2_contact_policy,5.018841,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.986495,5.018841,5.018841,5.018841,1.000000,0.000000,,,36.543
24,0.766667,654.224,837.632,654.224,837.632,654.224,837.632,cotracker_box_center,center,654.224,868.193,868.193,30.561,30.561,cotracker_bottom,,,stage2_contact_policy,5.002802,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.030617,5.002802,5.002802,5.002802,1.000000,0.000000,,,36.770
25,0.800000,654.207,837.668,654.207,837.668,654.207,837.668,cotracker_box_center,center,654.207,868.176,868.176,30.508,30.508,cotracker_bottom,,,stage2_contact_policy,4.996577,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.027071,4.996577,4.996577,4.996577,1.000000,0.000000,,,36.770
26,0.833333,654.131,837.686,654.131,837.686,654.131,837.686,cotracker_box_center,center,654.131,868.163,868.163,30.477,30.477,cotracker_bottom,,,stage2_contact_policy,4.996014,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.999119,4.996014,4.996014,4.996014,1.000000,0.000000,,,36.938
27,0.866667,654.010,837.632,654.010,837.632,654.010,837.632,cotracker_box_center,center,654.010,868.122,868.122,30.490,30.490,cotracker_bottom,,,stage2_contact_policy,4.998157,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.953236,4.998157,4.998157,4.998157,1.000000,0.000000,,,36.938
28,0.900000,653.935,837.671,653.935,837.671,653.935,837.671,cotracker_box_center,center,653.935,868.159,868.159,30.488,30.488,cotracker_bottom,,,stage2_contact_policy,4.990281,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.990242,4.990281,4.990281,4.990281,1.000000,0.000000,,,36.938
29,0.933333,654.001,837.606,654.001,837.606,654.001,837.606,cotracker_box_center,center,654.001,868.069,868.069,30.463,30.463,cotracker_bottom,,,stage2_contact_policy,4.981416,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.985319,4.981416,4.981416,4.981416,1.000000,0.000000,,,36.938
30,0.966667,653.894,837.668,653.894,837.668,653.894,837.668,cotracker_box_center,center,653.894,868.143,868.143,30.475,30.475,cotracker_bottom,,,stage2_contact_policy,4.980618,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.001494,4.980618,4.980618,4.980618,1.000000,0.000000,,,36.938
