case,variant,metric,value,unit,better_direction,scope,source
suitcase_drag,no_audio,rotation_path_179_240,40.6734,deg,lower,audio motion interval,samples_known_object/15_suitcase_drag/results/ablation_evaluation/case_specific_metrics.csv
volleyball,full,visible_mask_error_mean_px,0.9535263227188311,px,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,full,visible_mask_error_p95_px,4.100257440963886,px,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,full,identity_interval_145_180_error_p95_px,0.007720989367814948,px,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,full,missing_mask_frame_count,32,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,full,missing_mask_projected_center_outside_count,31,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,full,missing_mask_boundary_sticking_count,1,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,full,contact_gap_p95_mm,77.59063954924488,mm,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,full,contact_gap_max_mm,91.07174869483694,mm,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,full,trajectory_acceleration_p95_m_per_frame2,0.0721037640212118,m/frame^2,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,full,trajectory_jerk_p95_m_per_frame3,0.108930435189272,m/frame^3,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,full,vlm_contact_event_count,10,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,full,contact_audio_nearest_error_mean_frames,0.0,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,full,offscreen_floor_contact_frames,162,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,full,offscreen_floor_bottom_error_px,5.73223774107737,px,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,full,offscreen_unexplained_down_to_up_reversal_count,0,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_audio,visible_mask_error_mean_px,0.9636738779336399,px,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_audio,visible_mask_error_p95_px,4.100589616543439,px,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_audio,identity_interval_145_180_error_p95_px,0.03977763929380575,px,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_audio,missing_mask_frame_count,32,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_audio,missing_mask_projected_center_outside_count,31,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_audio,missing_mask_boundary_sticking_count,1,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_audio,contact_gap_p95_mm,85.49930558555299,mm,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_audio,contact_gap_max_mm,91.0558256391219,mm,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_audio,trajectory_acceleration_p95_m_per_frame2,0.07231530852110947,m/frame^2,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_audio,trajectory_jerk_p95_m_per_frame3,0.11690638605885624,m/frame^3,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_audio,vlm_contact_event_count,10,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_audio,contact_audio_nearest_error_mean_frames,0.0,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_audio,offscreen_floor_contact_frames,159,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_audio,offscreen_floor_bottom_error_px,227.85327881566513,px,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_audio,offscreen_unexplained_down_to_up_reversal_count,1,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_vlm,visible_mask_error_mean_px,78.17347612432016,px,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_vlm,visible_mask_error_p95_px,569.1432815645186,px,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_vlm,identity_interval_145_180_error_p95_px,704.1423903126183,px,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_vlm,missing_mask_frame_count,32,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_vlm,missing_mask_projected_center_outside_count,8,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_vlm,missing_mask_boundary_sticking_count,1,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_vlm,contact_gap_p95_mm,141.11437700648315,mm,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_vlm,contact_gap_max_mm,141.11437700648315,mm,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_vlm,trajectory_acceleration_p95_m_per_frame2,0.12573959414108832,m/frame^2,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_vlm,trajectory_jerk_p95_m_per_frame3,0.2006662206939578,m/frame^3,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_vlm,vlm_contact_event_count,0,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
volleyball,no_vlm,offscreen_unexplained_down_to_up_reversal_count,3,count,lower,volleyball challenge evaluation,output/volleyball_unified_ablation_evaluation/ablation_metrics.csv
back_view_basketball,full,overlay_hard_score,0.6211777179703378,score,higher,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,full,contact_gap_mm,35.47312500000002,mm,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,full,contact_proxy,0.49190852724936696,score,higher,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,full,tradeoff_score,0.7013619088953769,score,higher,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,full,translation_velocity_mean_m_per_frame,0.05569783471463602,,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,full,translation_acceleration_mean_m_per_frame2,0.01739968988850277,m/frame^2,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,full,translation_spike_count,12,,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,full,non_event_spike_count,12,,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,full,gate_active_count,5,,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,full,hoi_contact_pair_rows,80,,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_audio,overlay_hard_score,0.6435205666878552,score,higher,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_audio,contact_gap_mm,218.49550000000005,mm,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_audio,contact_proxy,0.012652379230895478,score,higher,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_audio,tradeoff_score,0.11248279526618939,score,higher,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_audio,translation_velocity_mean_m_per_frame,0.0572083826350457,,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_audio,translation_acceleration_mean_m_per_frame2,0.016367981552559634,m/frame^2,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
back_view_basketball,no_audio,translation_spike_count,12,,lower,back-view basketball final ablation,output/back_view_basketball_final_ablation_metrics.csv
