frame,time,site_id,body_part,side,x_m,y_m,z_m,coordinate_frame,confidence,source
21,0.833333,right_hand,hand,right,0.004354537,-0.105553657,3.255533457,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
22,0.875000,left_hand,hand,left,-0.961426139,0.155102015,3.210257530,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
22,0.875000,right_hand,hand,right,-0.011769384,-0.146257639,3.277709246,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
23,0.916667,left_hand,hand,left,-0.977192521,0.166062653,3.178972960,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
23,0.916667,right_hand,hand,right,-0.032461792,-0.170268476,3.296310902,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
24,0.958333,left_hand,hand,left,-0.985964537,0.181041837,3.161258936,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
24,0.958333,right_hand,hand,right,-0.058852077,-0.180868626,3.315818310,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
25,1.000000,left_hand,hand,left,-0.990923822,0.193138540,3.176555634,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
25,1.000000,right_hand,hand,right,-0.092323363,-0.179790050,3.356668949,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
26,1.041667,left_hand,hand,left,-0.992185235,0.199887246,3.184208393,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
26,1.041667,right_hand,hand,right,-0.127460718,-0.170113951,3.370277405,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
27,1.083333,left_hand,hand,left,-0.998829246,0.200721920,3.175516844,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
27,1.083333,right_hand,hand,right,-0.161916256,-0.155866086,3.355623722,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
28,1.125000,left_hand,hand,left,-1.013077140,0.196463257,3.171342850,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
28,1.125000,right_hand,hand,right,-0.197712660,-0.131329536,3.338677883,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
29,1.166667,left_hand,hand,left,-1.027957678,0.183213174,3.173129320,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
29,1.166667,right_hand,hand,right,-0.232083112,-0.102103084,3.320564747,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
30,1.208333,left_hand,hand,left,-1.032977104,0.167428195,3.178159237,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
30,1.208333,right_hand,hand,right,-0.259082496,-0.063669592,3.291044712,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
31,1.250000,left_hand,hand,left,-1.027944565,0.149577081,3.199748516,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
31,1.250000,right_hand,hand,right,-0.278093278,-0.016630203,3.252176285,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
32,1.291667,left_hand,hand,left,-1.005404234,0.132012516,3.237688780,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
32,1.291667,right_hand,hand,right,-0.283988714,0.029762954,3.199176073,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
