frame,time,site_id,body_part,side,x_m,y_m,z_m,coordinate_frame,confidence,source
1,0.000000,left_hand,hand,left,-0.211490837,-0.035504350,3.948372555,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
1,0.000000,right_hand,hand,right,0.548294067,-0.107771993,3.427067900,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
1,0.000000,left_foot,foot,left,-0.160528854,0.600227833,4.067901134,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
1,0.000000,right_foot,foot,right,0.392800033,0.672896147,3.485995770,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
2,0.041667,left_hand,hand,left,-0.211555278,-0.035342833,3.948526430,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
2,0.041667,right_hand,hand,right,0.552440166,-0.117920384,3.414574623,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
2,0.041667,left_foot,foot,left,-0.165425703,0.601773262,4.067459106,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
2,0.041667,right_foot,foot,right,0.387657940,0.674687326,3.485075235,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
3,0.083333,left_hand,hand,left,-0.206700128,-0.035352048,3.955084515,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
3,0.083333,right_hand,hand,right,0.559118009,-0.131512490,3.399571753,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
3,0.083333,left_foot,foot,left,-0.168466449,0.603602052,4.069319248,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
3,0.083333,right_foot,foot,right,0.384561867,0.677535594,3.486802578,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
4,0.125000,left_hand,hand,left,-0.197143894,-0.035522801,3.963021708,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
4,0.125000,right_hand,hand,right,0.567156839,-0.147918385,3.383193636,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
4,0.125000,left_foot,foot,left,-0.171337843,0.605664730,4.072418213,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
4,0.125000,right_foot,foot,right,0.381664991,0.680591822,3.489804506,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
5,0.166667,left_hand,hand,left,-0.184209788,-0.038205144,3.974426174,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
5,0.166667,right_hand,hand,right,0.575940979,-0.171333423,3.365853882,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
