frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema
23,0.916667,0.021683,0.324050,2.322355,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.712,564.922,653.712,564.922,588.811,588.811,653.712,564.922,588.811,2.322355,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
24,0.958333,-0.016757,0.244622,2.373848,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,629.633,511.338,629.633,511.338,533.640,533.640,629.633,511.338,533.640,2.373848,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
25,1.000000,-0.052545,0.179030,2.410287,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,607.984,469.084,607.984,469.084,488.097,488.097,607.984,469.084,488.097,2.410287,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
26,1.041667,-0.108395,0.111181,2.431295,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,574.525,427.158,574.525,427.158,442.675,442.675,574.525,427.158,442.675,2.431295,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
27,1.083333,-0.169526,0.058299,2.454642,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,538.573,394.880,538.573,394.880,406.950,406.950,538.573,394.880,406.950,2.454642,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
28,1.125000,-0.194827,0.012039,2.495390,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,525.339,367.085,525.339,367.085,385.974,385.974,525.339,367.085,385.974,2.495390,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
29,1.166667,-0.220617,-0.028107,2.570753,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.967,343.943,513.967,343.943,367.475,367.475,513.967,343.943,367.475,2.570753,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
30,1.208333,-0.246323,-0.058358,2.634653,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,502.695,327.470,502.695,327.470,354.554,354.554,502.695,327.470,354.554,2.634653,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
31,1.250000,-0.261511,-0.082609,2.646714,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,494.893,314.162,494.893,314.162,338.902,338.902,494.893,314.162,338.902,2.646714,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
32,1.291667,-0.277536,-0.101495,2.725977,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,490.479,305.320,490.479,305.320,328.519,328.519,490.479,305.320,328.519,2.725977,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
33,1.333333,-0.279530,-0.126880,2.725977,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,489.405,291.644,489.405,291.644,335.000,335.000,489.405,291.644,335.000,2.725977,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
34,1.375000,-0.275040,-0.128857,2.725977,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,491.824,290.579,491.824,290.579,334.348,334.348,491.824,290.579,334.348,2.725977,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
35,1.416667,-0.252796,-0.119235,2.646714,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,499.729,293.839,499.729,293.839,334.966,334.966,499.729,293.839,334.966,2.646714,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
36,1.458333,-0.229900,-0.103094,2.623449,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,511.302,302.288,511.302,302.288,339.641,339.641,511.302,302.288,339.641,2.623449,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
37,1.500000,-0.202543,-0.080660,2.566949,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.121,313.853,524.121,313.853,343.092,343.092,524.121,313.853,343.092,2.566949,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
38,1.541667,-0.168358,-0.040947,2.541014,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,542.696,336.334,542.696,336.334,339.736,339.736,542.696,336.334,339.736,2.541014,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
39,1.583333,-0.103534,0.029317,2.533120,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.975,376.997,579.975,376.997,338.573,338.573,579.975,376.997,338.573,2.533120,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
40,1.625000,0.003376,0.127534,2.472854,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,642.005,435.741,642.005,435.741,339.013,339.013,642.005,435.741,339.013,2.472854,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
41,1.666667,0.062583,0.230330,2.392787,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,678.411,501.368,678.411,501.368,339.674,339.674,678.411,501.368,339.674,2.392787,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
42,1.708333,0.131107,0.321709,2.378825,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,720.941,558.612,720.941,558.612,339.784,339.784,720.941,558.612,339.784,2.378825,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
43,1.750000,0.170964,0.254882,2.284574,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,749.902,523.847,749.902,523.847,339.924,339.924,749.902,523.847,339.924,2.284574,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
44,1.791667,0.215623,0.186396,2.283946,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,778.648,479.855,778.648,479.855,339.960,339.960,778.648,479.855,339.960,2.283946,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
45,1.833333,0.250070,0.106898,2.283946,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,800.798,428.737,800.798,428.737,339.071,339.071,800.798,428.737,339.071,2.283946,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
46,1.875000,0.333294,0.052406,2.283946,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,854.312,393.698,854.312,393.698,339.397,339.397,854.312,393.698,339.397,2.283946,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
47,1.916667,0.384232,0.000629,2.331382,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,882.039,360.396,882.039,360.396,339.107,339.107,882.039,360.396,339.107,2.331382,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
48,1.958333,0.422021,-0.049448,2.331382,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,905.843,328.851,905.843,328.851,338.950,338.950,905.843,328.851,338.950,2.331382,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
49,2.000000,0.452816,-0.089944,2.363690,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,921.343,304.116,921.343,304.116,338.693,338.693,921.343,304.116,338.693,2.363690,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
50,2.041667,0.497441,-0.123301,2.510986,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,930.939,287.885,930.939,287.885,338.703,338.703,930.939,287.885,338.703,2.510986,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
51,2.083333,0.499190,-0.134833,2.510986,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,931.962,281.140,931.962,281.140,338.658,338.658,931.962,281.140,338.658,2.510986,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
52,2.125000,0.490039,-0.131507,2.510986,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,926.610,283.085,926.610,283.085,338.475,338.475,926.610,283.085,338.475,2.510986,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
53,2.166667,0.461120,-0.106406,2.510986,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,909.696,297.766,909.696,297.766,338.628,338.628,909.696,297.766,338.628,2.510986,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
54,2.208333,0.410451,-0.058035,2.471666,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,883.880,325.517,883.880,325.517,338.567,338.567,883.880,325.517,338.567,2.471666,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
55,2.250000,0.338710,0.020741,2.364022,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,850.417,372.885,850.417,372.885,339.006,339.006,850.417,372.885,339.006,2.364022,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
56,2.291667,0.246726,0.105484,2.322724,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,795.999,426.695,795.999,426.695,339.040,339.040,795.999,426.695,339.040,2.322724,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
57,2.333333,0.162739,0.238715,2.319976,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,743.018,511.113,743.018,511.113,339.074,339.074,743.018,511.113,339.074,2.319976,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
58,2.375000,0.062812,0.322824,2.299375,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,680.118,566.187,680.118,566.187,339.670,339.670,680.118,566.187,339.670,2.299375,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
59,2.416667,-0.002209,0.269169,2.317119,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,638.600,530.601,638.600,530.601,340.006,340.006,638.600,530.601,340.006,2.317119,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
60,2.458333,-0.065980,0.196738,2.319976,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,598.233,484.540,598.233,484.540,340.595,340.595,598.233,484.540,340.595,2.319976,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
61,2.500000,-0.112851,0.135754,2.322724,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,568.647,445.834,568.647,445.834,342.832,342.832,568.647,445.834,342.832,2.322724,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
62,2.541667,-0.166995,0.070354,2.322724,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,534.413,404.483,534.413,404.483,351.893,351.893,534.413,404.483,351.893,2.322724,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
63,2.583333,-0.217179,0.022130,2.427511,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,508.610,373.388,508.610,373.388,410.000,410.000,508.610,373.388,410.000,2.427511,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
64,2.625000,-0.264583,-0.019381,2.627148,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,492.095,349.166,492.095,349.166,395.832,395.832,492.095,349.166,395.832,2.627148,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
65,2.666667,-0.285686,-0.034188,2.830564,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,491.775,342.262,491.775,342.262,386.000,386.000,491.775,342.262,386.000,2.830564,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
