frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
15,0.583333,870.630,253.132,871.012,253.722,ref,886.930,204.490,human_nearest_mesh_topk,886.930,195.570,204.490,-57.562,-58.153,bottom_percentile_95,2.519008,2.438792,-0.080216,1.000000,0.000000,0.384373,0.000000,0.100000,0.005151,5.128000,0.625000,5.000000,8.000000,right_hand,0.384373,924.860,199.584,3.384464,top,2.554217,2.519008,0.000000,8.920181,0.463237,0.000000
16,0.625000,858.380,262.325,857.820,262.587,ref,872.574,213.058,human_nearest_mesh_topk,872.574,217.957,213.058,-44.368,-44.630,bottom_percentile_95,2.553501,2.479540,-0.073961,1.000000,0.000000,0.352255,0.000000,0.100000,1.000000,0.000000,0.097000,5.000000,8.000000,right_hand,0.352255,914.107,208.945,3.405329,top,2.581723,2.553501,0.000000,4.898886,0.675448,0.000000
17,0.666667,840.976,282.898,841.282,282.822,ref,853.695,229.609,human_nearest_mesh_topk,853.695,265.443,229.609,-17.455,-17.379,bottom_percentile_95,2.554695,2.438967,-0.115728,1.000000,0.000000,0.327167,0.000000,0.100000,1.000000,0.000000,4.647000,5.000000,8.000000,right_hand,0.327167,898.376,230.553,3.423162,top,2.555671,2.554695,0.000000,35.834381,0.694026,0.000000
18,0.708333,821.992,313.981,821.921,313.935,ref,858.182,283.781,human_nearest_sphere_proxy,821.992,329.176,361.117,15.195,15.241,sphere_proxy_bottom,2.463953,2.432984,-0.030969,1.000000,0.000000,0.522171,1.000000,1.000000,1.000000,0.000000,19.612000,5.000000,8.000000,right_hand,0.522171,878.137,267.128,3.447600,sphere:surface,2.389710,2.463953,1.000000,31.940552,0.672453,0.000000
19,0.750000,801.427,355.589,803.380,355.559,ref,836.064,324.997,human_nearest_sphere_proxy,801.427,396.983,401.801,41.394,41.424,sphere_proxy_bottom,2.372889,2.304278,-0.068612,1.000000,0.000000,0.632957,0.000000,0.100000,1.000000,0.000000,7.880000,5.000000,8.000000,right_hand,0.632957,849.776,312.887,3.501749,sphere:surface,2.298383,2.372889,0.000000,4.818105,0.846674,0.000000
20,0.791667,780.114,408.274,776.669,409.412,ref,804.523,368.563,human_nearest_sphere_proxy,780.114,461.587,454.887,53.313,52.176,sphere_proxy_bottom,2.277622,2.230284,-0.047338,1.000000,0.000000,0.693015,0.000000,0.100000,1.000000,0.000000,1.151000,5.000000,8.000000,right_hand,0.693015,812.204,356.067,3.558395,sphere:surface,2.199676,2.277622,0.000000,6.700381,1.000000,0.000000
21,0.833333,736.099,472.937,736.030,477.351,ref,746.253,447.355,human_nearest_sphere_proxy,736.099,518.676,500.461,45.739,41.325,sphere_proxy_bottom,2.172351,2.103730,-0.068621,1.000000,0.000000,0.215664,0.000000,0.100000,1.000000,0.000000,17.938000,5.000000,8.000000,right_hand,0.215664,768.891,390.322,3.606349,sphere:surface,2.086219,2.172351,0.000000,18.214790,0.420044,0.000000
22,0.875000,687.619,537.204,689.658,528.438,ref,650.872,548.114,human_nearest_sphere_proxy,687.619,569.659,575.536,32.455,41.221,sphere_proxy_bottom,2.219424,2.945457,0.726033,1.000000,0.000000,0.080517,0.000000,0.100000,0.000000,64.267000,6.485000,5.000000,8.000000,left_foot,0.080517,554.268,576.794,4.041654,sphere:surface,2.257939,2.219424,0.000000,5.877171,1.000000,0.500000
23,0.916667,653.712,564.922,653.939,539.683,ref,608.575,570.347,human_nearest_sphere_proxy,653.712,582.403,610.384,17.481,42.720,sphere_proxy_bottom,2.268500,2.738714,0.470215,1.000000,0.000000,0.257197,0.000000,0.100000,0.000000,91.985000,4.743000,5.000000,8.000000,left_foot,0.257197,554.646,576.828,4.044904,sphere:surface,2.308653,2.268500,0.000000,27.981171,1.000000,0.750000
24,0.958333,629.633,511.338,630.219,510.718,ref,595.906,540.851,human_nearest_sphere_proxy,629.633,553.355,556.155,42.017,42.637,sphere_proxy_bottom,2.318900,3.013912,0.695013,1.000000,0.000000,0.253458,0.515451,0.515451,0.000000,38.401000,6.485000,5.000000,8.000000,left_foot,0.253458,554.588,577.006,4.048297,sphere:surface,2.360136,2.318900,0.515451,2.800210,0.985273,1.000000
25,1.000000,607.984,469.084,605.965,469.718,ref,600.458,429.067,human_nearest_sphere_proxy,607.984,508.178,509.803,39.094,38.460,sphere_proxy_bottom,2.387510,2.450789,0.063279,1.000000,0.000000,0.325540,0.362525,0.362525,1.000000,0.000000,2.387000,5.000000,8.000000,left_hand,0.325540,592.161,384.949,3.924985,sphere:surface,2.443646,2.387510,0.362525,1.624581,0.450735,0.750000
26,1.041667,574.525,427.158,573.163,428.400,ref,567.586,397.854,human_nearest_sphere_proxy,574.525,462.350,457.272,35.192,33.951,sphere_proxy_bottom,2.435686,2.410571,-0.025115,1.000000,0.000000,0.625934,0.171520,0.171520,1.000000,0.000000,10.019000,5.000000,8.000000,left_hand,0.625934,563.267,379.618,3.940128,sphere:surface,2.475102,2.435686,0.171520,5.078238,0.303367,0.500000
27,1.083333,538.573,394.880,542.522,394.423,ref,532.071,366.239,human_nearest_sphere_proxy,538.573,427.017,424.250,32.137,32.594,sphere_proxy_bottom,2.418727,2.366096,-0.052631,1.000000,0.000000,0.997027,0.362525,0.362525,1.000000,0.000000,10.763000,5.000000,8.000000,left_hand,0.997027,532.044,366.123,3.953395,sphere:surface,2.404851,2.418727,0.362525,2.766905,0.824780,0.000000
28,1.125000,525.339,367.085,523.702,366.927,ref,497.580,341.814,human_nearest_sphere_proxy,525.339,401.907,404.624,34.822,34.981,sphere_proxy_bottom,2.422061,2.430503,0.008443,1.000000,0.000000,1.000000,0.171520,0.171520,1.000000,0.000000,2.594000,5.000000,8.000000,left_hand,1.000000,501.907,345.753,3.954866,sphere:surface,2.424788,2.422061,0.171520,2.716514,0.479883,0.000000
29,1.166667,513.967,343.943,513.527,344.416,ref,479.185,323.921,human_nearest_sphere_proxy,513.967,384.174,384.076,40.231,39.758,sphere_proxy_bottom,2.454113,2.505513,0.051400,1.000000,0.205605,0.929721,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.929721,476.659,322.467,3.960560,sphere:surface,2.480337,2.454113,1.000000,0.097810,0.243298,0.000000
30,1.208333,502.695,327.470,502.991,327.058,ref,466.142,305.630,human_nearest_sphere_proxy,502.695,369.946,370.050,42.476,42.888,sphere_proxy_bottom,2.547492,2.595242,0.047749,1.000000,0.000000,0.755392,0.000000,0.100000,1.000000,0.000000,2.447000,5.000000,8.000000,left_hand,0.755392,456.510,299.875,3.966894,sphere:surface,2.623894,2.547492,0.000000,0.104229,0.212293,0.000000
31,1.250000,494.893,314.162,494.798,315.071,ref,458.929,290.315,human_nearest_sphere_proxy,494.893,358.035,357.314,43.873,42.965,sphere_proxy_bottom,2.680826,2.710099,0.029273,1.000000,0.000000,0.635060,0.000000,0.100000,1.000000,0.000000,3.019000,5.000000,8.000000,left_hand,0.635060,443.792,280.279,3.997981,sphere:surface,2.789917,2.680826,0.000000,0.721410,0.112006,0.000000
32,1.291667,490.479,305.320,490.830,302.936,ref,456.023,278.988,human_nearest_sphere_proxy,490.479,345.001,348.686,39.681,42.065,sphere_proxy_bottom,2.649178,2.622617,-0.026562,1.000000,0.000000,0.544063,0.945765,0.945765,0.143669,4.414000,3.233000,5.000000,8.000000,left_hand,0.544063,436.677,264.204,4.013071,sphere:surface,2.623285,2.649178,0.945765,3.684538,0.112970,0.000000
33,1.333333,489.405,291.644,489.769,294.215,ref,476.176,283.755,human_nearest_mesh_topk,489.405,334.737,328.497,43.093,40.522,bottom_percentile_95,2.685499,2.723347,0.037848,1.000000,0.000000,0.404075,0.000000,0.100000,0.000000,11.975512,5.727400,5.000000,8.000000,left_hand,0.404075,438.695,256.362,4.046260,left,2.715216,2.685499,0.000000,6.240543,0.395101,0.000000
34,1.375000,491.824,290.579,492.519,290.312,ref,476.237,295.545,human_nearest_mesh_topk,491.221,329.857,330.066,39.278,39.545,bottom_percentile_95,2.713596,2.726879,0.013284,1.000000,0.324089,0.410527,0.000000,0.100000,0.000000,12.104522,1.036600,5.000000,8.000000,left_hand,0.410527,446.780,254.014,4.077885,left,2.736583,2.713596,0.000000,0.209033,0.450574,0.000000
35,1.416667,499.729,293.839,499.689,294.456,ref,479.236,299.615,human_nearest_mesh_topk,495.032,335.620,332.829,41.781,41.164,bottom_percentile_95,2.760142,2.786443,0.026301,1.000000,0.000000,0.453270,0.000000,0.100000,0.000000,8.449000,0.497700,5.000000,8.000000,left_hand,0.453270,464.153,260.570,4.110874,left,2.798226,2.760142,0.000000,2.791481,0.260277,0.000000
36,1.458333,511.302,302.288,510.708,301.350,ref,483.905,268.086,human_nearest_sphere_proxy,511.302,340.547,346.110,38.259,39.196,sphere_proxy_bottom,2.634862,2.541517,-0.093346,1.000000,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,4.832300,5.000000,8.000000,left_hand,1.000000,491.391,277.432,4.141050,sphere:surface,2.532360,2.634862,0.000000,5.563462,0.313382,0.000000
37,1.500000,524.121,313.853,523.398,313.899,ref,530.753,273.875,human_nearest_sphere_proxy,524.121,345.924,354.377,32.071,32.025,sphere_proxy_bottom,2.580486,2.540851,-0.039635,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.036600,5.000000,8.000000,left_hand,1.000000,527.654,292.556,4.176919,sphere:surface,2.535996,2.580486,1.000000,8.452810,0.883700,0.000000
38,1.541667,542.696,336.334,543.288,336.965,ref,501.298,339.736,human_nearest_mesh_topk,501.298,365.872,339.736,29.538,28.906,bottom_percentile_95,2.602031,8.251026,5.648995,1.000000,0.000000,0.179600,0.000000,0.100000,1.000000,0.000000,37.122000,5.000000,8.000000,left_hand,0.179600,566.246,317.402,4.188097,bottom,2.619659,2.602031,0.000000,26.135657,1.000000,0.000000
39,1.583333,579.975,376.997,584.811,377.948,ref,594.313,361.128,human_nearest_sphere_proxy,579.975,407.602,398.384,30.605,29.653,sphere_proxy_bottom,2.501224,2.369289,-0.131936,1.000000,0.000000,0.630914,0.683892,0.683892,1.000000,0.000000,22.235000,5.000000,8.000000,left_hand,0.630914,606.664,347.458,4.135716,sphere:surface,2.418746,2.501224,0.683892,9.217552,1.000000,0.000000
40,1.625000,642.005,435.741,634.966,439.070,ref,639.063,392.218,human_nearest_sphere_proxy,642.005,473.551,479.363,37.810,34.481,sphere_proxy_bottom,2.466541,2.493992,0.027451,1.000000,0.000000,0.549636,0.683892,0.683892,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.549636,637.449,368.333,4.088703,sphere:surface,2.438163,2.466541,0.683892,5.812410,0.430370,0.000000
