frame,part,kind,dist_before_m,dist_after_m,radius_m,pose_delta_deg
112,right_hand,touch,0.0330,0.0460,0.0450,0.65
113,right_hand,touch,0.0363,0.0460,0.0450,0.48
114,right_hand,touch,0.0422,0.0460,0.0450,0.47
115,right_hand,touch,0.0625,0.0493,0.0450,0.89
116,right_hand,touch,0.0661,0.0493,0.0450,0.98
117,right_hand,touch,0.0599,0.0481,0.0450,0.76
118,right_hand,touch,0.0549,0.0466,0.0450,0.56
119,right_hand,touch,0.0543,0.0464,0.0450,0.55
120,right_hand,touch,0.0572,0.0471,0.0450,0.78
121,right_hand,touch,0.0655,0.0503,0.0450,1.19
122,right_hand,touch,0.0702,0.0498,0.0450,1.30
123,right_hand,touch,0.0673,0.0480,0.0450,1.03
124,right_hand,touch,0.0626,0.0475,0.0450,0.77
125,right_hand,touch,0.0584,0.0467,0.0450,0.59
126,right_hand,touch,0.0598,0.0470,0.0450,0.62
127,right_hand,touch,0.0640,0.0473,0.0450,0.79
128,right_hand,touch,0.0696,0.0473,0.0450,1.08
129,right_hand,touch,0.0819,0.0532,0.0450,1.56
134,right_hand,touch,0.0845,0.0497,0.0450,1.15
135,right_hand,touch,0.0821,0.0479,0.0450,1.18
136,right_hand,touch,0.0821,0.0480,0.0450,1.28
137,right_hand,touch,0.0848,0.0527,0.0450,1.48
138,right_hand,touch,0.0835,0.0549,0.0450,2.23
139,right_hand,touch,0.0817,0.0512,0.0450,2.50
140,right_hand,touch,0.0811,0.0505,0.0450,2.57
141,right_hand,touch,0.0815,0.0510,0.0450,2.63
142,right_hand,touch,0.0802,0.0502,0.0450,2.58
143,right_hand,touch,0.0790,0.0506,0.0450,2.57
144,right_hand,touch,0.0792,0.0502,0.0450,2.54
145,right_hand,touch,0.0803,0.0506,0.0450,2.56
146,right_hand,touch,0.0812,0.0507,0.0450,2.53
147,right_hand,touch,0.0809,0.0508,0.0450,2.42
148,right_hand,touch,0.0798,0.0499,0.0450,2.17
149,right_hand,touch,0.0771,0.0492,0.0450,1.86
150,right_hand,touch,0.0741,0.0482,0.0450,1.52
151,right_hand,touch,0.0729,0.0480,0.0450,1.28
152,right_hand,touch,0.0718,0.0477,0.0450,1.12
153,right_hand,touch,0.0723,0.0476,0.0450,1.06
154,right_hand,touch,0.0746,0.0477,0.0450,1.14
155,right_hand,touch,0.0778,0.0484,0.0450,1.36
156,right_hand,touch,0.0760,0.0513,0.0450,1.57
157,right_hand,touch,0.0689,0.0498,0.0450,1.14
158,right_hand,touch,0.0645,0.0477,0.0450,0.77
159,right_hand,touch,0.0624,0.0473,0.0450,0.51
160,right_hand,touch,0.0608,0.0473,0.0450,0.43
161,right_hand,touch,0.0603,0.0477,0.0450,0.42
162,right_hand,touch,0.0557,0.0476,0.0450,0.46
163,right_hand,touch,0.0501,0.0473,0.0450,0.52
164,right_hand,touch,0.0417,0.0467,0.0450,1.02
165,right_hand,touch,0.0335,0.0463,0.0450,1.75
166,right_hand,touch,0.0179,0.0454,0.0450,2.72
167,right_hand,touch,0.0190,0.0457,0.0450,2.10
168,right_hand,penetration,0.0288,0.0457,0.0450,1.34
