frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema
23,0.916667,-0.252938,-1.095081,4.127770,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,550.008,-29.615,550.008,-29.615,42.791,42.791,550.008,-29.615,42.791,4.127770,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
24,0.958333,-0.249299,-1.081864,4.129170,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,551.333,-24.782,551.333,-24.782,32.267,32.267,551.333,-24.782,32.267,4.129170,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
25,1.000000,-0.247072,-1.054861,4.129170,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,552.125,-15.178,552.125,-15.178,36.279,36.279,552.125,-15.178,36.279,4.129170,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
26,1.041667,-0.227275,-0.991268,4.129170,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,559.166,7.440,559.166,7.440,68.524,68.524,559.166,7.440,68.524,4.129170,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
27,1.083333,-0.207672,-1.034167,4.129170,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,566.138,-7.818,566.138,-7.818,10.941,10.941,566.138,-7.818,10.941,4.129170,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
28,1.125000,-0.185793,-0.926369,3.859413,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,569.301,7.493,569.301,7.493,32.008,32.008,569.301,7.493,32.008,3.859413,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
29,1.166667,-0.175478,-0.859731,3.813940,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,572.430,28.950,572.430,28.950,58.460,58.460,572.430,28.950,58.460,3.813940,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
30,1.208333,-0.163317,-0.756299,3.686960,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,574.947,58.748,574.947,58.748,89.601,89.601,574.947,58.748,89.601,3.686960,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
31,1.250000,-0.154737,-0.651375,3.591494,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,576.726,93.645,576.726,93.645,125.914,125.914,576.726,93.645,125.914,3.591494,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
32,1.291667,-0.128239,-0.480328,3.054919,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,578.351,129.090,578.351,129.090,165.197,165.197,578.351,129.090,165.197,3.054919,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
33,1.333333,-0.107162,-0.430780,2.952477,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,586.696,145.724,586.696,145.724,179.883,179.883,586.696,145.724,179.883,2.952477,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
34,1.375000,-0.111996,-0.461067,2.939680,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,584.049,129.660,584.049,129.660,162.878,162.878,584.049,129.660,162.878,2.939680,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
35,1.416667,-0.124515,-0.516638,2.939680,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,577.795,101.898,577.795,101.898,136.304,136.304,577.795,101.898,136.304,2.939680,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
36,1.458333,-0.135494,-0.576104,2.939680,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,572.310,72.190,572.310,72.190,106.970,106.970,572.310,72.190,106.970,2.939680,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
37,1.500000,-0.144469,-0.637694,2.939680,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,567.826,41.421,567.826,41.421,76.607,76.607,567.826,41.421,76.607,2.939680,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
38,1.541667,-0.159307,-0.729211,3.132323,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,565.308,18.106,565.308,18.106,51.898,51.898,565.308,18.106,51.898,3.132323,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
39,1.583333,-0.168473,-0.788220,3.238910,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,563.610,2.601,563.610,2.601,34.225,34.225,563.610,2.601,34.225,3.238910,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
40,1.625000,-0.212824,-0.981658,3.895924,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,559.774,-10.045,559.774,-10.045,21.082,21.082,559.774,-10.045,21.082,3.895924,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
41,1.666667,-0.230306,-1.002196,3.895924,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,553.184,-17.787,553.184,-17.787,10.542,10.542,553.184,-17.787,10.542,3.895924,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
42,1.708333,-0.237768,-1.012660,3.924377,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,551.021,-18.964,551.021,-18.964,7.733,7.733,551.021,-18.964,7.733,3.924377,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
