frame,visual_spike,raw_visual_spike,contact_spike,smoothness_spike,freeze_or_propagate,motion_regime,pre_smooth_translation_jump_m,final_translation_jump_m,visual_spike_threshold_m,velocity_spike_threshold,accel_spike_threshold,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,delta_translation_m,delta_rotation_rad
49,0,1,0,0,optimize,short_impact,0.238172,0.002816,0.300000,0.420000,0.340000,0,0,0,0,0.266013,0.000000
50,0,0,0,0,optimize,sustained_grasp,0.043944,0.002377,0.180000,0.220000,0.220000,0,0,0,0,0.293199,0.000000
51,0,0,0,0,optimize,uniform_motion,0.046035,0.001978,0.180000,0.220000,0.220000,0,0,0,0,0.263516,0.000000
52,0,0,0,0,optimize,uniform_motion,0.053470,0.001748,0.180000,0.220000,0.220000,0,0,0,0,0.236630,0.000000
53,0,0,0,0,optimize,uniform_motion,0.060798,0.001565,0.180000,0.220000,0.220000,0,0,0,0,0.187936,0.000000
54,0,1,0,0,optimize,high_speed,0.362546,0.002114,0.300000,0.420000,0.340000,0,0,1,0,0.177689,0.000000
55,0,0,0,0,optimize,uniform_motion,0.031004,0.004575,0.180000,0.220000,0.220000,0,0,0,0,0.199088,0.000000
56,0,0,0,0,optimize,low_speed,0.024437,0.006338,0.100000,0.120000,0.120000,0,0,0,0,0.226295,0.000000
57,0,0,0,0,optimize,static_hold,0.006608,0.006948,0.100000,0.120000,0.120000,0,0,0,0,0.236186,0.000000
58,0,0,0,0,optimize,static_hold,0.009210,0.007398,0.100000,0.120000,0.120000,0,0,0,0,0.238614,0.000000
59,0,0,0,0,optimize,low_speed,0.022811,0.007962,0.100000,0.120000,0.120000,0,0,0,0,0.225696,0.000000
60,0,0,0,0,optimize,low_speed,0.027559,0.008808,0.100000,0.120000,0.120000,0,0,0,0,0.217397,0.000000
61,0,0,0,0,optimize,free_motion,0.077486,0.017137,0.180000,0.220000,0.220000,0,0,0,0,0.163797,0.000000
62,0,0,0,0,optimize,free_motion,0.065681,0.039892,0.180000,0.220000,0.220000,0,0,0,0,0.163698,0.000000
63,0,1,0,0,optimize,high_speed,0.285823,0.117984,0.300000,0.420000,0.340000,0,0,0,0,0.117228,0.000000
64,0,1,0,0,optimize,high_speed,0.539743,0.117990,0.300000,0.420000,0.340000,0,0,1,1,0.464972,0.000000
