frame,time,contact_id,human_part,human_side,object_part,contact_observed,contact_persistent,anchor_update_allowed,pose_anchor_allowed,stable_local_x,stable_local_y,stable_local_z,stable_local_s,observed_local_x,observed_local_y,observed_local_z,observed_local_s,contact_confidence,anchor_action,source
1,0.000000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.731943,inactive,hand_floor_from_anchor_floor_candidates
2,0.041667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.709560,inactive,hand_floor_from_anchor_floor_candidates
3,0.083333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.601317,inactive,hand_floor_from_anchor_floor_candidates
4,0.125000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.564318,inactive,hand_floor_from_anchor_floor_candidates
5,0.166667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.590843,inactive,hand_floor_from_anchor_floor_candidates
6,0.208333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.613379,inactive,hand_floor_from_anchor_floor_candidates
7,0.250000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.644333,inactive,hand_floor_from_anchor_floor_candidates
8,0.291667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.750518,inactive,hand_floor_from_anchor_floor_candidates
9,0.333333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.845389,inactive,hand_floor_from_anchor_floor_candidates
10,0.375000,right_hand_ball_boundary,hand,right,ball_boundary,1,0,1,1,,,,,,,,,0.896059,update,hand_floor_from_anchor_floor_candidates
11,0.416667,right_hand_ball_boundary,hand,right,ball_boundary,1,1,1,1,,,,,,,,,0.941664,update,hand_floor_from_anchor_floor_candidates
12,0.458333,right_hand_ball_boundary,hand,right,ball_boundary,1,1,1,1,,,,,,,,,0.814154,update,hand_floor_from_anchor_floor_candidates
13,0.500000,right_hand_ball_boundary,hand,right,ball_boundary,1,1,1,1,,,,,,,,,0.589389,update,hand_floor_from_anchor_floor_candidates
14,0.541667,right_hand_ball_boundary,hand,right,ball_boundary,1,1,1,1,,,,,,,,,0.403047,update,hand_floor_from_anchor_floor_candidates
15,0.583333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.464909,inactive,hand_floor_from_anchor_floor_candidates
28,1.125000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.051795,inactive,hand_floor_from_anchor_floor_candidates
29,1.166667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.093090,inactive,hand_floor_from_anchor_floor_candidates
30,1.208333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.172320,inactive,hand_floor_from_anchor_floor_candidates
31,1.250000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.383853,inactive,hand_floor_from_anchor_floor_candidates
32,1.291667,right_hand_ball_boundary,hand,right,ball_boundary,1,1,1,1,,,,,,,,,0.752599,update,hand_floor_from_anchor_floor_candidates
33,1.333333,right_hand_ball_boundary,hand,right,ball_boundary,1,1,1,1,,,,,,,,,0.942394,update,hand_floor_from_anchor_floor_candidates
34,1.375000,right_hand_ball_boundary,hand,right,ball_boundary,1,1,1,1,,,,,,,,,0.893828,update,hand_floor_from_anchor_floor_candidates
35,1.416667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.831394,inactive,hand_floor_from_anchor_floor_candidates
36,1.458333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.592166,inactive,hand_floor_from_anchor_floor_candidates
37,1.500000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.542171,inactive,hand_floor_from_anchor_floor_candidates
38,1.541667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.494493,inactive,hand_floor_from_anchor_floor_candidates
39,1.583333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.451373,inactive,hand_floor_from_anchor_floor_candidates
45,1.833333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.112115,inactive,hand_floor_from_anchor_floor_candidates
46,1.875000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.119106,inactive,hand_floor_from_anchor_floor_candidates
47,1.916667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.156608,inactive,hand_floor_from_anchor_floor_candidates
48,1.958333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.253514,inactive,hand_floor_from_anchor_floor_candidates
49,2.000000,left_hand_ball_boundary,hand,left,ball_boundary,1,0,1,1,,,,,,,,,0.545093,update,hand_floor_from_anchor_floor_candidates
50,2.041667,left_hand_ball_boundary,hand,left,ball_boundary,1,1,1,1,,,,,,,,,0.803402,update,hand_floor_from_anchor_floor_candidates
51,2.083333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.578114,inactive,hand_floor_from_anchor_floor_candidates
52,2.125000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.364823,inactive,hand_floor_from_anchor_floor_candidates
53,2.166667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.232138,inactive,hand_floor_from_anchor_floor_candidates
54,2.208333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.151168,inactive,hand_floor_from_anchor_floor_candidates
55,2.250000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.106120,inactive,hand_floor_from_anchor_floor_candidates
56,2.291667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.081529,inactive,hand_floor_from_anchor_floor_candidates
57,2.333333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.071845,inactive,hand_floor_from_anchor_floor_candidates
58,2.375000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.075721,inactive,hand_floor_from_anchor_floor_candidates
59,2.416667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.089348,inactive,hand_floor_from_anchor_floor_candidates
60,2.458333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.116805,inactive,hand_floor_from_anchor_floor_candidates
61,2.500000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.164338,inactive,hand_floor_from_anchor_floor_candidates
62,2.541667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.235753,inactive,hand_floor_from_anchor_floor_candidates
63,2.583333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.390283,inactive,hand_floor_from_anchor_floor_candidates
64,2.625000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.611823,inactive,hand_floor_from_anchor_floor_candidates
65,2.666667,left_hand_ball_boundary,hand,left,ball_boundary,1,1,1,1,,,,,,,,,0.711993,update,hand_floor_from_anchor_floor_candidates
66,2.708333,left_hand_ball_boundary,hand,left,ball_boundary,1,1,1,1,,,,,,,,,0.663601,update,hand_floor_from_anchor_floor_candidates
67,2.750000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.611650,inactive,hand_floor_from_anchor_floor_candidates
68,2.791667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.609368,inactive,hand_floor_from_anchor_floor_candidates
69,2.833333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.550064,inactive,hand_floor_from_anchor_floor_candidates
70,2.875000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.415354,inactive,hand_floor_from_anchor_floor_candidates
71,2.916667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.301293,inactive,hand_floor_from_anchor_floor_candidates
87,3.583333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.032645,inactive,hand_floor_from_anchor_floor_candidates
88,3.625000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.055779,inactive,hand_floor_from_anchor_floor_candidates
89,3.666667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.098501,inactive,hand_floor_from_anchor_floor_candidates
90,3.708333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.173019,inactive,hand_floor_from_anchor_floor_candidates
91,3.750000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.299018,inactive,hand_floor_from_anchor_floor_candidates
92,3.791667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.584358,inactive,hand_floor_from_anchor_floor_candidates
93,3.833333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.750651,inactive,hand_floor_from_anchor_floor_candidates
94,3.875000,left_hand_ball_boundary,hand,left,ball_boundary,1,1,1,1,,,,,,,,,0.887605,update,hand_floor_from_anchor_floor_candidates
