frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
15,0.583333,526.062,19.868,536.422,24.202,ref,537.537,42.056,human_nearest_mesh_topk,567.000,29.901,27.841,10.033,5.699,bottom_percentile_95,2.936559,3.533741,0.597181,1.000000,0.000000,0.464909,0.000000,0.100000,0.000000,35.466974,7.979300,5.000000,8.000000,left_hand,0.212730,522.373,70.750,4.498757,grid_09_08,3.544712,2.936559,0.000000,2.060181,1.000000,0.000000
28,1.125000,569.301,7.493,558.771,17.131,ref,579.707,27.899,human_nearest_mesh_topk,585.481,19.001,29.607,11.508,1.870,bottom_percentile_95,2.960686,3.704804,0.744119,1.000000,0.000000,0.051795,0.000000,0.100000,0.000000,41.750000,19.527200,5.000000,8.000000,left_hand,0.051795,567.137,147.603,4.458335,grid_10_09,3.670923,2.960686,0.000000,10.605971,1.000000,0.000000
29,1.166667,572.430,28.950,575.826,31.286,ref,580.742,55.635,human_nearest_mesh_topk,603.434,34.295,26.707,5.345,3.009,bottom_percentile_95,2.971543,3.860665,0.889123,1.000000,0.000000,0.093090,0.000000,0.100000,0.012919,20.293000,10.216000,5.000000,8.000000,left_hand,0.039037,567.457,151.349,4.469454,grid_10_07,3.835844,2.971543,0.000000,7.587943,1.000000,0.000000
30,1.208333,574.947,58.748,574.886,57.799,ref,581.617,85.706,human_nearest_mesh_topk,606.986,66.156,56.780,7.408,8.356,bottom_percentile_95,2.976428,3.804161,0.827733,1.000000,0.000000,0.172320,0.000000,0.100000,1.000000,0.000000,24.081800,5.000000,8.000000,left_hand,0.077919,567.734,156.910,4.480277,grid_10_05,3.807860,2.976428,0.000000,9.375255,0.058293,0.000000
31,1.250000,576.726,93.645,576.414,96.291,ref,583.702,122.755,human_nearest_mesh_topk,584.122,113.677,120.869,20.032,17.386,bottom_percentile_95,2.978627,3.570074,0.591448,1.000000,0.000000,0.383853,0.000000,0.100000,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.379449,567.717,161.033,4.493819,grid_11_06,3.592038,2.978627,0.000000,7.191702,0.000000,0.000000
32,1.291667,578.351,129.090,579.551,123.113,ref,575.019,155.546,human_nearest_mesh_topk,582.196,150.576,159.751,21.486,27.463,bottom_percentile_95,2.963802,2.936038,-0.027764,1.000000,0.000000,0.752599,0.662403,0.662403,0.000000,27.197684,1.613250,5.000000,8.000000,left_hand,0.630818,564.251,160.998,4.498758,grid_09_04,2.951672,2.963802,0.662403,9.174538,1.000000,0.000000
33,1.333333,586.696,145.724,583.259,134.931,ref,561.978,150.724,human_nearest_mesh_topk,587.284,167.310,175.466,21.586,32.379,bottom_percentile_95,3.000267,3.033328,0.033061,1.000000,0.000000,0.942394,0.603504,0.603504,0.000000,44.720757,0.000000,5.000000,8.000000,left_hand,0.699649,559.097,155.115,4.501987,grid_08_01,3.030103,3.000267,0.603504,8.156221,1.000000,0.000000
34,1.375000,584.049,129.660,583.399,125.116,ref,558.726,135.144,human_nearest_mesh_topk,581.537,155.248,158.708,25.588,30.131,bottom_percentile_95,2.968293,2.939905,-0.028388,1.000000,0.000000,0.893828,0.197522,0.197522,0.000000,28.457708,1.215000,5.000000,8.000000,left_hand,0.621033,549.817,142.489,4.498874,grid_08_01,2.942132,2.968293,0.197522,3.459638,0.918660,0.000000
35,1.416667,577.795,101.898,578.377,104.035,ref,588.251,131.940,human_nearest_mesh_topk,572.295,134.317,132.161,32.419,30.283,bottom_percentile_95,2.918155,2.888605,-0.029550,1.000000,0.000000,0.831394,0.000000,0.100000,1.000000,0.000000,0.398250,5.000000,8.000000,right_hand,0.550028,595.330,142.717,4.675942,grid_10_09,2.877133,2.918155,0.000000,2.156902,0.005633,0.000000
36,1.458333,572.310,72.190,572.247,71.536,ref,553.979,93.441,human_nearest_mesh_topk,563.846,102.336,102.961,30.146,30.800,bottom_percentile_95,3.029883,2.768297,-0.261586,1.000000,0.000000,0.592166,0.000000,0.100000,1.000000,0.000000,0.072400,5.000000,8.000000,left_hand,0.491051,535.552,104.009,4.508545,grid_08_01,2.737623,3.029883,0.000000,0.625126,0.000000,0.000000
37,1.500000,567.826,41.421,568.007,42.108,ref,551.817,66.695,human_nearest_mesh_topk,558.275,74.200,72.696,32.779,32.092,bottom_percentile_95,2.922186,2.870785,-0.051401,1.000000,0.000000,0.542171,0.000000,0.100000,1.000000,0.000000,0.576950,5.000000,8.000000,left_hand,0.484883,530.004,82.856,4.492305,grid_11_05,2.834070,2.922186,0.000000,1.503505,0.124609,0.000000
38,1.541667,565.308,18.106,566.638,17.515,ref,554.166,46.772,human_nearest_mesh_topk,554.983,48.192,49.759,30.086,30.677,bottom_percentile_95,3.096405,3.250238,0.153833,1.000000,0.000000,0.494493,0.481408,0.481408,1.000000,0.000000,0.954050,5.000000,8.000000,left_hand,0.453430,527.385,67.365,4.486267,grid_11_05,3.238948,3.096405,0.481408,1.566390,0.503096,0.000000
39,1.583333,563.610,2.601,559.601,3.428,ref,551.181,28.689,human_nearest_mesh_topk,552.072,30.880,33.300,28.279,27.453,bottom_percentile_95,3.110096,3.139034,0.028938,1.000000,0.000000,0.451373,1.000000,1.000000,0.245814,15.505000,0.000000,5.000000,8.000000,left_hand,0.436825,529.605,58.572,4.476511,grid_11_05,3.121297,3.110096,1.000000,2.419376,0.829255,0.000000
45,1.833333,546.068,2.748,549.722,3.343,ref,557.863,23.971,human_nearest_mesh_topk,543.137,26.937,21.777,24.189,23.595,bottom_percentile_95,3.116256,4.283251,1.166995,1.000000,0.000000,0.112115,0.000000,0.100000,0.252965,15.358000,1.305300,5.000000,8.000000,left_hand,0.098788,547.458,114.322,4.377166,grid_10_09,4.237286,3.116256,0.000000,5.160090,0.788229,0.000000
46,1.875000,542.786,17.578,541.853,17.066,ref,555.073,40.086,human_nearest_mesh_topk,540.282,37.563,37.913,19.985,20.497,bottom_percentile_95,3.123949,3.743588,0.619639,1.000000,0.138665,0.119106,0.000000,0.100000,0.974317,0.528000,0.000000,5.000000,8.000000,left_hand,0.105322,547.320,127.742,4.374390,grid_10_09,3.702170,3.123949,0.000000,0.349376,0.480576,0.000000
47,1.916667,541.238,39.773,541.173,39.959,ref,553.405,62.079,human_nearest_mesh_topk,538.837,58.444,59.442,18.671,18.485,bottom_percentile_95,3.187198,3.712915,0.525717,1.000000,0.001645,0.156608,0.000000,0.100000,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.137904,545.288,138.616,4.389480,grid_10_09,3.697065,3.187198,0.000000,0.998124,0.102518,0.000000
48,1.958333,539.786,67.839,539.529,70.309,ref,549.636,88.806,human_nearest_mesh_topk,537.717,89.400,85.694,21.561,19.091,bottom_percentile_95,3.462557,3.696502,0.233945,1.000000,0.000000,0.253514,0.098195,0.100000,1.000000,0.000000,1.573000,5.000000,8.000000,left_hand,0.224672,542.669,145.285,4.410905,grid_10_09,3.687851,3.462557,0.098195,3.705781,0.000000,0.000000
49,2.000000,537.549,98.113,537.767,92.811,ref,544.333,121.236,human_nearest_mesh_topk,538.630,111.733,119.842,13.620,18.921,bottom_percentile_95,3.497209,3.107380,-0.389830,1.000000,0.000000,0.545093,0.000000,0.100000,0.000000,23.436000,2.060400,5.000000,8.000000,left_hand,0.525716,539.451,146.633,4.422485,grid_11_06,3.130242,3.497209,0.000000,8.109288,0.891712,0.000000
50,2.041667,536.645,116.615,536.643,102.407,ref,537.064,134.116,human_nearest_mesh_topk,536.019,121.363,134.522,4.748,18.956,bottom_percentile_95,3.602062,2.875936,-0.726126,1.000000,0.000000,0.803402,0.000000,0.100000,0.000000,41.947742,1.761350,5.000000,8.000000,left_hand,0.773186,535.635,145.022,4.433266,grid_11_06,2.884040,3.602062,0.000000,13.159200,1.000000,0.000000
51,2.083333,536.604,97.210,536.490,93.222,ref,541.933,119.615,human_nearest_mesh_topk,536.568,112.594,116.638,15.384,19.372,bottom_percentile_95,3.654314,3.002100,-0.652214,1.000000,0.000000,0.578114,0.000000,0.100000,0.000000,22.552807,0.838450,5.000000,8.000000,left_hand,0.532370,534.806,142.174,4.432613,grid_10_08,3.007714,3.654314,0.000000,4.044426,0.493989,0.000000
52,2.125000,537.138,74.677,537.459,77.025,ref,545.638,98.333,human_nearest_mesh_topk,536.952,97.432,94.943,22.755,20.407,bottom_percentile_95,3.562381,3.484568,-0.077813,1.000000,0.000000,0.364823,0.055674,0.100000,0.980008,0.411000,0.933250,5.000000,8.000000,left_hand,0.325771,537.009,139.868,4.429826,grid_10_09,3.487163,3.562381,0.055674,2.488948,0.000000,0.000000
53,2.166667,539.527,56.318,539.332,56.018,ref,551.623,79.662,human_nearest_mesh_topk,574.096,77.238,77.518,20.920,21.220,bottom_percentile_95,3.542130,3.527134,-0.014996,1.000000,0.000907,0.232138,0.232877,0.232877,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.202414,540.900,140.028,4.429694,grid_09_10,3.525561,3.542130,0.232877,0.279317,0.000000,0.000000
54,2.208333,541.468,40.540,541.418,40.709,ref,557.695,65.220,human_nearest_mesh_topk,574.777,63.378,63.208,22.838,22.669,bottom_percentile_95,3.725450,3.868651,0.143201,1.000000,0.416946,0.151168,0.954398,0.954398,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.124999,545.653,142.856,4.429579,grid_09_10,3.875439,3.725450,0.954398,0.170371,0.000000,0.000000
55,2.250000,542.892,29.250,543.011,29.035,ref,559.621,54.316,human_nearest_mesh_topk,575.857,53.214,53.028,23.964,24.179,bottom_percentile_95,3.855409,4.008808,0.153399,1.000000,0.699354,0.106120,0.556130,0.556130,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.090549,549.209,146.315,4.437499,grid_09_10,3.961739,3.855409,0.556130,0.186174,0.029042,0.000000
56,2.291667,544.309,22.382,544.018,23.156,ref,562.936,47.936,human_nearest_mesh_topk,577.342,48.136,47.950,25.754,24.980,bottom_percentile_95,3.859998,3.906158,0.046160,1.000000,0.007375,0.081529,1.000000,1.000000,0.703822,6.089000,1.790500,5.000000,8.000000,left_hand,0.072458,552.424,150.362,4.447095,grid_09_10,3.863753,3.859998,1.000000,0.186233,0.042187,0.000000
57,2.333333,544.843,19.937,545.202,21.369,ref,565.828,45.669,human_nearest_mesh_topk,579.002,46.420,45.554,26.483,25.051,bottom_percentile_95,3.875210,3.922383,0.047173,1.000000,0.030588,0.071845,0.898020,0.898020,0.584894,8.534000,1.683000,5.000000,8.000000,left_hand,0.065032,555.763,152.370,4.453144,grid_09_10,3.887656,3.875210,0.898020,0.865862,0.033010,0.000000
58,2.375000,547.014,22.667,546.939,23.242,ref,567.763,48.332,human_nearest_mesh_topk,580.408,47.888,46.601,25.221,24.646,bottom_percentile_95,3.866998,3.889338,0.022339,1.000000,0.138095,0.075721,1.000000,1.000000,0.717685,5.804000,0.000000,5.000000,8.000000,left_hand,0.068961,558.502,153.236,4.458830,grid_07_11,3.860280,3.866998,1.000000,1.286517,0.000000,0.000000
59,2.416667,549.152,28.471,548.970,28.164,ref,571.835,54.679,human_nearest_mesh_topk,581.982,52.152,51.271,23.681,23.988,bottom_percentile_95,3.900067,3.974938,0.074871,1.000000,0.109936,0.089348,0.715881,0.715881,1.000000,0.000000,1.134000,5.000000,8.000000,left_hand,0.081993,560.484,153.088,4.459214,grid_07_11,3.927123,3.900067,0.715881,0.881236,0.019718,0.000000
60,2.458333,550.465,38.323,550.680,38.811,ref,573.011,65.637,human_nearest_mesh_topk,582.618,62.548,62.587,24.225,23.737,bottom_percentile_95,3.882995,3.878775,-0.004219,1.000000,0.345014,0.116805,0.983993,0.983993,1.000000,0.000000,0.330300,5.000000,8.000000,left_hand,0.108207,561.290,153.208,4.462486,grid_07_11,3.869026,3.882995,0.983993,0.039543,0.052275,0.000000
61,2.500000,552.287,54.328,552.108,53.864,ref,574.104,80.855,human_nearest_mesh_topk,583.311,78.008,78.190,23.680,24.144,bottom_percentile_95,3.846304,3.830885,-0.015419,1.000000,0.073298,0.164338,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.153990,561.925,154.272,4.468702,grid_07_11,3.816285,3.846304,1.000000,0.181752,0.000000,0.000000
62,2.541667,553.448,72.902,553.504,73.147,ref,574.997,99.143,human_nearest_mesh_topk,584.119,99.673,96.691,26.771,26.526,bottom_percentile_95,3.815752,3.774417,-0.041335,1.000000,0.000000,0.235753,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.219557,560.400,156.898,4.478916,grid_08_10,3.790755,3.815752,1.000000,2.981248,0.000000,0.000000
63,2.583333,554.869,95.871,554.625,97.302,ref,575.893,122.598,human_nearest_mesh_topk,585.751,118.747,120.223,22.876,21.445,bottom_percentile_95,3.644213,3.500260,-0.143953,1.000000,0.000000,0.390283,1.000000,1.000000,1.000000,0.000000,0.562400,5.000000,8.000000,left_hand,0.340206,559.335,158.758,4.485599,grid_08_10,3.503864,3.644213,1.000000,1.476260,0.000000,0.000000
64,2.625000,556.813,122.208,557.869,120.486,ref,564.423,140.623,human_nearest_mesh_topk,587.539,132.530,143.037,10.322,12.044,bottom_percentile_95,3.285124,2.971047,-0.314078,1.000000,0.000000,0.611823,0.000000,0.100000,0.655764,7.077000,0.000000,5.000000,8.000000,left_hand,0.430287,556.095,159.364,4.493079,grid_10_08,2.991324,3.285124,0.000000,10.506783,0.436005,0.000000
65,2.666667,564.648,137.505,561.515,135.002,ref,564.115,151.842,human_nearest_mesh_topk,601.841,135.899,128.172,-1.606,0.897,bottom_percentile_95,3.252618,2.859262,-0.393356,1.000000,0.000000,0.711993,0.000000,0.100000,0.000000,23.706183,0.380400,5.000000,8.000000,left_hand,0.446827,550.192,155.692,4.493392,grid_10_06,2.871187,3.252618,0.000000,7.727338,1.000000,0.000000
66,2.708333,562.391,134.193,562.108,132.546,ref,560.021,145.325,human_nearest_mesh_topk,598.038,123.772,125.241,-10.421,-8.774,bottom_percentile_95,3.057687,2.881562,-0.176124,1.000000,0.000036,0.663601,0.000000,0.100000,0.033914,19.861368,0.380400,5.000000,8.000000,left_hand,0.471074,543.368,146.854,4.489314,grid_07_07,2.898197,3.057687,0.000000,1.468576,0.884581,0.000000
67,2.750000,557.822,115.131,558.002,115.818,ref,555.022,128.907,human_nearest_mesh_topk,558.834,102.348,103.391,-12.783,-13.470,bottom_percentile_95,2.973559,2.913958,-0.059602,1.000000,0.000000,0.611650,0.000000,0.100000,0.950921,1.009000,2.407550,5.000000,8.000000,left_hand,0.386304,535.454,133.419,4.483636,grid_10_06,2.904728,2.973559,0.000000,1.042995,0.332352,0.000000
68,2.791667,552.997,89.147,553.107,89.349,ref,549.572,105.337,human_nearest_mesh_topk,552.391,76.808,78.031,-12.339,-12.540,bottom_percentile_95,3.112414,2.793896,-0.318518,1.000000,0.000000,0.609368,0.000000,0.100000,1.000000,0.000000,1.782650,5.000000,8.000000,left_hand,0.343441,530.505,114.853,4.489228,grid_10_07,2.767143,3.112414,0.000000,1.223124,0.000000,0.000000
69,2.833333,550.124,60.368,550.426,59.769,ref,546.573,78.130,human_nearest_mesh_topk,547.618,50.877,50.405,-9.491,-8.892,bottom_percentile_95,3.174898,2.832372,-0.342527,1.000000,0.000000,0.550064,0.000000,0.100000,0.860253,2.873000,1.010500,5.000000,8.000000,left_hand,0.293356,526.811,95.205,4.487338,grid_10_07,2.812103,3.174898,0.000000,0.472210,0.000000,0.000000
70,2.875000,549.195,30.566,547.800,30.088,ref,547.434,49.546,human_nearest_mesh_topk,547.119,28.197,22.552,-2.369,-1.891,bottom_percentile_95,3.203016,3.181218,-0.021798,1.000000,0.000000,0.415354,1.000000,1.000000,0.815065,3.802000,0.000000,5.000000,8.000000,left_hand,0.221261,525.337,79.218,4.468957,grid_10_07,3.226022,3.203016,1.000000,5.645119,0.638846,0.000000
71,2.916667,550.399,8.500,556.775,10.678,ref,548.728,21.899,human_nearest_mesh_topk,563.875,15.151,25.424,6.651,4.473,bottom_percentile_95,3.215669,3.736861,0.521192,1.000000,0.000000,0.301293,0.000000,0.100000,0.000000,22.218415,13.857000,5.000000,8.000000,left_hand,0.301293,528.971,69.374,4.461499,grid_10_07,3.772699,3.215669,0.000000,10.272755,1.000000,0.000000
87,3.583333,576.412,7.486,569.133,7.586,ref,576.200,18.631,human_nearest_mesh_topk,584.861,19.857,19.954,12.371,12.270,bottom_percentile_95,3.221363,3.903445,0.682082,1.000000,0.000000,0.032645,0.000000,0.100000,0.000000,23.184805,0.000000,5.000000,8.000000,left_hand,0.032645,567.172,157.601,4.452744,grid_10_05,3.885466,3.221363,0.000000,0.097257,0.985640,0.000000
88,3.625000,575.470,19.488,577.361,20.052,ref,584.732,41.591,human_nearest_mesh_topk,558.216,38.582,22.555,19.094,18.531,bottom_percentile_95,3.223926,3.921791,0.697866,1.000000,0.000000,0.055779,0.000000,0.100000,0.458942,11.123403,13.857000,5.000000,8.000000,left_hand,0.032659,567.802,159.517,4.462306,grid_10_05,3.903749,3.223926,0.000000,16.027360,0.577882,0.000000
89,3.666667,574.210,41.046,574.648,40.552,ref,584.360,67.981,human_nearest_mesh_topk,584.276,61.498,65.949,20.452,20.946,bottom_percentile_95,3.225079,3.824525,0.599447,1.000000,0.000000,0.098501,0.000000,0.100000,0.944500,1.141000,1.454650,5.000000,8.000000,left_hand,0.095977,568.289,162.229,4.473332,grid_11_05,3.776324,3.225079,0.000000,4.450731,0.060786,0.000000
90,3.708333,574.466,66.179,574.523,66.068,ref,582.068,93.252,human_nearest_mesh_topk,583.988,90.754,91.435,24.575,24.686,bottom_percentile_95,3.225597,3.694552,0.468955,1.000000,0.000000,0.173019,0.000000,0.100000,0.951164,1.004000,1.808000,5.000000,8.000000,left_hand,0.169492,567.922,164.776,4.480882,grid_11_05,3.684189,3.225597,0.000000,0.681031,0.000000,0.000000
91,3.750000,575.351,93.653,575.135,94.173,ref,582.060,119.414,human_nearest_mesh_topk,583.733,119.864,117.101,26.211,25.691,bottom_percentile_95,3.400214,3.542473,0.142258,1.000000,0.000000,0.299018,0.000000,0.100000,0.994212,0.119000,0.000000,5.000000,8.000000,left_hand,0.290771,567.256,167.887,4.490812,grid_11_05,3.543083,3.400214,0.000000,2.762560,0.000000,0.000000
92,3.791667,576.336,123.526,576.883,124.761,ref,581.347,150.362,human_nearest_mesh_topk,582.701,147.771,148.776,24.245,23.011,bottom_percentile_95,3.240156,3.072880,-0.167276,1.000000,0.000000,0.584358,1.000000,1.000000,1.000000,0.000000,1.801250,5.000000,8.000000,left_hand,0.556999,566.096,170.024,4.498683,grid_11_05,3.109199,3.240156,1.000000,1.004214,0.079386,0.000000
93,3.833333,579.155,149.792,578.727,146.176,ref,571.290,159.542,human_nearest_mesh_topk,584.328,166.684,169.613,16.892,20.508,bottom_percentile_95,3.079868,2.968127,-0.111741,1.000000,0.000000,0.750651,1.000000,1.000000,0.366459,13.024723,0.000000,5.000000,8.000000,left_hand,0.587008,563.484,169.471,4.503448,grid_08_02,2.948722,3.079868,1.000000,2.928857,0.786740,0.000000
94,3.875000,579.933,160.714,579.146,154.995,ref,566.718,160.694,human_nearest_mesh_topk,582.823,172.885,179.003,12.171,17.890,bottom_percentile_95,2.942440,2.866308,-0.076132,1.000000,0.000000,0.887605,0.476459,0.476459,0.000000,23.910112,0.000000,5.000000,8.000000,left_hand,0.711177,561.128,166.014,4.503997,grid_08_01,2.829999,2.942440,0.476459,6.118145,0.945232,0.000000
