frame,time,stage_label,r_center_u,r_center_v,r_depth,r_support,r_contact,r_smooth_xy,r_smooth_z,r_reg,E_visual,E_depth,E_support,E_contact,E_smooth,E_reg,E_total,contact_active,audio_contact_frame
1,0.000000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0
2,0.041667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.003266681,0.004680090,,0.000000000,0.000000000,0.000000000,0.000000000,0.000032574,0.000000000,0.000032574,0,0
3,0.083333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.001170345,-0.009896837,,0.000000000,0.000000000,0.000000000,0.000000000,0.000099317,0.000000000,0.000099317,0,0
4,0.125000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.001495317,-0.002231596,,0.000000000,0.000000000,0.000000000,0.000000000,0.000007216,0.000000000,0.000007216,0,0
5,0.166667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.004766502,0.012345779,,0.000000000,0.000000000,0.000000000,0.000000000,0.000175138,0.000000000,0.000175138,0,0
6,0.208333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.013349086,-0.016972650,,0.000000000,0.000000000,0.000000000,0.000000000,0.000466269,0.000000000,0.000466269,0,0
7,0.250000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.020834168,-0.015920804,,0.000000000,0.000000000,0.000000000,0.000000000,0.000687535,0.000000000,0.000687535,0,0
8,0.291667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.025620088,-0.012195962,,0.000000000,0.000000000,0.000000000,0.000000000,0.000805130,0.000000000,0.000805130,0,0
9,0.333333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.034072873,-0.007376788,,0.000000000,0.000000000,0.000000000,0.000000000,0.001215378,0.000000000,0.001215378,0,0
10,0.375000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.009983697,0.011737121,,0.000000000,0.000000000,0.000000000,0.000000000,0.000237434,0.000000000,0.000237434,1,0
11,0.416667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.021643518,0.003477086,,0.000000000,0.000000000,0.000000000,0.000000000,0.000480532,0.000000000,0.000480532,0,0
12,0.458333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.021230735,-0.012807303,,0.000000000,0.000000000,0.000000000,0.000000000,0.000614771,0.000000000,0.000614771,0,0
13,0.500000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.015092683,0.014945431,,0.000000000,0.000000000,0.000000000,0.000000000,0.000451155,0.000000000,0.000451155,0,0
14,0.541667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.012651474,0.010175451,,0.000000000,0.000000000,0.000000000,0.000000000,0.000263600,0.000000000,0.000263600,0,0
15,0.583333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.010430986,0.004654599,,0.000000000,0.000000000,0.000000000,0.000000000,0.000130471,0.000000000,0.000130471,0,0
16,0.625000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.007956494,-0.001759338,,0.000000000,0.000000000,0.000000000,0.000000000,0.000066401,0.000000000,0.000066401,0,0
17,0.666667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.004523763,-0.020111643,,0.000000000,0.000000000,0.000000000,0.000000000,0.000424943,0.000000000,0.000424943,0,0
18,0.708333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.001575106,-0.018447114,,0.000000000,0.000000000,0.000000000,0.000000000,0.000342777,0.000000000,0.000342777,0,0
19,0.750000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.007884820,-0.011486234,,0.000000000,0.000000000,0.000000000,0.000000000,0.000194104,0.000000000,0.000194104,0,0
20,0.791667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.023066064,-0.015489690,,0.000000000,0.000000000,0.000000000,0.000000000,0.000771974,0.000000000,0.000771974,0,0
21,0.833333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.026500455,-0.019332149,,0.000000000,0.000000000,0.000000000,0.000000000,0.001076006,0.000000000,0.001076006,0,0
22,0.875000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.027866471,-0.020903658,,0.000000000,0.000000000,0.000000000,0.000000000,0.001213503,0.000000000,0.001213503,1,0
23,0.916667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.004075546,-0.023433545,,0.000000000,0.000000000,0.000000000,0.000000000,0.000565741,0.000000000,0.000565741,0,0
24,0.958333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.026136350,-0.011968777,,0.000000000,0.000000000,0.000000000,0.000000000,0.000826360,0.000000000,0.000826360,0,0
25,1.000000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.018527091,-0.010609695,,0.000000000,0.000000000,0.000000000,0.000000000,0.000455819,0.000000000,0.000455819,0,0
26,1.041667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.014029008,-0.006142032,,0.000000000,0.000000000,0.000000000,0.000000000,0.000234538,0.000000000,0.000234538,0,0
27,1.083333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.010195560,-0.004842876,,0.000000000,0.000000000,0.000000000,0.000000000,0.000127403,0.000000000,0.000127403,0,0
28,1.125000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.006924954,0.002499924,,0.000000000,0.000000000,0.000000000,0.000000000,0.000054205,0.000000000,0.000054205,0,0
29,1.166667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.003709002,-0.001477594,,0.000000000,0.000000000,0.000000000,0.000000000,0.000015940,0.000000000,0.000015940,0,0
30,1.208333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.001642923,0.000231657,,0.000000000,0.000000000,0.000000000,0.000000000,0.000002753,0.000000000,0.000002753,0,0
31,1.250000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.001222953,-0.000465102,,0.000000000,0.000000000,0.000000000,0.000000000,0.000001712,0.000000000,0.000001712,0,0
32,1.291667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.008218475,0.003851403,,0.000000000,0.000000000,0.000000000,0.000000000,0.000082377,0.000000000,0.000082377,0,0
33,1.333333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.013277755,-0.000458394,,0.000000000,0.000000000,0.000000000,0.000000000,0.000176509,0.000000000,0.000176509,0,0
34,1.375000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.024917729,-0.008282396,,0.000000000,0.000000000,0.000000000,0.000000000,0.000689491,0.000000000,0.000689491,0,0
35,1.416667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.026915116,-0.008626750,,0.000000000,0.000000000,0.000000000,0.000000000,0.000798844,0.000000000,0.000798844,0,0
36,1.458333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.009663518,-0.006741745,,0.000000000,0.000000000,0.000000000,0.000000000,0.000138835,0.000000000,0.000138835,1,0
37,1.500000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.020111452,0.000286664,,0.000000000,0.000000000,0.000000000,0.000000000,0.000404553,0.000000000,0.000404553,0,0
38,1.541667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.017513894,0.009356156,,0.000000000,0.000000000,0.000000000,0.000000000,0.000394274,0.000000000,0.000394274,0,0
39,1.583333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.014900704,0.010542613,,0.000000000,0.000000000,0.000000000,0.000000000,0.000333178,0.000000000,0.000333178,0,0
40,1.625000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.011620080,0.015449441,,0.000000000,0.000000000,0.000000000,0.000000000,0.000373711,0.000000000,0.000373711,0,0
41,1.666667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.009084997,0.023450987,,0.000000000,0.000000000,0.000000000,0.000000000,0.000632486,0.000000000,0.000632486,0,0
42,1.708333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.005775939,0.017180157,,0.000000000,0.000000000,0.000000000,0.000000000,0.000328519,0.000000000,0.000328519,0,0
43,1.750000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.003511703,0.003063860,,0.000000000,0.000000000,0.000000000,0.000000000,0.000021719,0.000000000,0.000021719,0,0
44,1.791667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.001981857,-0.008808766,,0.000000000,0.000000000,0.000000000,0.000000000,0.000081522,0.000000000,0.000081522,0,0
45,1.833333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.004313159,-0.013845286,,0.000000000,0.000000000,0.000000000,0.000000000,0.000210295,0.000000000,0.000210295,0,0
46,1.875000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.008752809,-0.021477880,,0.000000000,0.000000000,0.000000000,0.000000000,0.000537911,0.000000000,0.000537911,0,0
47,1.916667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.015257170,-0.014171752,,0.000000000,0.000000000,0.000000000,0.000000000,0.000433620,0.000000000,0.000433620,0,0
48,1.958333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.020602831,-0.022179558,,0.000000000,0.000000000,0.000000000,0.000000000,0.000916409,0.000000000,0.000916409,0,0
49,2.000000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.023993041,-0.016994117,,0.000000000,0.000000000,0.000000000,0.000000000,0.000864466,0.000000000,0.000864466,0,0
50,2.041667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.013479924,-0.003626455,,0.000000000,0.000000000,0.000000000,0.000000000,0.000194860,0.000000000,0.000194860,1,0
51,2.083333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.017918619,0.003663574,,0.000000000,0.000000000,0.000000000,0.000000000,0.000334499,0.000000000,0.000334499,0,0
52,2.125000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.017448849,0.002679257,,0.000000000,0.000000000,0.000000000,0.000000000,0.000311641,0.000000000,0.000311641,0,0
53,2.166667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.014471174,0.007749764,,0.000000000,0.000000000,0.000000000,0.000000000,0.000269474,0.000000000,0.000269474,0,0
54,2.208333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.012078119,-0.003563845,,0.000000000,0.000000000,0.000000000,0.000000000,0.000158582,0.000000000,0.000158582,0,0
55,2.250000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.008407922,0.001541992,,0.000000000,0.000000000,0.000000000,0.000000000,0.000073071,0.000000000,0.000073071,0,0
56,2.291667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.007013552,-0.000265645,,0.000000000,0.000000000,0.000000000,0.000000000,0.000049260,0.000000000,0.000049260,0,0
57,2.333333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.003293604,0.003053574,,0.000000000,0.000000000,0.000000000,0.000000000,0.000020172,0.000000000,0.000020172,0,0
58,2.375000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.002664367,0.013442346,,0.000000000,0.000000000,0.000000000,0.000000000,0.000187796,0.000000000,0.000187796,0,0
59,2.416667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.004892224,0.015043371,,0.000000000,0.000000000,0.000000000,0.000000000,0.000250237,0.000000000,0.000250237,0,0
60,2.458333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.011740464,0.011860552,,0.000000000,0.000000000,0.000000000,0.000000000,0.000278511,0.000000000,0.000278511,0,0
61,2.500000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.020622643,0.007968899,,0.000000000,0.000000000,0.000000000,0.000000000,0.000488797,0.000000000,0.000488797,0,0
62,2.541667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.028920078,0.019537868,,0.000000000,0.000000000,0.000000000,0.000000000,0.001218099,0.000000000,0.001218099,0,0
63,2.583333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.021074311,0.002689990,,0.000000000,0.000000000,0.000000000,0.000000000,0.000451363,0.000000000,0.000451363,1,0
64,2.625000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.016703215,0.007941619,,0.000000000,0.000000000,0.000000000,0.000000000,0.000342067,0.000000000,0.000342067,0,0
