frame,time,stage_label,r_center_u,r_center_v,r_depth,r_support,r_contact,r_smooth_xy,r_smooth_z,r_reg,E_visual,E_depth,E_support,E_contact,E_smooth,E_reg,E_total,contact_active,audio_contact_frame
1,0.000000,stage4_anchor_depth_final,0.000000000,0.000000000,1.550226667,,,,,0.208799552,0.000000000,2.403202718,0.000000000,0.000000000,0.000000000,0.043597253,2.446799971,0,0
2,0.041667,stage4_anchor_depth_final,0.000000000,0.000000000,1.532785000,,,0.004487860,0.000000000,0.206425709,0.000000000,2.349429856,0.000000000,0.000000000,0.000020141,0.042611573,2.392061570,0,0
3,0.083333,stage4_anchor_depth_final,0.000000000,0.000000000,1.572038333,,,0.001055157,0.000635938,0.211702361,0.000000000,2.471304521,0.000000000,0.000000000,0.000001518,0.044817890,2.516123929,0,0
4,0.125000,stage4_anchor_depth_final,0.000000000,0.000000000,1.582768333,,,0.001955328,0.000647565,0.213135955,0.000000000,2.505155597,0.000000000,0.000000000,0.000004243,0.045426935,2.550586775,0,0
5,0.166667,stage4_anchor_depth_final,0.000000000,0.000000000,1.539203333,,,0.006467719,0.000656062,0.207257002,0.000000000,2.369146901,0.000000000,0.000000000,0.000042262,0.042955465,2.412144628,0,0
6,0.208333,stage4_anchor_depth_final,0.000000000,0.000000000,1.604793333,,,0.018382835,0.000626993,0.216182978,0.000000000,2.575361643,0.000000000,0.000000000,0.000338322,0.046735080,2.622435044,0,0
7,0.250000,stage4_anchor_depth_final,0.000000000,0.000000000,1.666373333,,,0.029317153,0.000602844,0.224814933,0.000000000,2.776800086,0.000000000,0.000000000,0.000859859,0.050541754,2.828201699,0,0
8,0.291667,stage4_anchor_depth_final,0.000000000,0.000000000,1.714098333,,,0.036518671,0.000609999,0.231938871,0.000000000,2.938133096,0.000000000,0.000000000,0.001333985,0.053795640,2.993262722,0,0
9,0.333333,stage4_anchor_depth_final,0.000000000,0.000000000,1.743703333,,,0.048608835,0.000567067,0.237304899,0.000000000,3.040501315,0.000000000,0.000000000,0.002363140,0.056313615,3.099178070,0,0
10,0.375000,stage4_anchor_depth_final,0.000000000,0.000000000,1.702328333,,-2.098910000,0.012340833,0.000635043,0.232109372,0.000000000,2.897921754,0.000000000,4.405423188,0.000152699,0.053874761,7.357372403,1,0
11,0.416667,stage4_anchor_depth_final,0.000000000,0.000000000,1.691888333,,,0.030492298,0.000675740,0.229699075,0.000000000,2.862486132,0.000000000,0.000000000,0.000930237,0.052761665,2.916178034,0,0
12,0.458333,stage4_anchor_depth_final,0.000000000,0.000000000,1.742211667,,,0.028194716,0.000695864,0.235741783,0.000000000,3.035301491,0.000000000,0.000000000,0.000795426,0.055574188,3.091671106,0,0
13,0.500000,stage4_anchor_depth_final,0.000000000,0.000000000,1.688945000,,,0.022170852,0.000652485,0.228105327,0.000000000,2.852535213,0.000000000,0.000000000,0.000491972,0.052032040,2.905059226,0,0
14,0.541667,stage4_anchor_depth_final,0.000000000,0.000000000,1.653516667,,,0.018133745,0.000669032,0.223015145,0.000000000,2.734117367,0.000000000,0.000000000,0.000329280,0.049735755,2.784182402,0,0
15,0.583333,stage4_anchor_depth_final,0.000000000,0.000000000,1.638670000,,,0.014567535,0.000670820,0.220806968,0.000000000,2.685239369,0.000000000,0.000000000,0.000212663,0.048755717,2.734207749,0,0
16,0.625000,stage4_anchor_depth_final,0.000000000,0.000000000,1.647678333,,,0.010832489,0.000657851,0.221913672,0.000000000,2.714843890,0.000000000,0.000000000,0.000117776,0.049245678,2.764207343,0,0
17,0.666667,stage4_anchor_depth_final,0.000000000,0.000000000,1.725078333,,,0.005100761,0.000656957,0.232269753,0.000000000,2.975895256,0.000000000,0.000000000,0.000026449,0.053949238,3.029870944,0,0
18,0.708333,stage4_anchor_depth_final,0.000000000,0.000000000,1.796245000,,,0.001302413,0.000648907,0.241842780,0.000000000,3.226496100,0.000000000,0.000000000,0.000002117,0.058487930,3.284986148,0,0
19,0.750000,stage4_anchor_depth_final,0.000000000,0.000000000,1.841431667,,,0.011573742,0.000638621,0.248013047,0.000000000,3.390870583,0.000000000,0.000000000,0.000134359,0.061510471,3.452515414,0,0
20,0.791667,stage4_anchor_depth_final,0.000000000,0.000000000,1.901255000,,,0.034316163,0.000562595,0.256630759,0.000000000,3.614770575,0.000000000,0.000000000,0.001177916,0.065859347,3.681807837,0,0
21,0.833333,stage4_anchor_depth_final,0.000000000,0.000000000,1.975731667,,,0.040808659,0.000652037,0.267746145,0.000000000,3.903515619,0.000000000,0.000000000,0.001665772,0.071687998,3.976869389,0,0
22,0.875000,stage4_anchor_depth_final,0.000000000,0.000000000,2.056383333,,-0.788600000,0.044553753,0.000737455,0.280326324,0.000000000,4.228712414,0.000000000,0.621889960,0.001985581,0.078582848,4.931170802,1,0
23,0.916667,stage4_anchor_depth_final,0.000000000,0.000000000,2.146683333,,,0.002415256,0.000796487,0.292537607,0.000000000,4.608249334,0.000000000,0.000000000,0.000006468,0.085578252,4.693834053,0,0
24,0.958333,stage4_anchor_depth_final,0.000000000,0.000000000,2.194393333,,,0.038956840,0.000833159,0.297508492,0.000000000,4.815362101,0.000000000,0.000000000,0.001518330,0.088511303,4.905391733,0,0
25,1.000000,stage4_anchor_depth_final,0.000000000,0.000000000,2.236596667,,,0.028016757,0.000714647,0.302397222,0.000000000,5.002364649,0.000000000,0.000000000,0.000785449,0.091444080,5.094594178,0,0
26,1.041667,stage4_anchor_depth_final,0.000000000,0.000000000,2.261858333,,,0.021752654,0.000636385,0.305314600,0.000000000,5.116003120,0.000000000,0.000000000,0.000473583,0.093217005,5.209693708,0,0
27,1.083333,stage4_anchor_depth_final,0.000000000,0.000000000,2.275461667,,,0.016038113,-0.001192719,0.306892276,0.000000000,5.177725796,0.000000000,0.000000000,0.000258644,0.094182869,5.272167309,0,0
28,1.125000,stage4_anchor_depth_final,0.000000000,0.000000000,2.261480000,,,0.011227517,-0.001251751,0.304835505,0.000000000,5.114291790,0.000000000,0.000000000,0.000127624,0.092924685,5.207344100,0,0
29,1.166667,stage4_anchor_depth_final,0.000000000,0.000000000,2.262126667,,,0.005875533,-0.001304075,0.304825306,0.000000000,5.117217056,0.000000000,0.000000000,0.000036222,0.092918467,5.210171746,0,0
30,1.208333,stage4_anchor_depth_final,0.000000000,0.000000000,2.256273333,,,0.002661723,-0.001338958,0.304006873,0.000000000,5.090769355,0.000000000,0.000000000,0.000008878,0.092420179,5.183198411,0,0
