frame,time,E_total,E_2d,E_depth,E_visual,E_mask,E_contact,E_audio,E_support,E_smooth,E_temporal,E_static,E_penetration,E_prior,E_reg,vlm_contact_gate,vlm_anchor_gate,contact_active,static_active,failure_label,contact_state,visibility_state,source
30,0.966667,3.152468740,0.000000000,0.000000000,0.000000000,0.000000000,0.025762497,,0.000000000,0.000000188,0.000000188,,,3.126706055,3.126706055,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
31,1.000000,3.141657549,0.000000000,0.000000000,0.000000000,0.000000000,0.035703614,,0.000000000,0.000000244,0.000000244,,,3.105953691,3.105953691,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
32,1.033333,3.134082041,0.000000000,0.000000000,0.000000000,0.000000000,0.033949537,,0.000000000,0.000000318,0.000000318,,,3.100132186,3.100132186,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
33,1.066667,3.118677135,0.000000000,0.000000000,0.000000000,0.000000000,0.037121729,,0.000000000,0.000000409,0.000000409,,,3.081554997,3.081554997,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
34,1.100000,3.107365049,0.000000000,0.000000000,0.000000000,0.000000000,0.034610137,,0.000000000,0.000000526,0.000000526,,,3.072754386,3.072754386,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
35,1.133333,3.079735984,0.000000000,0.000000000,0.000000000,0.000000000,0.028944557,,0.000000000,0.000000675,0.000000675,,,3.050790752,3.050790752,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
36,1.166667,3.064316034,0.000000000,0.000000000,0.000000000,0.000000000,0.017118059,,0.000000000,0.000000860,0.000000860,,,3.047197115,3.047197115,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
37,1.200000,3.084320756,0.000000000,0.000000000,0.000000000,0.000000000,0.007009708,,0.000000000,0.000001094,0.000001094,,,3.077309954,3.077309954,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
38,1.233333,3.119369711,0.000000000,0.000000000,0.000000000,0.000000000,0.021757135,,0.000000000,0.000001380,0.000001380,,,3.097611196,3.097611196,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
39,1.266667,3.143079991,0.000000000,0.000000000,0.000000000,0.000000000,0.007552653,,0.000000000,0.000001734,0.000001734,,,3.135525604,3.135525604,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
40,1.300000,3.196645351,0.000000000,0.000000000,0.000000000,0.000000000,0.007754916,,0.000000000,0.000002033,0.000002033,,,3.188888402,3.188888402,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
41,1.333333,3.252490373,0.000000000,0.000000000,0.000000000,0.000000000,0.010981573,,0.000000000,0.000002307,0.000002307,,,3.241506493,3.241506493,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
42,1.366667,3.318789602,0.000000000,0.000000000,0.000000000,0.000000000,0.009835284,,0.000000000,0.000002664,0.000002664,,,3.308951654,3.308951654,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
43,1.400000,3.330306467,0.000000000,0.000000000,0.000000000,0.000000000,0.006222212,,0.000000000,0.000003119,0.000003119,,,3.324081136,3.324081136,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
44,1.433333,3.364230518,0.000000000,0.000000000,0.000000000,0.000000000,0.005217317,,0.000000000,0.000003903,0.000003903,,,3.359009298,3.359009298,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
45,1.466667,3.464069030,0.000000000,0.000000000,0.000000000,0.000000000,0.005399898,,0.000000000,0.000005368,0.000005368,,,3.458663764,3.458663764,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
46,1.500000,3.537474213,0.000000000,0.000000000,0.000000000,0.000000000,0.005829933,,0.000000000,0.000007106,0.000007106,,,3.531637174,3.531637174,pass,unclear,1,,,1,,non_invasive_loss_audit_from_generic_outputs
47,1.533333,3.533250382,0.000000000,0.000000000,0.000000000,0.000000000,0.001999342,,0.000000000,0.000009103,0.000009103,,,3.531241937,3.531241937,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
48,1.566667,3.611428276,0.000000000,0.000000000,0.000000000,0.000000000,0.002136104,,0.000000000,0.000011420,0.000011420,,,3.609280752,3.609280752,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
49,1.600000,3.091498374,0.000000000,0.000000000,0.000000000,0.000000000,0.005241760,,0.000000000,0.000014021,0.000014021,,,3.086242593,3.086242593,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
50,1.633333,2.638675991,0.000000000,0.000000000,0.000000000,0.000000000,0.014153623,,0.000000000,0.000072061,0.000072061,,,2.624450307,2.624450307,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
51,1.666667,1.772087865,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000162243,0.000162243,,,1.771925622,1.771925622,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
52,1.700000,1.618271339,0.000000000,0.000000000,0.000000000,0.000000000,0.123167306,,0.000000000,0.007201462,0.007201462,,,1.487902571,1.487902571,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
