event,event_type,audio_time,audio_frame,start_time_s,end_time_s,start_frame,end_frame,peak,prominence,rms_rise,sharpness,audio_score,snr,band_profile,detector,source
seam_click_0076,seam_click,0.0625,2,0.041666666666666664,0.08333333333333333,2,2,0.002386739869508513,0.8698787914304786,0.02775577148259186,0.15793304692424123,0.7047204763901226,0.02775577148259186,low_mid,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
legacy_peak_0001,unknown,0.048,2,0.048,0.048,2,2,0.022742959521299465,0.9999999560303506,0.9999999560303506,0.24519402863354442,0.0,0.9999999560303506,legacy_peak,combined,audio
silence_0067,silence,0.10416666666666667,3,0.08333333333333333,0.4166666666666667,3,10,0.0017328445241273508,0.0,0.0,0.14599083661426945,0.6167719330423939,-0.20616955799176456,low_mid,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
motion_onset_0002,motion_onset,0.4375,11,0.4166666666666667,0.4583333333333333,11,11,0.014281798685788303,3.883920801374593,1.334920325322265,0.22017278407405128,0.7103214723457674,1.334920325322265,low_mid,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
seam_click_0077,seam_click,0.4375,11,0.4166666666666667,0.4583333333333333,11,11,0.014281798685788303,3.883920801374593,1.334920325322265,0.22017278407405128,0.979844581362246,1.334920325322265,low_mid,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
short_tug_0001,short_tug,0.4375,11,0.4166666666666667,0.5833333333333334,11,14,0.014281798685788303,3.883920801374593,1.334920325322265,0.22017278407405128,0.7103214723457674,1.334920325322265,low_mid,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
legacy_peak_0002,unknown,0.448,12,0.448,0.448,12,12,0.2261077422981174,0.987294920419741,0.987294920419741,0.27991940883201744,0.9687818035883511,0.987294920419741,legacy_peak,combined,audio
motion_offset_0003,motion_offset,0.5625,14,0.5416666666666666,0.5833333333333334,14,14,0.004134356451921229,0.11206170933719292,0.429173619657714,0.1291422624924346,0.7103214723457674,0.429173619657714,low_mid,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
motion_onset_0005,motion_onset,0.6458333333333334,16,0.625,0.6666666666666666,16,16,0.015438336015464932,1.781414480169091,1.391814100101399,0.19818424675328847,0.6551430577118624,1.391814100101399,low_mid,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
short_tug_0004,short_tug,0.6875,17,0.625,0.875,16,21,0.016582921405645462,3.507314214196658,1.4440695276094322,0.23331698104553747,0.6551430577118624,1.4440695276094322,low_mid,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
