frame,time,active_side,active_object_point_id,active_object_u,active_object_v,min_object_boundary_gap_px,active_part_distance_px,proposal_score,anchor_score,confidence_level,is_candidate,anchor_contact_state
69,2.833333,right,left,626.783,332.019,173.037334,173.037334,0.715045,0.214513,none,0,0
70,2.875000,right,left,619.050,321.347,148.133897,148.133897,0.536283,0.160885,none,0,0
71,2.916667,right,left,610.398,316.146,124.322891,124.322891,0.357522,0.107257,none,0,0
72,2.958333,right,left,601.134,316.348,103.028980,103.028980,0.482933,0.144880,none,0,0
73,3.000000,right,left,591.157,320.121,84.765552,84.765552,0.724399,0.217328,none,0,0
74,3.041667,right,right,601.813,326.938,85.134512,85.134512,0.965865,0.289767,proposal,0,0
75,3.083333,right,right,601.097,324.973,89.921823,89.921823,0.724399,0.217322,none,0,0
76,3.125000,right,bottom,600.315,316.590,106.498497,106.498497,0.482933,0.144880,none,0,0
77,3.166667,right,bottom,616.466,298.610,141.764303,141.764303,0.596109,0.178833,none,0,0
78,3.208333,right,bottom,630.204,289.729,168.199015,168.199015,0.447081,0.134124,none,0,0
79,3.250000,right,bottom,643.470,287.640,187.611248,187.611248,0.298054,0.089416,none,0,0
80,3.291667,right,bottom,657.364,292.486,195.981072,195.981072,0.028544,0.000000,none,0,0
81,3.333333,right,left,658.674,294.204,188.280577,188.280577,0.028428,0.000000,none,0,0
82,3.375000,right,left,671.692,313.753,162.234677,162.234677,0.332142,0.099642,none,0,0
83,3.416667,right,left,684.527,340.738,125.851654,125.851654,0.498212,0.149464,none,0,0
84,3.458333,right,left,697.941,371.902,85.842532,85.842532,1.000000,0.218935,none,0,0
85,3.500000,right,left,721.562,346.940,94.817858,94.817858,0.973016,0.291905,proposal,0,0
86,3.541667,right,left,750.130,307.393,126.180171,126.180171,0.729762,0.218929,none,0,0
87,3.583333,right,left,774.218,277.403,161.605413,161.605413,0.486508,0.145952,none,0,0
88,3.625000,right,left,792.624,255.952,198.460082,198.460082,0.480021,0.144006,none,0,0
89,3.666667,right,left,807.984,241.885,232.944421,232.944421,0.720032,0.216010,none,0,0
90,3.708333,right,left,800.841,232.612,242.177323,242.177323,0.960043,0.288013,proposal,0,0
91,3.750000,right,left,792.672,227.352,250.591690,250.591690,0.720032,0.216010,none,0,0
92,3.791667,right,left,784.976,227.032,257.857370,257.857370,0.498212,0.149464,none,0,0
93,3.833333,right,left,778.436,230.775,264.218463,264.218463,0.664283,0.199285,none,0,0
94,3.875000,right,left,773.517,239.824,272.100056,272.100056,0.498212,0.149464,none,0,0
95,3.916667,right,left,767.749,253.211,279.325781,279.325781,0.332142,0.099642,none,0,0
96,3.958333,right,left,762.313,271.077,283.597901,283.597901,0.339425,0.101828,none,0,0
97,4.000000,right,left,757.622,292.408,285.984668,285.984668,0.509138,0.152741,none,0,0
98,4.041667,right,left,753.215,318.600,284.240365,284.240365,0.728399,0.218520,none,0,0
99,4.083333,right,left,748.785,310.800,283.881040,283.881040,0.971199,0.291360,proposal,0,0
100,4.125000,right,left,743.939,298.942,281.431837,281.431837,0.728399,0.218520,none,0,0
101,4.166667,right,left,738.389,290.973,275.281027,275.281027,0.509138,0.152741,none,0,0
102,4.208333,right,left,734.186,289.075,267.009660,267.009660,0.678851,0.203655,none,0,0
103,4.250000,right,left,728.968,291.569,257.297424,257.297424,0.614396,0.184319,none,0,0
104,4.291667,right,left,724.174,300.982,247.875727,247.875727,0.460797,0.138239,none,0,0
105,4.333333,right,left,718.505,317.005,239.013522,239.013522,0.307198,0.092159,none,0,0
106,4.375000,right,left,714.472,342.130,232.804530,232.804530,0.160828,0.000000,none,0,0
107,4.416667,right,left,708.535,376.031,223.846738,223.846738,0.483912,0.145174,none,0,0
108,4.458333,right,left,704.438,418.843,220.892219,220.892219,0.725869,0.217761,none,0,0
109,4.500000,right,left,698.584,471.311,219.819204,219.819204,1.000000,0.290347,proposal,0,0
110,4.541667,right,left,695.662,512.074,221.500523,221.500523,1.000000,0.217761,none,0,0
111,4.583333,right,left,695.326,467.785,203.360663,203.360663,0.691246,0.145174,none,0,0
112,4.625000,right,left,694.686,426.158,183.419750,183.419750,0.520022,0.156007,none,0,0
113,4.666667,right,left,691.841,393.222,159.325939,159.325939,0.693362,0.208009,none,0,0
114,4.708333,right,left,692.166,365.720,139.844769,139.844769,0.520022,0.156007,none,0,0
115,4.750000,right,left,690.407,346.362,109.371200,109.371200,0.346681,0.104004,none,0,0
116,4.791667,right,left,692.941,331.239,82.303127,82.303127,0.504640,0.151408,none,0,0
117,4.833333,left,,,,inf,inf,0.716942,0.215083,none,0,0
118,4.875000,right,bottom,718.661,310.128,63.935944,63.935944,0.955923,0.287778,proposal,0,0
119,4.916667,right,left,716.397,275.913,68.199963,68.199963,0.716942,0.215502,none,0,0
120,4.958333,right,left,728.227,259.427,90.683905,90.683905,0.504640,0.151394,none,0,0
121,5.000000,right,left,739.003,249.067,117.394846,117.394846,0.672853,0.201856,none,0,0
122,5.041667,right,left,748.054,245.201,144.973523,144.973523,0.504640,0.151392,none,0,0
123,5.083333,right,left,756.688,245.297,172.667340,172.667340,0.504753,0.151426,none,0,0
124,5.125000,right,left,764.024,249.990,199.273089,199.273089,0.723441,0.217032,none,0,0
125,5.166667,right,left,757.294,250.432,209.244539,209.244539,0.964589,0.289377,proposal,0,0
126,5.208333,right,left,740.569,243.460,207.694457,207.694457,0.723441,0.217032,none,0,0
127,5.250000,right,left,723.211,242.098,206.208364,206.208364,0.482294,0.144688,none,0,0
128,5.291667,right,left,706.413,245.096,206.922115,206.922115,0.504753,0.151426,none,0,0
129,5.333333,right,left,688.940,252.138,207.159798,207.159798,0.673004,0.201901,none,0,0
130,5.375000,right,left,671.678,263.912,208.099145,208.099145,0.504753,0.151426,none,0,0
131,5.416667,right,left,655.236,280.215,206.100886,206.100886,0.336502,0.100951,none,0,0
132,5.458333,right,left,637.745,301.663,199.869915,199.869915,0.330234,0.099070,none,0,0
133,5.500000,right,left,623.861,325.689,192.330725,192.330725,0.495350,0.148605,none,0,0
134,5.541667,right,left,607.354,355.402,177.150946,177.150946,1.000000,0.219148,none,0,0
135,5.583333,right,left,602.740,352.530,177.051058,177.051058,1.000000,0.292198,proposal,0,0
136,5.625000,right,left,613.254,317.292,199.228067,199.228067,0.730495,0.219148,none,0,0
137,5.666667,right,left,620.760,288.210,214.865346,214.865346,0.495350,0.148605,none,0,0
138,5.708333,right,left,630.570,264.644,226.047083,226.047083,0.780576,0.198140,none,0,0
139,5.750000,right,left,637.215,244.755,229.064799,229.064799,0.938386,0.148605,none,0,0
140,5.791667,right,left,644.580,229.527,229.925490,229.925490,0.683094,0.099070,none,0,0
