frame,time,proposal_score,anchor_score,floor_score,anchor_contact_state,human_contact_state,floor_contact_state,transition_contact_state,multi_contact_state,confidence_level,contact_part,contact_label,contact_side,anchor_type,min_object_boundary_gap_px,active_part_distance_px,contact_depth_offset_m,object_acceleration,support_surface_type,support_source,signed_support_gap_px,support_conf,active_object_point_id,active_object_u,active_object_v,state_active_part_u,state_active_part_v
28,1.125000,0.505161,0.151548,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,247.807392,247.807392,0.037159,0.000000,floor,gvhmr_floor,-601.058868,0.750000,left,767.107,223.828,535.206,311.181
29,1.166667,0.673548,0.202064,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,253.060671,253.060671,0.018524,0.000000,floor,gvhmr_floor,-605.196631,0.750000,left,755.012,224.302,522.570,324.354
30,1.208333,0.599522,0.179857,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,254.232225,254.232225,0.047953,0.000000,floor,gvhmr_floor,-604.237764,0.750000,left,747.272,237.158,514.371,339.096
31,1.250000,0.449642,0.134893,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,257.352707,257.352707,0.033239,0.046982,floor,gvhmr_floor,-601.597958,0.750000,left,740.871,244.251,508.547,354.959
32,1.291667,0.380561,0.089928,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,254.661485,254.661485,0.022757,0.380561,floor,gvhmr_floor,-594.977394,0.750000,left,733.807,259.285,504.937,370.958
33,1.333333,0.000000,0.000000,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,235.400987,235.400987,0.034409,0.000000,floor,gvhmr_floor,-577.705798,0.750000,left,722.446,298.565,503.930,386.112
34,1.375000,1.000000,0.104453,0.031558,0,0,0,0,0,none,hand,right_hand,right,hand,216.217889,216.217889,0.018097,1.000000,floor,gvhmr_floor,-551.919182,0.750000,left,713.730,346.763,503.857,398.759
35,1.416667,0.522267,0.156680,0.216964,0,0,0,0,0,none,hand,right_hand,right,hand,208.805498,208.805498,0.013774,0.170120,floor,gvhmr_floor,-528.040150,0.750000,left,706.487,365.817,501.953,407.837
36,1.458333,1.000000,0.220506,0.708422,0,0,0,0,0,strong,hand,right_hand,right,hand,198.042143,198.042143,-0.005639,1.000000,floor,gvhmr_floor,-495.875428,0.750000,left,696.709,417.887,498.700,414.279
37,1.500000,1.000000,0.294007,1.000000,0,0,0,0,0,strong,hand,right_hand,right,hand,203.584263,203.584263,-0.012288,1.000000,floor,gvhmr_floor,-454.716623,0.750000,left,687.613,477.205,492.886,417.808
38,1.541667,0.735018,0.220506,1.000000,0,0,1,1,0,strong,floor,floor,,hand,217.184207,217.184207,0.007667,0.655558,floor,gvhmr_floor,-416.982559,0.750000,left,685.518,510.813,,
39,1.583333,0.522267,0.156680,1.000000,0,0,0,0,0,strong,hand,right_hand,right,hand,204.175083,204.175083,0.013577,0.251426,floor,gvhmr_floor,-407.461414,0.750000,left,688.323,452.813,486.513,421.827
40,1.625000,0.696357,0.208907,0.705445,0,0,0,0,0,strong,hand,right_hand,right,hand,201.392007,201.392007,0.020260,0.087310,floor,gvhmr_floor,-411.563913,0.750000,left,688.499,416.790,487.175,422.033
41,1.666667,0.587634,0.176290,0.396139,0,0,0,0,0,proposal,hand,right_hand,right,hand,197.787445,197.787445,0.001180,0.000000,floor,gvhmr_floor,-424.158962,0.750000,left,688.610,385.516,493.570,418.371
42,1.708333,0.440725,0.132218,0.162549,0,0,0,0,0,none,hand,right_hand,right,hand,191.618979,191.618979,0.001201,0.000000,floor,gvhmr_floor,-440.318596,0.750000,left,689.134,360.555,504.979,413.514
43,1.750000,0.293817,0.088145,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,178.179067,178.179067,-0.004377,0.002111,floor,gvhmr_floor,-457.538540,0.750000,left,688.274,341.092,523.123,407.973
44,1.791667,0.000000,0.000000,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,159.621782,159.621782,0.024509,0.000000,floor,gvhmr_floor,-472.966601,0.750000,left,687.141,329.729,543.799,399.959
45,1.833333,0.487122,0.146136,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,133.998058,133.998058,0.008922,0.000000,floor,gvhmr_floor,-485.449544,0.750000,left,685.998,324.322,571.023,393.142
46,1.875000,0.730682,0.219205,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,104.459684,104.459684,-0.826511,0.203124,floor,gvhmr_floor,-494.236804,0.750000,left,685.069,324.148,597.934,381.762
47,1.916667,0.974243,0.292273,0.000000,0,0,0,0,0,proposal,hand,right_hand,right,hand,95.961536,95.961536,0.024169,0.431561,floor,gvhmr_floor,-504.360485,0.750000,grid_02_05,710.062,318.621,626.964,366.614
48,1.958333,0.819626,0.245900,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,83.405135,83.405135,-1.144704,0.000000,floor,gvhmr_floor,-512.714263,0.750000,bottom,724.373,315.319,647.241,347.053
49,2.000000,0.614719,0.184421,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,86.837594,86.837594,0.028597,0.000000,floor,gvhmr_floor,-524.819307,0.750000,left,735.527,285.283,657.031,322.421
50,2.041667,0.409813,0.122944,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,104.806870,104.806870,0.016657,0.000000,floor,gvhmr_floor,-537.815938,0.750000,left,756.819,270.669,656.399,300.673
51,2.083333,0.485098,0.145529,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,129.405588,129.405588,0.002632,0.000000,floor,gvhmr_floor,-550.248079,0.750000,left,775.056,260.193,646.805,277.440
52,2.125000,0.727647,0.218294,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,156.969819,156.969819,-0.030665,0.013613,floor,gvhmr_floor,-560.347379,0.750000,left,788.959,254.976,631.990,255.464
53,2.166667,0.970196,0.291059,0.000000,0,0,0,0,0,proposal,hand,right_hand,right,hand,182.417724,182.417724,-0.019392,0.330730,floor,gvhmr_floor,-568.194188,0.750000,left,798.861,252.394,616.960,238.677
54,2.208333,0.727647,0.218294,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,193.547977,193.547977,-0.005484,0.089539,floor,gvhmr_floor,-576.632054,0.750000,left,792.463,242.674,599.463,228.113
55,2.250000,0.485098,0.145529,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,196.297408,196.297408,0.000210,0.000000,floor,gvhmr_floor,-585.943561,0.750000,left,779.964,231.092,583.984,219.927
56,2.291667,0.485549,0.145665,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,200.198463,200.198463,0.026620,0.000000,floor,gvhmr_floor,-594.225916,0.750000,left,767.272,225.101,567.173,218.784
57,2.333333,0.647399,0.194220,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,202.360451,202.360451,0.020683,0.000000,floor,gvhmr_floor,-600.630464,0.750000,left,755.037,223.854,552.691,221.451
58,2.375000,0.485549,0.145665,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,203.033844,203.033844,0.023692,0.000000,floor,gvhmr_floor,-603.714148,0.750000,left,741.728,228.560,538.695,229.166
59,2.416667,0.452574,0.135772,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,203.622542,203.622542,0.030318,0.000000,floor,gvhmr_floor,-603.303526,0.750000,left,728.243,237.354,524.656,241.133
60,2.458333,0.603431,0.181029,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,205.080382,205.080382,0.027259,0.000000,floor,gvhmr_floor,-598.611791,0.750000,left,713.913,252.011,508.944,258.772
61,2.500000,0.452574,0.135772,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,206.540245,206.540245,0.032107,0.000000,floor,gvhmr_floor,-589.492577,0.750000,left,700.392,271.301,494.029,279.855
