frame,time,object_support_v_raw,object_support_v,support_v_raw,support_v,signed_gap,gap,floor_score,proposal_score,confidence_level,is_candidate,floor_contact_state
63,2.583333,330.845,288.573,846.603,846.603,-558.030862,558.030862,0.000000,0.357522,none,0,0
64,2.625000,362.986,310.897,846.603,846.603,-535.706826,535.706826,0.109173,0.536283,none,0,0
65,2.666667,398.064,337.047,846.603,846.603,-509.556601,509.556601,0.443931,1.000000,proposal,0,0
66,2.708333,401.944,356.516,846.603,846.603,-490.087444,490.087444,0.480959,0.976397,soft,0,0
67,2.750000,375.795,362.300,846.603,846.603,-484.303734,484.303734,0.231413,0.732298,none,0,0
68,2.791667,355.017,360.115,846.603,846.603,-486.488536,486.488536,0.033123,0.536283,none,0,0
69,2.833333,338.747,353.705,846.603,846.603,-492.898898,492.898898,0.000000,0.715045,none,0,0
70,2.875000,328.033,346.003,846.603,846.603,-500.600352,500.600352,0.000000,0.536283,none,0,0
71,2.916667,322.949,339.087,846.603,846.603,-507.516569,507.516569,0.000000,0.357522,none,0,0
72,2.958333,323.191,334.318,846.603,846.603,-512.285321,512.285321,0.000000,0.482933,none,0,0
73,3.000000,327.264,332.202,846.603,846.603,-514.401548,514.401548,0.000000,0.724399,none,0,0
74,3.041667,326.460,330.479,846.603,846.603,-516.124107,516.124107,0.000000,0.965865,none,0,0
75,3.083333,324.491,328.683,846.603,846.603,-517.920597,517.920597,0.000000,0.724399,none,0,0
76,3.125000,315.263,324.657,846.603,846.603,-521.946541,521.946541,0.000000,0.482933,none,0,0
77,3.166667,297.327,316.458,846.603,846.603,-530.145502,530.145502,0.000000,0.596109,none,0,0
78,3.208333,288.375,308.033,846.603,846.603,-538.570374,538.570374,0.000000,0.447081,none,0,0
79,3.250000,286.301,301.513,846.603,846.603,-545.089985,545.089985,0.000000,0.298054,none,0,0
80,3.291667,291.098,298.389,846.603,846.603,-548.214612,548.214612,0.000000,0.028544,none,0,0
81,3.333333,302.317,299.567,846.603,846.603,-547.036152,547.036152,0.000000,0.028428,none,0,0
82,3.375000,322.408,306.419,846.603,846.603,-540.183929,540.183929,0.000000,0.332142,none,0,0
83,3.416667,349.958,319.481,846.603,846.603,-527.122373,527.122373,0.000000,0.498212,none,0,0
84,3.458333,380.846,337.891,846.603,846.603,-508.712884,508.712884,0.279616,1.000000,proposal,0,0
85,3.500000,354.829,342.972,846.603,846.603,-503.631342,503.631342,0.031329,0.973016,none,0,0
86,3.541667,315.656,334.777,846.603,846.603,-511.826162,511.826162,0.000000,0.729762,none,0,0
87,3.583333,284.880,319.808,846.603,846.603,-526.795337,526.795337,0.000000,0.486508,none,0,0
88,3.625000,263.414,302.890,846.603,846.603,-543.713559,543.713559,0.000000,0.480021,none,0,0
89,3.666667,249.980,287.017,846.603,846.603,-559.586514,559.586514,0.000000,0.720032,none,0,0
90,3.708333,240.706,273.124,846.603,846.603,-573.479783,573.479783,0.000000,0.960043,none,0,0
91,3.750000,235.151,261.732,846.603,846.603,-584.871571,584.871571,0.000000,0.720032,none,0,0
92,3.791667,234.811,253.656,846.603,846.603,-592.947823,592.947823,0.000000,0.498212,none,0,0
93,3.833333,238.579,249.133,846.603,846.603,-597.470799,597.470799,0.000000,0.664283,none,0,0
94,3.875000,247.577,248.666,846.603,846.603,-597.937482,597.937482,0.000000,0.498212,none,0,0
95,3.916667,260.733,252.286,846.603,846.603,-594.317360,594.317360,0.000000,0.332142,none,0,0
