frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,source
84,3.458333,2.392584,3.870885,0.544405,2.568351,6348,0.731473,mask
85,3.500000,2.331872,3.828924,0.614519,2.395944,6193,0.813613,mask
86,3.541667,2.366480,3.847561,0.648806,2.312174,5852,0.838254,mask
87,3.583333,2.295954,3.800363,0.660482,2.283927,5972,0.904175,mask
88,3.625000,2.290565,3.795775,0.664300,2.274154,5753,0.898075,mask
89,3.666667,2.185563,3.723702,0.666293,2.267477,6503,0.878595,mask
90,3.708333,2.202868,3.732535,0.663899,2.270054,6268,0.845164,mask
91,3.750000,2.342109,3.821711,0.653562,2.290998,6338,0.737434,mask
92,3.791667,2.398547,3.854811,0.637395,2.325988,6680,0.692444,mask
93,3.833333,2.484381,3.905152,0.622777,2.357938,6483,0.765908,mask
94,3.875000,2.493574,3.908117,0.615860,2.372423,6558,0.728856,mask
95,3.916667,2.501807,3.912143,0.614696,2.374293,6458,0.751934,mask
96,3.958333,2.343181,3.815606,0.607151,2.392942,6852,0.728041,mask
97,4.000000,2.245560,3.763849,0.575840,2.470765,6368,0.731194,mask
98,4.041667,2.321317,3.818433,0.508558,2.637908,5871,0.839655,mask
99,4.083333,2.291061,3.822841,0.408135,2.887780,5959,0.899763,mask
100,4.125000,2.325856,3.856460,0.293550,3.173704,6048,0.925008,mask
101,4.166667,2.265455,3.863640,0.189849,3.433545,6141,0.859306,mask
102,4.208333,2.221030,3.877963,0.114413,3.623848,6461,0.830025,mask
103,4.250000,2.205676,3.891641,0.070309,3.736563,6295,0.926496,mask
104,4.291667,2.248424,3.902320,0.049884,3.790159,6162,0.890249,mask
105,4.333333,2.248906,3.905966,0.042745,3.809835,6401,0.814984,mask
106,4.375000,2.254931,3.907144,0.041241,3.814149,6446,0.824720,mask
107,4.416667,2.279114,3.907358,0.041570,3.812614,6378,0.772383,mask
108,4.458333,2.231490,3.903872,0.042548,3.808927,6184,0.751216,mask
109,4.500000,2.227885,3.902608,0.044095,3.804369,5971,0.826163,mask
110,4.541667,2.217264,3.902076,0.046345,3.799318,6220,0.903148,mask
111,4.583333,2.365662,3.910140,0.049179,3.793798,6077,0.741980,mask
112,4.625000,2.361628,3.911015,0.051973,3.788274,6150,0.888772,mask
113,4.666667,2.359509,3.910942,0.053603,3.784466,6177,0.760286,mask
114,4.708333,2.348889,3.909306,0.053072,3.784646,5670,0.829392,mask
115,4.750000,2.203513,3.900572,0.050370,3.789580,5837,0.824869,mask
116,4.791667,2.238338,3.901831,0.046608,3.797506,5887,0.802017,mask
117,4.833333,2.291630,3.904344,0.043177,3.805398,6072,0.795770,mask
118,4.875000,2.302197,3.904975,0.040878,3.810866,6117,0.819543,mask
119,4.916667,2.298926,3.904359,0.039786,3.812893,6112,0.774117,mask
120,4.958333,2.304148,3.902911,0.039603,3.811660,6193,0.798133,mask
121,5.000000,2.266246,3.898793,0.039932,3.808296,6297,0.718565,mask
122,5.041667,2.219760,3.894144,0.040371,3.804530,6601,0.759716,mask
123,5.083333,2.203752,3.891347,0.040565,3.801953,6000,0.915067,mask
124,5.125000,2.331163,3.895204,0.040288,3.801287,6083,0.837876,mask
125,5.166667,2.383586,3.896388,0.039550,3.802117,6290,0.868574,mask
126,5.208333,2.452155,3.898033,0.038698,3.803140,5415,0.893192,mask
127,5.250000,2.330900,3.892141,0.038809,3.801682,6147,0.822173,mask
128,5.291667,2.237055,3.886660,0.042895,3.790700,6481,0.903933,mask
129,5.333333,2.193889,3.880240,0.058187,3.752584,6320,0.805350,mask
130,5.375000,2.325646,3.882014,0.097286,3.655761,6296,0.780345,mask
131,5.416667,2.348527,3.873939,0.173210,3.467150,6282,0.774238,mask
132,5.458333,2.369578,3.863723,0.287188,3.183209,6506,0.771245,mask
133,5.500000,2.326073,3.828908,0.419569,2.852959,6468,0.768925,mask
134,5.541667,2.279801,3.783893,0.537661,2.558133,6310,0.854938,mask
135,5.583333,2.341740,3.804573,0.616841,2.360093,6661,0.889118,mask
