frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
1,0.000000,-0.988241,0.963875,7.103016,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.510,838.933,36.661,653.510,838.933,37.216,876.149,879.464,0.000150,0,0,0
2,0.033333,-0.985367,0.964039,7.092628,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.954,839.422,36.729,653.954,839.422,37.271,876.693,879.464,0.000161,0,0,0
3,0.066667,-0.983920,0.963003,7.082240,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.955,839.539,36.730,653.955,839.539,37.326,876.865,879.464,0.000017,0,0,0
4,0.100000,-0.983148,0.961109,7.071852,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.746,839.389,36.747,653.746,839.389,37.380,876.769,879.464,0.000039,0,0,0
5,0.133333,-0.981748,0.959871,7.061464,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.732,839.443,36.747,653.732,839.443,37.435,876.878,879.464,0.000020,0,0,0
6,0.166667,-0.980128,0.958299,7.051076,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.787,839.393,36.810,653.787,839.393,37.491,876.884,879.464,0.000013,0,0,0
7,0.200000,-0.978566,0.956970,7.040688,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.824,839.419,36.809,653.824,839.419,37.546,876.965,879.464,0.000008,0,0,0
8,0.233333,-0.977029,0.955465,7.030300,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.853,839.390,36.809,653.853,839.390,37.601,876.991,879.464,0.000004,0,0,0
9,0.266667,-0.975614,0.953967,7.019911,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.844,839.363,36.746,653.844,839.363,37.657,877.020,879.464,0.000006,0,0,0
10,0.300000,-0.974231,0.952425,7.009523,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.825,839.322,36.868,653.825,839.322,37.713,877.035,879.464,0.000009,0,0,0
11,0.333333,-0.972994,0.951189,6.999135,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.760,839.377,36.922,653.760,839.377,37.769,877.146,879.464,0.000009,0,0,0
12,0.366667,-0.971857,0.949888,6.988747,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.663,839.412,36.960,653.663,839.412,37.825,877.237,879.464,0.000016,0,0,0
13,0.400000,-0.970226,0.948609,6.978359,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.722,839.454,36.692,653.722,839.454,37.881,877.335,879.464,0.000013,0,0,0
14,0.433333,-0.968763,0.947159,6.967971,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.728,839.442,36.611,653.728,839.442,37.938,877.380,879.464,0.000006,0,0,0
15,0.466667,-0.967186,0.945778,6.957583,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.770,839.452,36.741,653.770,839.452,37.994,877.446,879.464,0.000003,0,0,0
16,0.500000,-0.965571,0.944376,6.947195,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.824,839.455,36.741,653.824,839.455,38.051,877.506,879.464,0.000003,0,0,0
17,0.533333,-0.963876,0.943096,6.936806,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.904,839.497,36.741,653.904,839.497,38.108,877.605,879.464,0.000006,0,0,0
18,0.566667,-0.962124,0.941831,6.926418,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.002,839.544,36.741,654.002,839.544,38.165,877.709,879.464,0.000018,0,0,0
19,0.600000,-0.960782,0.940632,6.916030,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.970,839.612,36.770,653.970,839.612,38.223,877.835,879.464,0.000026,0,0,0
20,0.633333,-0.958887,0.939276,6.905642,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.114,839.630,36.770,654.114,839.630,38.280,877.910,879.464,0.000020,0,0,0
21,0.666667,-0.957520,0.937475,6.895254,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.090,839.506,36.770,654.090,839.506,38.338,877.844,879.464,0.000004,0,0,0
22,0.700000,-0.956371,0.935791,6.884866,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.996,839.419,36.544,653.996,839.419,38.396,877.815,879.464,0.000025,0,0,0
23,0.733333,-0.954878,0.934691,6.874478,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.012,839.519,36.543,654.012,839.519,38.454,877.973,879.464,0.000031,0,0,0
24,0.766667,-0.953572,0.932929,6.864089,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.968,839.407,36.770,653.968,839.407,38.512,877.919,879.464,0.000021,0,0,0
25,0.800000,-0.952179,0.931586,6.853701,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.952,839.429,36.770,653.952,839.429,38.570,877.999,879.464,0.000008,0,0,0
26,0.833333,-0.950795,0.930112,6.843313,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.933,839.409,36.938,653.933,839.409,38.629,878.038,879.464,0.000006,0,0,0
27,0.866667,-0.949587,0.928622,6.832925,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.857,839.384,36.938,653.857,839.384,38.688,878.072,879.464,0.000012,0,0,0
28,0.900000,-0.948270,0.927393,6.822537,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.816,839.443,36.938,653.816,839.443,38.746,878.189,879.464,0.000027,0,0,0
29,0.933333,-0.946415,0.925724,6.812149,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.949,839.360,36.938,653.949,839.360,38.806,878.166,879.464,0.000029,0,0,0
30,0.966667,-0.945129,0.924492,6.801761,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.898,839.418,36.938,653.898,839.418,38.865,878.283,879.464,0.000007,0,0,0
31,1.000000,-0.943618,0.923228,6.791373,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.920,839.466,36.770,653.920,839.466,38.924,878.390,879.464,0.000054,0,0,0
32,1.033333,-0.941630,0.921689,6.780985,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.097,839.425,37.010,654.097,839.425,38.984,878.409,879.464,0.000152,0,0,0
33,1.066667,-0.943285,0.919709,6.770596,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.089,839.240,36.846,653.089,839.240,39.044,878.284,879.464,0.000175,0,0,0
34,1.100000,-0.940608,0.919507,6.760208,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.490,839.634,36.846,653.490,839.634,39.104,878.738,879.464,0.000083,0,0,0
35,1.133333,-0.938978,0.918403,6.749820,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.550,839.735,36.846,653.550,839.735,39.164,878.899,879.464,0.000012,0,0,0
36,1.166667,-0.937604,0.916488,6.739432,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.527,839.571,37.014,653.527,839.571,39.224,878.795,879.464,0.000012,0,0,0
37,1.200000,-0.936134,0.914755,6.729044,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.535,839.466,36.600,653.535,839.466,39.285,878.751,879.464,0.000027,0,0,0
38,1.233333,-0.935033,0.913590,6.718656,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.422,839.547,36.627,653.422,839.547,39.345,878.892,879.464,0.000049,0,0,0
39,1.266667,-0.933212,0.911889,6.708268,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.553,839.445,36.786,653.546,839.452,39.406,878.859,879.464,0.010513,0,0,0
40,1.300000,-0.931530,0.912120,6.697880,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.601,839.444,36.936,653.623,839.993,39.468,879.460,879.464,0.549259,1,1,0
41,1.333333,-0.316459,0.309234,2.275165,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.599,839.405,36.488,653.591,839.412,116.189,955.601,879.464,0.010684,0,0,0
42,1.366667,-0.316285,0.309086,2.274547,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.674,839.353,36.708,653.677,839.351,116.220,955.571,879.464,0.003526,0,0,0
43,1.400000,-0.316045,0.308897,2.273930,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.826,839.249,36.730,653.826,839.249,116.252,955.501,879.464,0.000027,0,0,0
