frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
93,742.111,622.901,742.111,622.901,0.000014,0.000062,0.000064
94,741.809,622.113,741.809,622.113,-0.000021,-0.000076,0.000078
95,741.106,619.174,741.106,619.174,0.000019,0.000028,0.000034
96,742.166,620.595,742.166,620.595,-0.000032,0.000042,0.000053
97,741.345,626.537,741.345,626.537,0.000009,-0.000076,0.000077
98,741.616,627.493,741.616,627.493,0.000003,0.000025,0.000025
99,742.617,632.745,742.617,632.745,-0.000027,-0.000006,0.000028
100,742.128,646.028,742.128,646.028,0.000023,0.000073,0.000077
101,743.449,672.964,743.449,672.964,-0.000018,-0.000028,0.000033
102,743.445,701.887,743.445,701.887,-0.000010,-0.000049,0.000050
103,742.455,728.398,742.455,728.398,0.000012,0.000434,0.000434
104,742.280,729.242,742.280,760.748,-0.000010,31.506167,31.506167
105,740.928,702.666,740.928,702.667,-0.000013,0.000633,0.000633
106,738.009,676.460,738.009,676.460,0.000008,-0.000159,0.000159
107,735.443,651.343,735.443,651.343,-0.000016,0.000017,0.000024
108,732.526,635.496,732.526,635.496,0.000016,0.000108,0.000109
109,731.823,633.213,731.823,633.213,-0.000019,-0.000133,0.000134
110,731.323,622.854,731.323,622.854,0.000033,0.000046,0.000056
111,732.957,615.410,732.957,615.410,-0.000058,-0.000004,0.000058
112,730.039,610.972,730.039,610.972,0.000039,0.000013,0.000041
113,729.350,610.753,729.350,610.753,-0.000024,-0.000017,0.000029
114,727.646,612.999,727.646,612.999,0.000018,0.000041,0.000045
115,727.010,620.145,727.010,620.145,-0.000025,-0.000035,0.000043
116,724.708,624.816,724.708,624.816,0.000015,-0.000038,0.000041
117,723.738,628.195,723.738,628.195,-0.000006,0.000112,0.000112
118,722.984,640.907,722.984,640.907,0.000011,-0.000159,0.000159
119,722.371,646.447,722.371,646.447,-0.000028,0.000130,0.000133
120,718.847,667.274,718.847,667.274,0.000014,-0.000025,0.000029
121,715.966,694.234,715.966,694.234,0.000020,-0.000025,0.000032
122,713.618,724.342,713.618,724.342,-0.000070,0.000191,0.000204
123,706.600,760.939,706.600,760.939,0.000084,-0.000316,0.000326
124,706.793,759.274,706.793,760.564,-0.000091,1.289971,1.289971
125,705.451,757.179,705.451,757.179,0.000146,-0.000385,0.000411
126,716.100,715.052,716.100,715.052,-0.000125,0.000233,0.000264
127,716.550,692.902,716.550,692.902,0.000024,0.000193,0.000195
128,715.326,692.329,715.326,692.329,0.000013,-0.000277,0.000278
129,715.176,667.306,715.176,667.306,-0.000005,0.000057,0.000057
130,715.926,639.876,715.926,639.876,0.000013,0.000041,0.000043
131,718.751,617.959,718.751,617.959,0.000001,-0.000038,0.000038
132,721.952,599.175,721.952,599.175,-0.000010,0.000030,0.000032
133,723.888,590.364,723.888,590.364,-0.000002,0.000038,0.000038
134,725.767,590.790,725.767,590.790,0.000019,-0.000062,0.000065
135,729.747,590.347,729.747,590.347,-0.000006,0.000010,0.000012
136,733.629,594.130,733.629,594.130,-0.000013,-0.000005,0.000014
137,737.060,604.624,737.060,604.624,0.000055,0.000142,0.000152
138,743.387,625.487,743.387,625.487,-0.000076,-0.000284,0.000294
139,742.841,625.163,742.841,625.163,0.000051,0.000190,0.000197
140,744.982,642.215,744.982,642.215,-0.000005,-0.000022,0.000022
141,747.264,667.901,747.264,667.901,0.000003,0.000124,0.000124
142,749.004,698.536,749.004,698.536,-0.000013,-0.000380,0.000380
143,749.511,699.356,749.511,699.356,0.000026,0.000342,0.000343
144,751.924,729.204,751.924,729.204,-0.000009,0.000035,0.000036
145,753.686,761.492,753.686,761.492,0.000014,-0.000248,0.000248
146,755.143,780.037,755.143,760.265,-0.000021,-19.771784,19.771784
147,753.875,750.301,753.875,750.301,0.000020,-0.000337,0.000338
148,753.510,712.851,753.510,712.852,0.000008,0.000535,0.000535
149,753.461,712.037,753.461,712.037,-0.000016,-0.000444,0.000444
150,752.091,678.255,752.091,678.255,0.000018,0.000167,0.000168
151,752.724,651.585,752.724,651.585,0.000010,-0.000001,0.000010
152,755.175,629.991,755.175,629.991,0.000011,-0.000071,0.000072
153,757.770,611.264,757.770,611.264,-0.000021,0.000176,0.000177
154,757.240,610.539,757.240,610.539,0.000018,-0.000178,0.000179
