event,audio_time,audio_frame,peak,prominence,rms_rise,sharpness,audio_score
aligned_peak_1,1.76,53,20.134550094604492,20.134550094604492,0.0,17.518038034439087,0.7999999999999999
aligned_peak_2,2.944,88,19.005125045776367,19.005125045776367,2.3096799850463867e-06,16.87799882888794,0.7628099777674086
aligned_peak_3,3.488,105,14.699159622192383,14.699159622192383,0.0,13.387797236442566,0.5891646719355115
aligned_peak_4,4.128,124,12.352781295776367,12.352781295776367,0.0,10.150817632675171,0.4856999990172878
aligned_peak_5,4.864,146,11.356831550598145,11.35044938325882,0.0,9.52710235118866,0.44811221652427147
aligned_peak_6,5.536,166,15.02150821685791,15.02150821685791,1.673959195613861e-05,13.490118145942688,0.6348832922001633
aligned_peak_7,5.888,177,13.12496566772461,13.124734610319138,0.0,11.109340190887451,0.5188322910945478
aligned_peak_8,6.816,204,10.365673065185547,10.345364481210709,8.629634976387024e-06,9.095391750335693,0.42996337746184066
