frame,contact,nearest_part,nearest_dist_m,foot_dist_m
1,0,L_wrist,4.5999,4.6947
2,0,L_wrist,4.5881,4.6898
3,0,L_wrist,4.5781,4.6876
4,0,L_wrist,4.5683,4.6845
5,0,L_wrist,4.5587,4.6831
6,0,L_wrist,4.5505,4.6830
7,0,L_wrist,4.5412,4.6808
8,0,L_wrist,4.5300,4.6731
9,0,L_wrist,4.5187,4.6632
10,0,L_wrist,4.5093,4.6551
11,0,L_wrist,4.4982,4.6442
12,0,L_wrist,4.4924,4.6379
13,0,L_wrist,4.4842,4.6302
14,0,L_wrist,4.4654,4.6098
15,0,L_wrist,4.4479,4.5928
16,0,L_wrist,4.4312,4.5737
17,0,L_wrist,4.4154,4.5549
18,0,L_wrist,4.4083,4.5455
19,0,L_wrist,4.3957,4.5275
20,0,L_wrist,4.3891,4.5137
21,0,L_wrist,4.3757,4.4960
22,0,L_wrist,4.3674,4.4831
23,0,L_wrist,4.3691,4.4786
24,0,L_wrist,4.3782,4.4820
25,0,L_wrist,4.3882,4.4834
26,0,L_wrist,4.4020,4.4897
27,0,L_wrist,4.4246,4.5059
28,0,L_wrist,4.4437,4.5226
29,0,L_wrist,4.4534,4.5326
30,0,L_wrist,4.4674,4.5525
31,0,L_wrist,4.4675,4.5608
32,0,L_wrist,4.4390,4.5384
33,0,L_wrist,4.3812,4.4869
34,0,L_wrist,4.2932,4.4053
35,0,L_wrist,4.1440,4.2655
36,0,L_wrist,3.9319,4.0639
37,0,L_wrist,3.6388,3.7802
38,0,L_wrist,3.2601,3.4066
39,0,L_wrist,2.8001,2.9386
40,1,L_wrist,2.2897,2.3993
41,0,L_wrist,1.7842,1.8333
42,0,L_foot,1.2878,1.2878
43,0,L_foot,0.8205,0.8205
44,0,L_foot,0.4485,0.4485
45,0,L_foot,0.2196,0.2196
46,0,L_foot,0.1797,0.1797
47,0,L_foot,0.2395,0.2395
48,0,L_foot,0.2596,0.2596
49,0,L_foot,0.2856,0.2856
50,1,L_foot,0.2840,0.2840
51,0,L_foot,0.2833,0.2833
52,0,R_foot,0.2909,0.2909
53,1,R_ankle,0.2202,0.2202
54,0,R_knee,0.3245,0.3382
55,0,R_knee,0.3370,0.5110
56,0,L_wrist,0.3425,0.6465
57,0,L_wrist,0.3031,0.8034
58,0,L_wrist,0.3296,0.9713
59,0,L_wrist,0.3201,0.9984
60,0,L_wrist,0.3860,1.1598
61,0,L_wrist,0.4646,1.3042
62,0,L_wrist,0.5470,1.4391
63,0,L_wrist,0.6227,1.5555
64,0,L_wrist,0.6332,1.5816
65,0,L_wrist,0.6672,1.6332
66,0,L_wrist,0.7429,1.7176
67,0,L_wrist,0.7950,1.7655
68,0,L_wrist,0.8120,1.7687
69,0,L_wrist,0.8493,1.7810
