frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,contact_surface_gap_m,audio_score,audio_anchor_type
1,0.000000,0.598572,-0.058632,4.408069,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,839.422,340.466,,839.422,340.466,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,-0.107772,3.427068,839.422,340.466,888.000,340.466,-0.023964,-0.023964,4.384105,4.408193,3.976674,4.408193,0.957037,0.863517,0.000000,
2,0.041667,0.608280,-0.065015,4.408159,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,842.652,338.340,,842.652,338.340,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,-0.117920,3.414575,842.652,338.340,842.487,284.206,-0.016622,-0.016622,4.391537,4.408193,3.971916,4.408193,0.976963,0.876558,0.000000,
3,0.083333,0.615830,-0.074663,4.408253,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,845.163,335.126,,845.163,335.126,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,-0.131512,3.399572,845.163,335.126,845.815,279.010,-0.056089,-0.056089,4.352164,4.408193,3.941736,4.408193,0.952592,0.891872,0.000000,
4,0.125000,0.625566,-0.088305,4.408351,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,848.402,330.582,,848.402,330.582,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.147918,3.383194,848.402,330.582,849.962,272.498,-0.115595,-0.115595,4.292756,4.408193,3.955407,4.408193,0.909563,0.908549,0.000000,
5,0.166667,0.639720,-0.112727,4.408458,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,853.112,322.447,,853.112,322.447,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.171333,3.365854,853.112,322.447,854.576,264.166,-0.080431,-0.080431,4.328027,4.408193,3.922481,4.408193,0.962173,0.926196,0.000000,
6,0.208333,0.655735,-0.139454,4.408521,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,858.444,313.544,,858.444,313.544,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.193177,3.347834,858.444,313.544,859.889,255.677,-0.065189,-0.065189,4.343332,4.408193,3.911556,4.408193,0.995498,0.944343,0.000000,
7,0.250000,0.674870,-0.171261,4.408529,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,864.818,302.948,,864.818,302.948,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.217695,3.328615,864.818,302.948,865.218,246.309,-0.106577,-0.106577,4.301952,4.408193,3.898293,4.408193,0.973337,0.963571,0.000000,
8,0.291667,0.693805,-0.202453,4.408525,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,871.126,292.557,,871.126,292.557,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.242289,3.313939,871.126,292.557,871.908,236.506,-0.091533,-0.091533,4.316992,4.408193,3.911556,4.408193,1.003053,0.978416,0.000000,
9,0.333333,0.714120,-0.228232,4.408498,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,877.895,283.969,,877.895,283.969,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.265047,3.300017,877.895,283.969,879.344,227.730,-0.098680,-0.098680,4.309818,4.408193,3.922481,4.408193,1.009801,0.992655,0.000000,
10,0.375000,0.733204,-0.256943,4.408420,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,884.257,274.403,,884.257,274.403,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.291682,3.295196,884.257,274.403,888.118,219.595,-0.137685,-0.137685,4.270735,4.408193,3.950121,4.408193,0.975539,0.997544,0.000000,
11,0.416667,0.749134,-0.284213,4.408307,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,889.570,265.316,,889.570,265.316,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.317210,3.304840,889.570,265.316,896.544,212.304,-0.112378,-0.112378,4.295929,4.408193,3.950121,4.408193,0.991089,0.987779,0.000000,
12,0.458333,0.749167,-0.305391,4.408276,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,889.583,258.260,,889.583,258.260,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.336906,3.324928,889.583,258.260,901.955,206.076,-0.153329,-0.153329,4.254947,4.408193,3.987929,4.408193,0.930019,0.966788,0.000000,
13,0.500000,0.741481,-0.320427,4.408210,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,887.026,253.249,,887.026,253.249,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.356257,3.343504,887.026,253.249,902.857,203.070,-0.131424,-0.131424,4.276786,4.408193,4.008424,4.408193,0.933282,0.947472,0.000000,
14,0.541667,0.722419,-0.325851,4.408128,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,880.680,251.440,,880.680,251.440,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.371420,3.365014,880.680,251.440,897.153,202.270,-0.093095,-0.093095,4.315033,4.408193,4.057145,4.408193,0.950019,0.925439,0.000000,
15,0.583333,0.692232,-0.320762,4.407992,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,870.630,253.132,,870.630,253.132,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.369685,3.384464,870.630,253.132,886.930,204.490,-0.080216,-0.080216,4.327776,4.408193,4.057145,4.408193,0.943312,0.905320,0.000000,
16,0.625000,0.655435,-0.293157,4.407797,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,858.380,262.325,,858.380,262.325,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.350259,3.405329,858.380,262.325,872.574,213.058,-0.073961,-0.073961,4.333836,4.408193,4.057145,4.408193,0.928507,0.884290,0.000000,
17,0.666667,0.603181,-0.231403,4.407661,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,840.976,282.898,,840.976,282.898,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.301726,3.423162,840.976,282.898,853.695,229.609,-0.115728,-0.115728,4.291933,4.408193,4.057145,4.408193,0.868772,0.867009,0.000000,
18,0.708333,0.546180,-0.138109,4.407459,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,821.992,313.981,,821.992,313.981,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.040359,3.958262,821.992,313.981,858.182,283.781,-0.030969,-0.030969,4.376490,4.408193,3.939684,4.408193,0.418228,0.556994,0.000000,
19,0.750000,0.484430,-0.013237,4.407172,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,801.427,355.589,,801.427,355.589,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.003699,3.949387,801.427,355.589,836.064,324.997,-0.068612,-0.068612,4.338560,4.408193,3.844441,4.408193,0.389173,0.522529,0.000000,
20,0.791667,0.420434,0.144854,4.406783,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,780.114,408.274,,780.114,408.274,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.039566,3.922383,780.114,408.274,804.523,368.563,-0.047338,-0.047338,4.359445,4.408193,3.844441,4.408193,0.437062,0.517393,0.000000,
21,0.833333,0.288357,0.338882,4.406732,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,736.099,472.937,,736.099,472.937,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.062741,3.898237,736.099,472.937,746.253,447.355,-0.068621,-0.068621,4.338111,4.408193,3.844441,4.408193,0.439874,0.524696,0.000000,
22,0.875000,0.142893,0.531746,4.406924,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,687.619,537.204,,687.619,537.204,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.070810,3.892159,687.619,537.204,650.872,548.114,0.726033,0.726033,5.132957,4.408193,3.844441,4.408193,1.240798,0.587546,0.000000,
23,0.916667,0.041148,0.614943,4.407086,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.712,564.922,,653.712,564.922,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,1,0,1,floor,,floor,right_hand,0.119901,3.687804,653.712,564.922,608.575,570.347,0.470215,0.470215,4.877301,4.408193,3.864327,4.408193,1.189497,0.762095,0.000000,
24,0.958333,-0.031111,0.454155,4.407180,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,629.633,511.338,,629.633,511.338,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.070163,3.920565,629.633,511.338,595.906,540.851,0.695013,0.695013,5.102193,4.408193,3.915820,4.408193,1.181628,0.501318,0.000000,
25,1.000000,-0.096078,0.327354,4.407190,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,607.984,469.084,,607.984,469.084,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.066679,3.924985,607.984,469.084,600.458,429.067,0.063279,0.063279,4.470469,4.408193,3.952259,4.408193,0.545483,0.429074,0.000000,
26,1.041667,-0.196489,0.201540,4.407248,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,574.525,427.158,,574.525,427.158,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.052634,3.940128,574.525,427.158,567.586,397.854,-0.025115,-0.025115,4.382133,4.408193,3.973267,4.408193,0.442005,0.370369,0.000000,
