frame,measurement_depth_m,candidate_depth_m,depth_delta_m,contact_event_active,support_event_active,flight_active,contact_depth_gap_m,contact_surface_gap_m,audio_score,audio_anchor_type
1,2.434702,4.408069,1.973367,0,0,0,0.957037,0.863517,0.000000,
2,2.429944,4.408159,1.978215,0,0,0,0.976963,0.876558,0.000000,
3,2.399764,4.408253,2.008489,0,0,0,0.952592,0.891872,0.000000,
4,2.413435,4.408351,1.994916,0,0,1,0.909563,0.908549,0.000000,
5,2.380509,4.408458,2.027949,0,0,1,0.962173,0.926196,0.000000,
6,2.369584,4.408521,2.038937,0,0,1,0.995498,0.944343,0.000000,
7,2.356321,4.408529,2.052208,0,0,1,0.973337,0.963571,0.000000,
8,2.369584,4.408525,2.038941,0,0,1,1.003053,0.978416,0.000000,
9,2.380509,4.408498,2.027989,0,0,1,1.009801,0.992655,0.000000,
10,2.408149,4.408420,2.000271,0,0,1,0.975539,0.997544,0.000000,
11,2.408149,4.408307,2.000158,0,0,1,0.991089,0.987779,0.000000,
12,2.445957,4.408276,1.962319,0,0,1,0.930019,0.966788,0.000000,
13,2.466452,4.408210,1.941758,0,0,1,0.933282,0.947472,0.000000,
14,2.515173,4.408128,1.892955,0,0,1,0.950019,0.925439,0.000000,
15,2.515173,4.407992,1.892819,0,0,1,0.943312,0.905320,0.000000,
16,2.515173,4.407797,1.892624,0,0,1,0.928507,0.884290,0.000000,
17,2.515173,4.407661,1.892488,0,0,1,0.868772,0.867009,0.000000,
18,2.397712,4.407459,2.009747,0,0,1,0.418228,0.556994,0.000000,
19,2.302469,4.407172,2.104703,0,0,1,0.389173,0.522529,0.000000,
20,2.302469,4.406783,2.104314,0,0,1,0.437062,0.517393,0.000000,
21,2.302469,4.406732,2.104263,0,0,1,0.439874,0.524696,0.000000,
22,2.302469,4.406924,2.104455,0,0,1,1.240798,0.587546,0.000000,
23,2.322355,4.407086,2.084731,0,1,0,1.189497,0.762095,0.000000,
24,2.373848,4.407180,2.033332,0,0,1,1.181628,0.501318,0.000000,
25,2.410287,4.407190,1.996903,0,0,1,0.545483,0.429074,0.000000,
26,2.431295,4.407248,1.975953,0,0,1,0.442005,0.370369,0.000000,
27,2.454642,4.407307,1.952665,0,0,1,0.401281,0.342606,0.000000,
28,2.495390,4.407628,1.912238,0,0,1,0.461205,0.337515,0.000000,
29,2.570753,4.407897,1.837144,0,0,1,0.498737,0.334746,0.000000,
30,2.634653,4.408070,1.773417,0,0,1,0.488926,0.333656,0.000000,
31,2.646714,4.408173,1.761459,0,0,1,0.439465,0.309286,0.000000,
32,2.725977,4.408200,1.682223,0,0,1,0.368568,0.300791,0.000000,
33,2.725977,4.408066,1.682089,0,0,1,0.399655,0.264568,0.000000,
34,2.725977,4.407941,1.681964,0,0,1,0.343340,0.233189,0.000000,
35,2.646714,4.407726,1.761012,0,0,1,0.323153,0.195523,0.000000,
36,2.623449,4.407369,1.783920,0,0,1,0.172973,0.154876,0.000000,
37,2.566949,4.406782,1.839833,0,0,1,0.190228,0.117650,0.000000,
38,2.541014,4.406099,1.865085,0,0,1,0.218002,0.118184,0.000000,
39,2.533120,4.405593,1.872473,0,0,1,0.137941,0.176161,0.000000,
40,2.472854,4.405462,1.932608,0,0,1,0.344210,0.256996,0.000000,
41,2.392787,4.405583,2.012796,0,0,1,0.357714,0.386677,0.000000,
42,2.378825,4.405733,2.026908,0,1,0,1.030025,0.900445,0.000000,
43,2.284574,4.405823,2.121249,0,0,1,0.386015,0.446597,0.000000,
44,2.283946,4.405806,2.121860,0,0,1,0.325436,0.395203,0.000000,
45,2.283946,4.406142,2.122196,0,0,1,0.302745,0.385407,0.000000,
46,2.283946,4.405843,2.121897,0,0,1,0.326683,0.502290,0.000000,
47,2.331382,4.406230,2.074848,0,0,1,0.383095,0.576061,0.000000,
48,2.331382,4.406564,2.075182,0,0,1,0.403213,0.652430,0.000000,
49,2.363690,4.406899,2.043209,0,0,1,0.379787,0.719743,0.000000,
50,2.510986,4.407087,1.896101,0,0,1,0.495267,0.775059,0.000000,
51,2.510986,4.407166,1.896180,0,0,1,0.477254,0.795088,0.000000,
52,2.510986,4.407004,1.896018,0,0,1,0.450091,0.785483,0.000000,
53,2.510986,4.406809,1.895823,0,0,1,0.431781,0.731535,0.000000,
54,2.471666,4.406497,1.934831,0,0,1,0.430714,0.670062,0.000000,
55,2.364022,4.406117,2.042095,0,0,1,0.418537,0.607381,0.000000,
56,2.322724,4.406060,2.083336,0,0,1,0.372566,0.557786,0.000000,
57,2.319976,4.405770,2.085794,0,0,1,0.504545,0.613667,0.000000,
58,2.299375,4.405757,2.106382,0,1,0,1.001627,0.722946,0.000000,
59,2.317119,4.405887,2.088768,0,0,1,0.565165,0.612721,0.000000,
60,2.319976,4.406072,2.086096,0,0,1,0.629871,0.564901,0.000000,
61,2.322724,4.406222,2.083498,0,0,1,0.634800,0.560634,0.000000,
62,2.322724,4.406408,2.083684,0,0,1,0.672389,0.564834,0.000000,
63,2.427511,4.406642,1.979131,0,0,1,1.181892,0.551730,0.000000,
64,2.627148,4.406940,1.779792,0,0,1,0.662309,0.544006,0.000000,
65,2.830564,4.407409,1.576845,0,0,1,0.755467,0.518618,0.000000,
66,2.845866,4.407629,1.561763,0,0,1,0.654674,0.492981,0.000000,
67,2.898499,4.407800,1.509301,0,0,1,0.586608,0.450821,0.000000,
68,2.970350,4.407909,1.437559,0,0,1,0.480384,0.415457,0.000000,
69,2.970350,4.407959,1.437609,0,0,1,0.475161,0.395245,0.000000,
70,2.970350,4.407997,1.437647,0,0,1,0.729782,0.358895,0.000000,
71,2.898499,4.408052,1.509553,0,0,1,0.478325,0.312111,0.000000,
72,2.583451,4.408117,1.824666,0,0,1,0.228609,0.279047,0.000000,
73,2.563321,4.408165,1.844844,0,0,0,0.273567,0.252316,0.000000,
74,2.535560,4.408218,1.872658,0,0,1,0.234563,0.262318,0.000000,
75,2.391676,4.408295,2.016619,0,0,1,0.296368,0.298768,0.000000,
76,2.378557,4.408308,2.029751,0,0,1,0.445826,0.346327,0.000000,
77,2.333604,4.408034,2.074430,0,0,1,0.412340,0.467299,0.000000,
78,2.331779,4.407868,2.076089,0,1,0,1.009651,0.749326,0.000000,
79,2.283463,4.407761,2.124298,0,0,1,0.321694,0.491568,0.000000,
80,2.272975,4.407672,2.134697,0,0,1,0.386658,0.470107,0.000000,
81,2.272975,4.407325,2.134350,0,0,1,0.435086,0.514268,0.000000,
82,2.272975,4.407419,2.134444,0,0,1,0.443416,0.559736,0.000000,
83,2.272975,4.407570,2.134595,0,0,1,0.484134,0.626994,0.000000,
84,2.277452,4.407683,2.130231,0,0,1,0.443408,0.707941,0.000000,
85,2.384151,4.407834,2.023683,0,0,1,0.500916,0.764541,0.000000,
86,2.410897,4.407927,1.997030,0,0,1,0.510559,0.812157,0.000000,
87,2.588177,4.408036,1.819859,0,0,1,1.188350,0.807299,0.000000,
88,2.588177,4.408103,1.819926,0,0,1,1.810710,0.770840,0.000000,
89,2.588177,4.408211,1.820034,0,0,1,0.450579,0.823573,0.000000,
90,2.588177,4.408050,1.819873,0,0,1,0.463496,0.800638,0.000000,
91,2.575924,4.407704,1.831780,0,0,1,0.461387,0.765662,0.000000,
92,2.350049,4.407179,2.057130,0,0,1,0.426701,0.731685,0.000000,
93,2.324316,4.406778,2.082462,0,0,1,0.380977,0.702120,0.000000,
94,2.291739,4.406670,2.114931,0,0,1,0.517360,0.680561,0.000000,
95,2.291739,4.406773,2.115034,0,0,1,0.424652,0.694125,0.000000,
96,2.291739,4.406910,2.115171,0,1,0,1.019341,0.706902,0.000000,
97,2.291739,4.407018,2.115279,0,0,1,0.615762,0.631922,0.000000,
