frame,time,ball_center_x,ball_center_y,radius,mask_area,source
94,3.875000,720.295,199.704,45.682,4739.0,sam2_mask_circle
95,3.916667,719.480,202.360,45.453,4746.0,sam2_mask_circle
96,3.958333,717.613,203.836,44.878,4697.5,sam2_mask_circle
97,4.000000,714.888,206.790,44.541,4682.5,sam2_mask_circle
98,4.041667,709.865,208.536,44.640,4710.5,sam2_mask_circle
99,4.083333,705.742,213.161,43.568,4641.5,sam2_mask_circle
100,4.125000,701.793,216.619,44.534,4722.5,sam2_mask_circle
101,4.166667,696.481,222.271,45.148,4651.0,sam2_mask_circle
102,4.208333,689.797,227.000,44.696,4696.5,sam2_mask_circle
103,4.250000,681.422,234.011,44.324,4747.0,sam2_mask_circle
104,4.291667,673.335,244.382,45.329,4768.0,sam2_mask_circle
105,4.333333,664.247,254.232,44.539,4764.0,sam2_mask_circle
106,4.375000,655.819,267.255,44.909,4729.5,sam2_mask_circle
107,4.416667,645.408,282.321,45.197,4714.5,sam2_mask_circle
108,4.458333,635.250,298.500,46.155,4871.5,sam2_mask_circle
109,4.500000,625.357,315.729,44.835,4737.0,sam2_mask_circle
110,4.541667,615.188,334.674,45.653,4897.5,sam2_mask_circle
111,4.583333,606.062,354.809,45.101,4767.0,sam2_mask_circle
112,4.625000,596.200,375.756,45.138,4750.0,sam2_mask_circle
113,4.666667,586.809,395.893,46.024,4938.0,sam2_mask_circle
114,4.708333,578.500,419.000,47.836,5038.5,sam2_mask_circle
115,4.750000,568.484,437.351,45.217,4796.0,sam2_mask_circle
116,4.791667,560.000,456.500,45.905,4835.5,sam2_mask_circle
117,4.833333,556.743,472.047,45.487,4780.5,sam2_mask_circle
118,4.875000,549.500,487.500,44.906,4727.5,sam2_mask_circle
119,4.916667,546.500,500.528,44.771,4776.0,sam2_mask_circle
120,4.958333,544.599,512.233,45.254,4734.5,sam2_mask_circle
121,5.000000,540.500,522.367,44.647,4587.0,sam2_mask_circle
122,5.041667,539.000,530.433,44.381,4575.5,sam2_mask_circle
123,5.083333,537.545,536.199,44.382,4500.5,sam2_mask_circle
124,5.125000,536.500,541.687,44.125,4592.0,sam2_mask_circle
125,5.166667,535.425,545.834,44.190,4462.0,sam2_mask_circle
126,5.208333,535.000,549.263,43.623,4461.5,sam2_mask_circle
127,5.250000,535.091,552.200,44.142,4559.0,sam2_mask_circle
128,5.291667,534.608,554.565,44.103,4496.5,sam2_mask_circle
129,5.333333,534.425,556.834,44.190,4501.0,sam2_mask_circle
130,5.375000,534.138,559.002,43.960,4498.5,sam2_mask_circle
131,5.416667,534.000,560.789,43.883,4480.0,sam2_mask_circle
132,5.458333,534.000,561.980,44.030,4584.5,sam2_mask_circle
133,5.500000,533.581,563.200,44.467,4614.0,sam2_mask_circle
134,5.541667,533.679,564.608,44.092,4483.5,sam2_mask_circle
135,5.583333,534.096,565.492,44.366,4518.0,sam2_mask_circle
136,5.625000,533.091,565.212,44.152,4478.0,sam2_mask_circle
137,5.666667,533.069,565.066,44.693,4546.5,sam2_mask_circle
138,5.708333,533.000,565.507,44.314,4523.0,sam2_mask_circle
139,5.750000,532.608,566.565,44.103,4505.0,sam2_mask_circle
140,5.791667,532.087,566.946,43.949,4485.0,sam2_mask_circle
141,5.833333,531.500,567.081,44.427,4554.0,sam2_mask_circle
142,5.875000,531.130,567.138,44.235,4559.0,sam2_mask_circle
143,5.916667,530.614,566.882,44.348,4544.0,sam2_mask_circle
144,5.958333,530.581,567.176,44.449,4546.0,sam2_mask_circle
145,6.000000,530.420,567.138,44.420,4544.0,sam2_mask_circle
146,6.041667,530.416,567.378,44.602,4540.0,sam2_mask_circle
147,6.083333,530.000,567.433,44.381,4549.5,sam2_mask_circle
148,6.125000,530.000,567.433,44.381,4549.5,sam2_mask_circle
149,6.166667,530.416,567.378,44.602,4556.0,sam2_mask_circle
150,6.208333,530.416,567.378,44.602,4552.0,sam2_mask_circle
151,6.250000,530.416,567.378,44.602,4554.0,sam2_mask_circle
152,6.291667,530.416,567.378,44.602,4554.0,sam2_mask_circle
153,6.333333,530.500,567.432,44.587,4553.0,sam2_mask_circle
154,6.375000,530.500,567.432,44.587,4556.0,sam2_mask_circle
155,6.416667,530.585,567.420,44.634,4564.0,sam2_mask_circle
156,6.458333,530.585,567.420,44.634,4564.5,sam2_mask_circle
157,6.500000,530.500,567.367,44.647,4575.0,sam2_mask_circle
158,6.541667,531.096,567.492,44.366,4548.5,sam2_mask_circle
159,6.583333,530.585,567.420,44.634,4614.0,sam2_mask_circle
160,6.625000,531.096,567.492,44.366,4585.5,sam2_mask_circle
161,6.666667,530.604,567.334,43.925,4449.5,sam2_mask_circle
162,6.708333,530.500,567.351,43.870,4428.5,sam2_mask_circle
163,6.750000,530.455,567.196,44.380,4533.0,sam2_mask_circle
164,6.791667,530.500,567.824,44.231,4466.0,sam2_mask_circle
165,6.833333,530.000,567.445,44.390,4546.5,sam2_mask_circle
