frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
44,1.791667,724.180,222.407,1.000000,687.525,223.313,1.000000,734.073,252.613,0.000000,724.959,188.936,0.000000,708.421,269.671,1.000000
45,1.833333,725.287,219.731,1.000000,688.758,220.908,1.000000,733.930,251.804,0.000000,726.078,186.545,0.000000,708.631,267.676,1.000000
46,1.875000,725.924,217.691,1.000000,689.428,219.002,1.000000,734.047,251.506,0.000000,727.017,184.712,0.000000,708.641,266.131,1.000000
47,1.916667,726.229,215.619,1.000000,690.068,217.047,1.000000,734.167,249.874,0.000000,728.048,182.681,0.000000,708.375,264.456,1.000000
48,1.958333,726.468,213.085,1.000000,690.485,214.542,1.000000,733.980,249.059,0.000000,728.609,180.952,0.000000,708.261,262.512,1.000000
49,2.000000,726.470,211.046,1.000000,690.909,212.665,1.000000,733.464,248.577,0.000000,728.917,179.152,0.000000,707.830,261.200,1.000000
50,2.041667,726.652,209.101,1.000000,691.320,210.816,1.000000,732.900,248.476,0.000000,729.840,177.507,0.000000,707.267,260.035,1.000000
51,2.083333,726.772,206.539,1.000000,691.690,208.532,1.000000,732.704,248.083,0.000000,730.263,175.524,0.000000,706.500,258.740,1.000000
52,2.125000,726.697,204.362,1.000000,691.879,206.510,1.000000,732.182,247.651,0.000000,730.347,173.925,0.000000,705.723,257.377,1.000000
53,2.166667,726.327,202.445,1.000000,691.919,204.734,1.000000,731.423,247.714,0.000000,730.688,172.343,0.000000,704.851,256.313,0.000000
54,2.208333,726.014,200.203,1.000000,691.923,202.660,1.000000,731.119,247.335,0.000000,730.808,170.436,0.000000,704.082,254.864,0.000000
55,2.250000,725.746,197.809,1.000000,692.094,200.359,1.000000,730.567,247.402,0.000000,731.300,168.633,0.000000,703.509,253.501,0.000000
56,2.291667,725.431,195.771,1.000000,692.283,198.333,1.000000,729.997,247.067,0.000000,731.196,167.376,0.000000,702.806,252.420,0.000000
57,2.333333,725.312,193.915,1.000000,692.702,196.434,1.000000,730.034,247.272,0.000000,731.646,165.946,0.000000,702.711,251.427,0.000000
58,2.375000,724.967,191.490,1.000000,692.830,194.135,1.000000,729.438,247.407,0.000000,731.930,164.178,0.000000,702.140,250.126,0.000000
59,2.416667,724.652,189.687,1.000000,692.930,192.294,1.000000,729.339,247.028,0.000000,731.844,162.743,0.000000,701.813,249.046,0.000000
60,2.458333,723.826,188.180,1.000000,692.727,190.562,1.000000,728.605,247.029,0.000000,731.680,161.710,0.000000,701.267,248.002,0.000000
61,2.500000,723.174,186.891,1.000000,692.434,189.103,1.000000,728.209,247.255,0.000000,732.018,160.606,0.000000,700.864,247.102,0.000000
62,2.541667,722.542,185.819,1.000000,692.010,187.923,0.000000,727.636,247.264,0.000000,731.809,159.945,0.000000,700.306,246.378,0.000000
63,2.583333,721.987,184.846,1.000000,691.636,186.947,0.000000,727.106,246.953,0.000000,731.830,159.263,0.000000,699.833,245.792,0.000000
64,2.625000,721.508,183.746,1.000000,691.279,185.735,0.000000,727.266,246.884,0.000000,731.628,158.918,0.000000,699.369,244.837,0.000000
65,2.666667,727.984,186.562,1.000000,687.000,186.562,1.000000,770.000,186.562,1.000000,727.984,144.000,1.000000,727.984,228.000,1.000000
66,2.708333,728.438,185.325,1.000000,687.512,185.248,1.000000,770.298,186.227,1.000000,728.643,143.568,1.000000,728.250,227.777,1.000000
67,2.750000,727.993,184.223,1.000000,687.321,184.012,1.000000,770.168,185.688,1.000000,728.466,142.768,1.000000,728.071,227.442,1.000000
68,2.791667,727.685,183.016,1.000000,687.195,182.700,1.000000,770.142,185.019,1.000000,728.499,141.777,1.000000,728.094,226.967,1.000000
69,2.833333,727.363,181.837,1.000000,686.981,181.465,1.000000,769.965,184.303,1.000000,728.497,140.795,1.000000,728.057,226.543,1.000000
70,2.875000,727.177,180.639,1.000000,686.896,180.152,1.000000,769.824,183.774,1.000000,728.674,139.936,1.000000,727.982,226.202,1.000000
71,2.916667,726.841,179.468,1.000000,686.592,178.779,1.000000,769.645,183.290,1.000000,728.625,139.249,1.000000,727.874,225.872,1.000000
72,2.958333,726.723,178.195,1.000000,686.687,177.473,0.000000,769.685,182.897,1.000000,728.854,138.539,0.000000,728.047,225.570,1.000000
73,3.000000,726.449,177.283,1.000000,686.528,176.558,0.000000,769.392,182.578,1.000000,728.820,137.972,0.000000,728.100,225.500,1.000000
74,3.041667,726.391,176.429,1.000000,686.547,175.602,0.000000,769.320,182.197,1.000000,729.108,137.290,0.000000,728.205,225.279,1.000000
75,3.083333,726.067,175.763,1.000000,686.215,174.924,0.000000,768.998,181.842,1.000000,728.973,136.855,0.000000,728.171,225.252,1.000000
76,3.125000,726.172,175.219,1.000000,686.337,174.281,0.000000,768.974,181.460,1.000000,729.374,136.411,0.000000,728.351,225.007,1.000000
77,3.166667,726.084,174.756,1.000000,686.202,173.788,0.000000,768.864,181.152,1.000000,729.280,136.085,0.000000,728.355,224.994,1.000000
78,3.208333,725.895,174.428,1.000000,686.031,173.418,0.000000,768.810,180.957,1.000000,729.219,135.910,0.000000,728.264,224.874,1.000000
79,3.250000,725.927,174.001,1.000000,686.008,172.956,0.000000,768.744,180.635,1.000000,729.166,135.574,0.000000,728.152,224.686,1.000000
80,3.291667,725.809,173.708,1.000000,686.009,172.633,0.000000,768.561,180.409,1.000000,729.068,135.396,0.000000,727.955,224.552,1.000000
81,3.333333,725.747,173.673,1.000000,685.909,172.649,0.000000,768.448,180.335,1.000000,728.986,135.355,0.000000,728.012,224.633,1.000000
82,3.375000,725.753,173.961,1.000000,685.872,172.979,0.000000,768.310,180.337,1.000000,728.824,135.541,0.000000,727.913,224.614,1.000000
83,3.416667,725.719,174.513,1.000000,685.786,173.657,0.000000,768.220,180.396,1.000000,728.628,135.809,0.000000,727.906,224.662,1.000000
84,3.458333,725.581,175.514,1.000000,685.701,174.581,0.000000,768.130,180.762,1.000000,728.374,136.186,0.000000,727.781,224.723,1.000000
85,3.500000,725.505,177.148,1.000000,685.600,176.365,0.000000,767.891,181.174,1.000000,727.878,137.167,0.000000,727.781,225.044,1.000000
86,3.541667,725.352,178.831,1.000000,685.514,178.199,0.000000,767.917,181.564,1.000000,727.726,137.980,0.000000,727.874,225.194,1.000000
87,3.583333,725.297,180.553,1.000000,685.361,180.359,1.000000,767.789,182.037,1.000000,727.285,138.934,0.000000,727.796,225.698,1.000000
88,3.625000,725.352,182.546,1.000000,685.305,182.744,1.000000,767.673,182.524,1.000000,726.763,139.994,0.000000,727.492,226.156,1.000000
89,3.666667,724.960,185.565,1.000000,684.780,186.026,1.000000,767.264,183.153,1.000000,726.068,141.661,1.000000,727.454,226.974,1.000000
90,3.708333,724.577,188.533,1.000000,684.160,189.620,1.000000,766.595,183.658,1.000000,724.977,143.377,1.000000,727.036,227.815,1.000000
91,3.750000,724.555,191.799,1.000000,683.767,193.671,1.000000,766.161,184.040,1.000000,724.297,144.925,1.000000,727.176,229.030,1.000000
92,3.791667,724.172,195.522,1.000000,683.137,198.243,1.000000,765.625,184.630,1.000000,723.257,146.842,1.000000,727.077,230.689,0.000000
93,3.833333,724.006,199.231,1.000000,683.161,202.986,1.000000,765.238,185.170,1.000000,722.582,148.882,1.000000,727.774,232.686,0.000000
94,3.875000,723.331,202.921,1.000000,682.694,207.321,1.000000,764.694,185.807,1.000000,721.490,151.013,1.000000,727.893,234.674,0.000000
95,3.916667,722.366,206.345,1.000000,681.964,211.696,1.000000,764.045,186.447,1.000000,720.289,153.612,1.000000,727.846,236.572,0.000000
96,3.958333,720.480,209.321,1.000000,680.270,215.089,1.000000,763.227,186.987,1.000000,718.473,155.660,1.000000,727.167,238.290,0.000000
97,4.000000,713.902,206.346,1.000000,672.000,206.346,1.000000,750.000,206.346,1.000000,713.902,166.000,1.000000,713.902,248.000,1.000000
