frame,time,ball_center_x,ball_center_y,source
1,0.000000,534.500,545.000,cotracker_box_center
2,0.041667,535.335,545.103,cotracker_box_center
3,0.083333,535.591,544.982,cotracker_box_center
4,0.125000,535.866,544.703,cotracker_box_center
5,0.166667,536.627,544.486,cotracker_box_center
6,0.208333,537.400,544.132,cotracker_box_center
7,0.250000,538.303,543.365,cotracker_box_center
8,0.291667,539.593,542.137,cotracker_tb_center
9,0.333333,541.437,540.748,cotracker_tb_center
10,0.375000,543.405,539.082,cotracker_tb_center
11,0.416667,545.638,536.658,cotracker_tb_center
12,0.458333,549.529,532.053,cotracker_center_fallback
13,0.500000,552.817,527.303,cotracker_center_fallback
14,0.541667,556.293,521.720,cotracker_center_fallback
15,0.583333,561.144,513.758,cotracker_center_fallback
16,0.625000,566.005,504.557,cotracker_center_fallback
17,0.666667,571.517,493.704,cotracker_center_fallback
18,0.708333,576.947,481.305,cotracker_center_fallback
19,0.750000,584.041,467.744,cotracker_center_fallback
20,0.791667,591.682,453.821,cotracker_center_fallback
21,0.833333,598.753,439.467,cotracker_center_fallback
22,0.875000,606.754,423.036,cotracker_center_fallback
23,0.916667,614.483,407.300,cotracker_center_fallback
24,0.958333,622.941,391.695,cotracker_center_fallback
25,1.000000,631.063,375.841,cotracker_center_fallback
26,1.041667,638.881,359.644,cotracker_center_fallback
27,1.083333,647.479,343.784,cotracker_center_fallback
28,1.125000,655.628,329.626,cotracker_center_fallback
29,1.166667,663.933,316.238,cotracker_center_fallback
30,1.208333,672.673,303.196,cotracker_center_fallback
31,1.250000,679.367,291.552,cotracker_center_fallback
32,1.291667,685.491,280.669,cotracker_center_fallback
33,1.333333,688.000,277.500,cotracker_box_center
34,1.375000,694.266,269.183,cotracker_center_fallback
35,1.416667,698.952,261.132,cotracker_center_fallback
36,1.458333,704.030,253.482,cotracker_center_fallback
37,1.500000,708.033,248.170,cotracker_center_fallback
38,1.541667,711.149,243.025,cotracker_center_fallback
39,1.583333,713.996,238.874,cotracker_center_fallback
40,1.625000,716.524,234.767,cotracker_center_fallback
41,1.666667,718.874,231.878,cotracker_center_fallback
42,1.708333,721.192,228.179,cotracker_center_fallback
43,1.750000,722.664,225.611,cotracker_center_fallback
44,1.791667,724.180,222.407,cotracker_center_fallback
45,1.833333,725.287,219.731,cotracker_center_fallback
46,1.875000,725.924,217.691,cotracker_center_fallback
47,1.916667,726.229,215.619,cotracker_center_fallback
48,1.958333,726.468,213.085,cotracker_center_fallback
49,2.000000,726.470,211.046,cotracker_center_fallback
50,2.041667,726.652,209.101,cotracker_center_fallback
51,2.083333,726.772,206.539,cotracker_center_fallback
52,2.125000,726.697,204.362,cotracker_center_fallback
53,2.166667,726.327,202.445,cotracker_center_fallback
54,2.208333,726.014,200.203,cotracker_center_fallback
55,2.250000,725.746,197.809,cotracker_center_fallback
56,2.291667,725.431,195.771,cotracker_center_fallback
57,2.333333,725.312,193.915,cotracker_center_fallback
58,2.375000,724.967,191.490,cotracker_center_fallback
59,2.416667,724.652,189.687,cotracker_center_fallback
60,2.458333,723.826,188.180,cotracker_center_fallback
61,2.500000,723.174,186.891,cotracker_center_fallback
62,2.541667,722.542,185.819,cotracker_center_fallback
63,2.583333,721.987,184.846,cotracker_center_fallback
64,2.625000,721.508,183.746,cotracker_center_fallback
65,2.666667,728.500,186.000,cotracker_box_center
66,2.708333,728.905,185.673,cotracker_box_center
67,2.750000,728.745,185.105,cotracker_box_center
68,2.791667,728.669,184.372,cotracker_box_center
69,2.833333,728.473,183.669,cotracker_box_center
70,2.875000,728.360,183.069,cotracker_box_center
71,2.916667,728.119,182.561,cotracker_box_center
72,2.958333,726.723,178.195,cotracker_center_fallback
73,3.000000,726.449,177.283,cotracker_center_fallback
74,3.041667,726.391,176.429,cotracker_center_fallback
75,3.083333,726.067,175.763,cotracker_center_fallback
76,3.125000,726.172,175.219,cotracker_center_fallback
77,3.166667,726.084,174.756,cotracker_center_fallback
78,3.208333,725.895,174.428,cotracker_center_fallback
79,3.250000,725.927,174.001,cotracker_center_fallback
80,3.291667,725.809,173.708,cotracker_center_fallback
81,3.333333,725.747,173.673,cotracker_center_fallback
82,3.375000,725.753,173.961,cotracker_center_fallback
83,3.416667,725.719,174.513,cotracker_center_fallback
84,3.458333,725.581,175.514,cotracker_center_fallback
85,3.500000,725.505,177.148,cotracker_center_fallback
86,3.541667,725.352,178.831,cotracker_center_fallback
87,3.583333,726.575,181.198,cotracker_lr_center
88,3.625000,726.489,182.634,cotracker_lr_center
89,3.666667,726.022,184.318,cotracker_box_center
90,3.708333,725.378,185.596,cotracker_box_center
91,3.750000,724.964,186.977,cotracker_box_center
92,3.791667,724.381,191.437,cotracker_lr_center
93,3.833333,724.199,194.078,cotracker_lr_center
94,3.875000,723.694,196.564,cotracker_lr_center
95,3.916667,723.005,199.072,cotracker_lr_center
96,3.958333,721.748,201.038,cotracker_lr_center
97,4.000000,711.000,207.000,cotracker_box_center
98,4.041667,709.874,209.431,cotracker_box_center
99,4.083333,707.397,211.398,cotracker_lr_center
100,4.125000,705.009,214.538,cotracker_lr_center
101,4.166667,702.072,218.487,cotracker_lr_center
102,4.208333,699.157,222.326,cotracker_lr_center
103,4.250000,695.641,224.870,cotracker_box_center
104,4.291667,692.198,229.526,cotracker_box_center
105,4.333333,688.574,235.833,cotracker_box_center
106,4.375000,684.686,242.759,cotracker_box_center
107,4.416667,681.099,250.042,cotracker_box_center
108,4.458333,671.767,258.277,cotracker_tb_center
109,4.500000,666.779,267.354,cotracker_tb_center
110,4.541667,662.096,276.408,cotracker_tb_center
111,4.583333,656.770,286.962,cotracker_tb_center
112,4.625000,651.838,297.817,cotracker_tb_center
113,4.666667,646.667,308.347,cotracker_tb_center
114,4.708333,641.621,318.992,cotracker_tb_center
115,4.750000,637.176,329.489,cotracker_tb_center
116,4.791667,633.815,339.455,cotracker_tb_center
117,4.833333,629.445,348.414,cotracker_tb_center
118,4.875000,552.499,496.290,cotracker_center_fallback
119,4.916667,624.006,363.792,cotracker_tb_center
120,4.958333,621.748,370.589,cotracker_tb_center
121,5.000000,619.525,376.154,cotracker_tb_center
122,5.041667,618.377,381.177,cotracker_tb_center
123,5.083333,617.522,384.274,cotracker_tb_center
124,5.125000,616.804,387.533,cotracker_tb_center
125,5.166667,616.005,390.243,cotracker_tb_center
126,5.208333,615.431,392.029,cotracker_tb_center
127,5.250000,614.610,393.763,cotracker_tb_center
128,5.291667,614.602,395.466,cotracker_tb_center
129,5.333333,534.000,559.000,cotracker_box_center
130,5.375000,534.590,559.982,cotracker_box_center
131,5.416667,534.422,561.299,cotracker_box_center
132,5.458333,534.204,562.227,cotracker_box_center
133,5.500000,534.165,562.160,cotracker_lr_center
134,5.541667,533.971,562.958,cotracker_lr_center
135,5.583333,533.673,563.877,cotracker_lr_center
136,5.625000,533.552,564.008,cotracker_lr_center
137,5.666667,533.367,564.074,cotracker_lr_center
138,5.708333,533.177,564.586,cotracker_lr_center
139,5.750000,532.943,565.422,cotracker_lr_center
140,5.791667,532.818,566.032,cotracker_lr_center
141,5.833333,532.531,566.108,cotracker_lr_center
142,5.875000,532.236,566.247,cotracker_lr_center
143,5.916667,532.005,566.211,cotracker_lr_center
144,5.958333,531.756,566.424,cotracker_lr_center
145,6.000000,531.529,566.471,cotracker_lr_center
146,6.041667,531.559,566.364,cotracker_lr_center
147,6.083333,531.511,566.307,cotracker_lr_center
148,6.125000,531.560,566.347,cotracker_lr_center
149,6.166667,531.537,566.284,cotracker_lr_center
150,6.208333,531.673,566.236,cotracker_lr_center
151,6.250000,531.612,566.158,cotracker_lr_center
152,6.291667,531.613,566.071,cotracker_lr_center
153,6.333333,531.541,566.004,cotracker_lr_center
154,6.375000,531.454,565.916,cotracker_lr_center
155,6.416667,531.288,565.666,cotracker_lr_center
156,6.458333,531.240,565.363,cotracker_lr_center
157,6.500000,531.140,565.032,cotracker_lr_center
158,6.541667,531.203,567.186,cotracker_center_fallback
159,6.583333,531.192,567.065,cotracker_center_fallback
160,6.625000,531.267,566.999,cotracker_center_fallback
161,6.666667,530.500,569.500,cotracker_box_center
162,6.708333,531.343,569.592,cotracker_box_center
163,6.750000,531.887,569.351,cotracker_box_center
164,6.791667,531.390,568.759,cotracker_tb_center
165,6.833333,532.398,568.474,cotracker_tb_center
166,6.875000,530.926,568.598,cotracker_center_fallback
167,6.916667,535.478,568.225,cotracker_tb_center
168,6.958333,530.863,568.734,cotracker_center_fallback
169,7.000000,541.362,568.809,cotracker_tb_center
170,7.041667,543.731,570.242,cotracker_tb_center
171,7.083333,548.733,571.387,cotracker_tb_center
172,7.125000,547.686,572.369,cotracker_tb_center
173,7.166667,546.198,572.955,cotracker_tb_center
174,7.208333,530.395,569.096,cotracker_center_fallback
175,7.250000,530.371,569.136,cotracker_center_fallback
176,7.291667,530.376,569.126,cotracker_center_fallback
177,7.333333,530.496,569.256,cotracker_center_fallback
178,7.375000,530.474,569.283,cotracker_center_fallback
179,7.416667,530.408,569.250,cotracker_center_fallback
180,7.458333,530.426,569.272,cotracker_center_fallback
181,7.500000,530.431,569.205,cotracker_center_fallback
182,7.541667,530.404,569.186,cotracker_center_fallback
183,7.583333,530.389,569.169,cotracker_center_fallback
184,7.625000,530.421,569.257,cotracker_center_fallback
185,7.666667,530.359,569.272,cotracker_center_fallback
186,7.708333,530.400,569.273,cotracker_center_fallback
187,7.750000,530.330,569.286,cotracker_center_fallback
188,7.791667,530.288,569.344,cotracker_center_fallback
189,7.833333,530.430,569.296,cotracker_center_fallback
190,7.875000,530.384,569.247,cotracker_center_fallback
191,7.916667,530.465,569.102,cotracker_center_fallback
192,7.958333,530.423,569.291,cotracker_center_fallback
