frame,time,ball_center_y,ball_radius_px,ball_bottom_v,floor_v,left_support_v,right_support_v,floor_gap_px,floor_score,is_local_peak,is_bounce_turn,is_candidate,floor_contact_state
53,2.166667,504.851,44.883,549.734,671.087,,,121.35299999999995,1.0512394859804303e-32,0,0,0,0
54,2.208333,474.877,46.847,521.724,671.087,,,149.36299999999994,3.597145850497317e-49,0,0,0,0
55,2.25,454.887,46.945,501.832,671.087,,,169.255,6.212638802481361e-63,0,0,0,0
56,2.291667,441.264,47.22,488.48400000000004,671.087,,,182.60299999999995,3.9331229086257526e-73,0,0,0,0
57,2.333333,433.403,46.387,479.79,671.087,,,191.29699999999997,3.435272986344556e-80,0,0,0,0
58,2.375,433.34,47.67,481.01,671.087,,,190.077,3.5180001942436806e-79,0,0,0,0
59,2.416667,441.5,47.035,488.53499999999997,671.087,,,182.55200000000002,4.316946262283757e-73,0,0,0,0
60,2.458333,465.868,46.761,512.629,671.087,,,158.45799999999997,2.996638902250534e-55,0,0,0,0
61,2.5,513.394,46.388,559.782,671.087,,,111.30499999999995,1.2533028991418736e-27,0,0,0,0
62,2.541667,574.562,46.101,620.663,671.087,,,50.42399999999998,3.0120221925779875e-06,0,0,0,0
63,2.583333,622.839,46.303,669.142,671.087,,,1.9449999999999363,0.9812626433753707,1,1,1,1
64,2.625,581.122,47.08,628.202,671.087,,,42.88499999999999,0.00010148331827095538,0,0,0,0
65,2.666667,538.214,46.239,584.4530000000001,671.087,,,86.6339999999999,5.036426490291932e-17,0,0,0,0
66,2.708333,501.887,47.271,549.158,671.087,,,121.92899999999997,5.2168974335532485e-33,0,0,0,0
67,2.75,476.656,47.448,524.104,671.087,,,146.98299999999995,1.2232214674554175e-47,0,0,0,0
68,2.791667,458.268,46.503,504.77099999999996,671.087,,,166.31600000000003,8.607478278193717e-61,0,0,0,0
69,2.833333,447.87,46.322,494.192,671.087,,,176.89499999999998,1.1236487454626213e-68,0,0,0,0
70,2.875,443.0,47.024,490.024,671.087,,,181.063,6.469357832989234e-72,0,0,0,0
71,2.916667,443.655,47.364,491.01899999999995,671.087,,,180.06800000000004,3.900553564104637e-71,0,0,0,0
72,2.958333,456.715,47.866,504.58099999999996,671.087,,,166.50600000000003,6.274228270267892e-61,0,0,0,0
73,3.0,490.0,47.13,537.13,671.087,,,133.957,1.0815869727053063e-39,0,0,0,0
74,3.041667,536.305,47.73,584.035,671.087,,,87.05200000000002,3.5032568377571444e-17,0,0,0,0
75,3.083333,600.397,45.833,646.23,671.087,,,24.85699999999997,0.04553143807116259,0,0,0,0
76,3.125,612.849,46.876,659.725,671.087,,,11.361999999999966,0.5244132712072845,1,1,1,1
77,3.166667,568.9,45.14,614.04,671.087,,,57.047000000000025,8.575246156628538e-08,0,0,0,0
78,3.208333,531.44,47.813,579.253,671.087,,,91.83399999999995,4.863211328519221e-19,0,0,0,0
79,3.25,496.675,45.989,542.664,671.087,,,128.423,1.538378135634933e-36,0,0,0,0
80,3.291667,471.324,46.626,517.95,671.087,,,153.13699999999994,1.1937933158656694e-51,0,0,0,0
81,3.333333,451.13,46.86,497.99,671.087,,,173.09699999999998,8.651728197503725e-66,0,0,0,0
82,3.375,441.722,47.602,489.32399999999996,671.087,,,181.76300000000003,1.8169982941233956e-72,0,0,0,0
83,3.416667,442.772,47.278,490.05,671.087,,,181.03699999999998,6.781171336807751e-72,0,0,0,0
84,3.458333,460.724,46.704,507.428,671.087,,,163.659,6.897638327572545e-59,0,0,0,0
85,3.5,493.835,47.806,541.641,671.087,,,129.44600000000003,4.113662951931573e-37,0,0,0,0
86,3.541667,546.629,46.902,593.5310000000001,671.087,,,77.55599999999993,8.684376632384489e-14,0,0,0,0
87,3.583333,605.582,45.56,651.142,671.087,,,19.944999999999936,0.13683011967026099,1,1,1,0
88,3.625,603.262,44.967,648.2289999999999,671.087,,,22.85800000000006,0.07335527804462319,0,0,0,0
89,3.666667,553.193,48.395,601.588,671.087,,,69.49900000000002,3.247485543369825e-11,0,0,0,0
90,3.708333,516.5,47.846,564.346,671.087,,,106.74099999999999,1.815610763364377e-25,0,0,0,0
91,3.75,487.378,47.747,535.125,671.087,,,135.962,7.225826289267857e-41,0,0,0,0
92,3.791667,461.827,48.546,510.373,671.087,,,160.714,8.185803068413719e-57,0,0,0,0
93,3.833333,448.241,46.812,495.053,671.087,,,176.034,5.134284745420388e-68,0,0,0,0
94,3.875,439.968,47.409,487.377,671.087,,,183.70999999999998,5.178297744751316e-74,0,0,0,0
95,3.916667,440.027,47.162,487.18899999999996,671.087,,,183.89800000000002,3.6653537856735285e-74,0,0,0,0
96,3.958333,449.068,50.747,499.815,671.087,,,171.272,2.00362097603389e-64,0,0,0,0
97,4.0,485.181,49.251,534.432,671.087,,,136.65499999999997,2.8096043922433584e-41,0,0,0,0
98,4.041667,547.582,45.926,593.508,671.087,,,77.57899999999995,8.530816662164792e-14,0,0,0,0
99,4.083333,611.295,45.857,657.1519999999999,671.087,,,13.93500000000006,0.378734016011088,1,1,1,1
100,4.125,607.489,45.464,652.953,671.087,,,18.134000000000015,0.1931651454601294,0,0,0,0
101,4.166667,567.214,45.627,612.841,671.087,,,58.24599999999998,4.29605931418947e-08,0,0,0,0
102,4.208333,532.5,51.464,583.9639999999999,671.087,,,87.12300000000005,3.293203950052855e-17,0,0,0,0
103,4.25,498.503,47.812,546.3149999999999,671.087,,,124.77200000000005,1.5646047587829549e-34,0,0,0,0
104,4.291667,473.59,46.684,520.274,671.087,,,150.813,4.081439744415519e-50,0,0,0,0
105,4.333333,458.857,47.149,506.00600000000003,671.087,,,165.08099999999996,6.662020218343493e-60,0,0,0,0
106,4.375,448.577,47.074,495.651,671.087,,,175.43599999999998,1.468513626193326e-67,0,0,0,0
107,4.416667,446.076,47.171,493.247,671.087,,,177.83999999999997,2.1023240359439993e-69,0,0,0,0
108,4.458333,451.892,47.265,499.157,671.087,,,171.93,6.477965821279929e-65,0,0,0,0
109,4.5,472.644,46.51,519.154,671.087,,,151.933,7.490662895585205e-51,0,0,0,0
110,4.541667,511.55,48.138,559.688,671.087,,,111.399,1.128750767652038e-27,0,0,0,0
111,4.583333,571.2,46.12,617.32,671.087,,,53.76699999999994,5.278511821270665e-07,0,0,0,0
112,4.625,624.0,47.087,671.087,671.087,,,0.0,1.0,1,1,1,1
113,4.666667,587.33,46.575,633.9050000000001,671.087,,,37.1819999999999,0.0009952609240074367,0,0,0,0
114,4.708333,547.198,44.775,591.973,671.087,,,79.11400000000003,2.5627126385429544e-14,0,0,0,0
115,4.75,509.838,47.74,557.578,671.087,,,113.50900000000001,1.052235763327147e-28,0,0,0,0
116,4.791667,481.712,46.952,528.664,671.087,,,142.423,8.977976651595003e-45,0,0,0,0
117,4.833333,461.457,46.812,508.269,671.087,,,162.81799999999998,2.72217113595554e-58,0,0,0,0
118,4.875,449.076,46.15,495.226,671.087,,,175.861,6.96104577853082e-68,0,0,0,0
119,4.916667,442.167,46.405,488.572,671.087,,,182.515,4.6185724487369193e-73,0,0,0,0
120,4.958333,440.936,46.422,487.35799999999995,671.087,,,183.72900000000004,5.000658864032293e-74,0,0,0,0
121,5.0,447.211,46.908,494.119,671.087,,,176.96799999999996,9.874999859795065e-69,0,0,0,0
122,5.041667,468.898,49.009,517.907,671.087,,,153.17999999999995,1.1177052982313274e-51,0,0,0,0
123,5.083333,511.0,47.011,558.011,671.087,,,113.07600000000002,1.718537646776429e-28,0,0,0,0
124,5.125,570.328,45.296,615.624,671.087,,,55.462999999999965,2.090438402535244e-07,0,0,0,0
125,5.166667,620.27,47.889,668.159,671.087,,,2.9279999999999973,0.9580398354369961,1,1,1,1
126,5.208333,590.61,44.323,634.933,671.087,,,36.153999999999996,0.001450918347388725,0,0,0,0
127,5.25,544.569,47.318,591.887,671.087,,,79.20000000000005,2.3940615140955837e-14,0,0,0,0
128,5.291667,501.674,51.457,553.131,671.087,,,117.95600000000002,6.1229756936949734e-31,0,0,0,0
129,5.333333,477.37,48.48,525.85,671.087,,,145.23699999999997,1.568286203047948e-46,0,0,0,0
130,5.375,457.539,47.394,504.933,671.087,,,166.154,1.1267608360678121e-60,0,0,0,0
131,5.416667,448.31,47.342,495.652,671.087,,,175.435,1.4710921816053268e-67,0,0,0,0
132,5.458333,449.775,47.188,496.96299999999997,671.087,,,174.12400000000002,1.4546702717777377e-66,0,0,0,0
133,5.5,461.0,47.437,508.437,671.087,,,162.64999999999998,3.578067655496556e-58,0,0,0,0
134,5.541667,488.059,48.61,536.669,671.087,,,134.418,5.826462842958556e-40,0,0,0,0
135,5.583333,534.264,52.033,586.297,671.087,,,84.78999999999996,2.446457324012098e-16,0,0,0,0
136,5.625,600.662,47.42,648.082,671.087,,,23.004999999999995,0.07092373565166593,0,0,0,0
137,5.666667,606.485,45.401,651.886,671.087,,,19.201000000000022,0.15827962922398015,1,1,1,0
138,5.708333,561.797,44.101,605.898,671.087,,,65.18899999999996,5.916957168447128e-10,0,0,0,0
139,5.75,515.486,50.364,565.85,671.087,,,105.23699999999997,8.939650369388836e-25,0,0,0,0
140,5.791667,489.148,48.392,537.5400000000001,671.087,,,133.5469999999999,1.8716353768645893e-39,0,0,0,0
141,5.833333,469.061,47.119,516.18,671.087,,,154.90700000000004,7.815560510421952e-53,0,0,0,0
142,5.875,455.668,47.581,503.249,671.087,,,167.83799999999997,6.768669546193393e-62,0,0,0,0
143,5.916667,452.481,47.32,499.801,671.087,,,171.286,1.9561474879725813e-64,0,0,0,0
144,5.958333,459.602,47.917,507.519,671.087,,,163.56799999999998,8.005008166705349e-59,0,0,0,0
145,6.0,478.287,47.131,525.418,671.087,,,145.66899999999998,8.366298610458624e-47,0,0,0,0
146,6.041667,524.927,45.793,570.72,671.087,,,100.36699999999996,1.3353569052373418e-22,0,0,0,0
147,6.083333,580.774,44.782,625.556,671.087,,,45.53099999999995,3.150514144422911e-05,0,0,0,0
148,6.125,624.407,45.121,669.528,671.087,,,1.558999999999969,0.9879211372670605,1,1,1,1
149,6.166667,583.886,45.48,629.366,671.087,,,41.721000000000004,0.00016605205988652537,0,0,0,0
150,6.208333,545.289,45.223,590.512,671.087,,,80.57500000000005,7.981475306779757e-15,0,0,0,0
151,6.25,509.0,46.044,555.044,671.087,,,116.043,5.741172999810055e-30,0,0,0,0
152,6.291667,483.071,46.183,529.254,671.087,,,141.83299999999997,2.0766263851374718e-44,0,0,0,0
153,6.333333,462.897,46.393,509.28999999999996,671.087,,,161.79700000000003,1.427613623689884e-57,0,0,0,0
154,6.375,453.295,46.317,499.612,671.087,,,171.47499999999997,1.414912690859861e-64,0,0,0,0
155,6.416667,451.201,46.919,498.12,671.087,,,172.96699999999998,1.083412302479163e-65,0,0,0,0
156,6.458333,456.185,47.114,503.299,671.087,,,167.788,7.3611122749082206e-62,0,0,0,0
157,6.5,472.572,49.296,521.868,671.087,,,149.21899999999994,4.459870597993815e-49,0,0,0,0
158,6.541667,514.66,48.419,563.079,671.087,,,108.00800000000004,4.657934445553266e-26,0,0,0,0
159,6.583333,567.0,55.57,622.57,671.087,,,48.51699999999994,7.737000753560512e-06,0,0,0,0
160,6.625,629.0,47.167,676.167,671.087,,,5.080000000000041,0.8789458388287137,1,1,1,1
