frame,measurement_depth_m,candidate_depth_m,depth_delta_m,contact_event_active,support_event_active,flight_active,contact_depth_gap_m,contact_surface_gap_m,audio_score,audio_anchor_type
1,2.434702,3.500000,1.065298,1,0,0,0.048968,0.000000,0.000000,
2,2.429944,3.484123,1.054179,1,0,0,0.052926,-0.000000,0.000000,
3,2.399764,3.456732,1.056968,1,0,0,0.001072,0.000000,0.000000,
4,2.413435,3.462859,1.049424,0,0,1,-0.035929,0.015118,0.000000,
5,2.380509,3.468988,1.088479,0,0,1,0.022703,0.030757,0.000000,
6,2.369584,3.475074,1.105490,0,0,1,0.062051,0.046964,0.000000,
7,2.356321,3.481109,1.124788,0,0,1,0.045917,0.065536,0.000000,
8,2.369584,3.487129,1.117545,0,0,1,0.081657,0.081607,0.000000,
9,2.380509,3.493129,1.112620,0,0,1,0.094432,0.098861,0.000000,
10,2.408149,3.499086,1.090937,0,0,1,0.066205,0.109785,0.000000,
11,2.408149,3.505014,1.096865,0,0,1,0.087795,0.108445,0.000000,
12,2.445957,3.511007,1.065050,0,0,1,0.032750,0.100435,0.000000,
13,2.466452,3.516974,1.050522,0,0,1,0.042046,0.096648,0.000000,
14,2.515173,3.522929,1.007756,0,0,1,0.064820,0.093982,0.000000,
15,2.515173,3.528844,1.013671,0,0,1,0.064164,0.089897,0.000000,
16,2.515173,3.534715,1.019542,0,0,1,0.055425,0.085182,0.000000,
17,2.515173,3.540638,1.025465,0,0,1,0.001748,0.082676,0.000000,
18,2.397712,3.546512,1.148800,0,0,1,-0.442719,0.451728,0.000000,
19,2.302469,3.552324,1.249855,0,0,1,-0.465675,0.413867,0.000000,
20,2.302469,3.558058,1.255589,0,0,1,-0.411664,0.370848,0.000000,
21,2.302469,3.564069,1.261600,0,0,1,-0.402789,0.336985,0.000000,
22,2.302469,3.570278,1.267809,0,0,1,0.404152,0.378849,0.000000,
23,2.322355,3.576438,1.254083,0,1,0,0.358849,0.296903,0.000000,
24,2.373848,3.582521,1.208673,0,0,1,0.356969,0.333872,0.000000,
25,2.410287,3.588510,1.178223,0,0,1,-0.273196,0.274492,0.000000,
26,2.431295,3.594544,1.163249,0,0,1,-0.370699,0.246053,0.000000,
27,2.454642,3.600584,1.145942,0,0,1,-0.405442,0.241939,0.000000,
28,2.495390,3.606845,1.111455,0,0,1,-0.339578,0.243838,0.000000,
29,2.570753,3.613070,1.042317,0,0,1,-0.296090,0.256259,0.000000,
30,2.634653,3.619223,0.984570,0,0,1,-0.299922,0.270343,0.000000,
31,2.646714,3.625322,0.978608,0,0,1,-0.343386,0.304989,0.000000,
32,2.725977,3.631364,0.905387,0,0,1,-0.408268,0.323023,0.000000,
33,2.725977,3.637277,0.911300,0,0,1,-0.371134,0.342360,0.000000,
34,2.725977,3.643201,0.917224,0,0,1,-0.421401,0.362070,0.000000,
35,2.646714,3.649053,1.002339,0,0,1,-0.435520,0.376897,0.000000,
36,2.623449,3.654791,1.031342,0,0,1,-0.579605,0.384139,0.000000,
37,2.566949,3.660342,1.093393,0,0,1,-0.556212,0.403158,0.000000,
38,2.541014,3.665816,1.124802,0,0,1,-0.522281,0.407003,0.000000,
39,2.533120,3.671439,1.138319,0,0,1,-0.596213,0.354093,0.000000,
40,2.472854,3.677377,1.204523,0,0,1,-0.383875,0.323896,0.000000,
41,2.392787,3.683522,1.290735,0,0,1,-0.364346,0.344010,0.000000,
