contact_type,target,start_frame,end_frame,start_time,end_time,peak_frame,peak_time,mean_score,max_score,num_frames
floor_contact_state,floor,1,51,0.0,1.666667,40,1.3,0.9234390322979066,0.9497841791869538,51
transition_contact_state,anchor_floor_transition,52,52,1.7,1.7,52,1.7,0.3932910711474226,0.3932910711474226,1
anchor_contact_state,right_foot,53,53,1.733333,1.733333,53,1.733333,0.6634784515322271,0.6634784515322271,1
anchor_contact_state,left_foot,87,87,2.866667,2.866667,87,2.866667,0.7814164398023994,0.7814164398023994,1
anchor_contact_state,right_foot,103,103,3.4,3.4,103,3.4,0.5893995023836831,0.5893995023836831,1
anchor_contact_state,right_foot,125,125,4.133333,4.133333,125,4.133333,0.4491917302565238,0.4491917302565238,1
anchor_contact_state,left_foot,145,146,4.8,4.833333,145,4.8,0.7172159645862581,0.9036396864249957,2
anchor_contact_state,right_foot,166,166,5.5,5.5,166,5.5,0.5813289259222838,0.5813289259222838,1
anchor_contact_state,right_foot,177,177,5.866667,5.866667,177,5.866667,0.6229893939187724,0.6229893939187724,1
floor_contact_state,floor,206,207,6.833333,6.866667,206,6.833333,0.7943360469237801,0.9331822076243083,2
floor_contact_state,floor,217,220,7.2,7.3,219,7.266667,0.9370872178387847,0.9971161662603152,4
floor_contact_state,floor,223,242,7.4,8.033333,226,7.5,0.905483315980754,0.9971161662603152,20
