frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,z_da3_raw,depth_conf,source
35,1.133333,-0.894247,0.874653,6.428273,1.000000,0.000000,0.000000,0.000000,0.107520,shared_fullimg_cam,653.550,839.735,36.846,6.726930,0.564252,L1_L2ground_size
36,1.166667,-0.894322,0.874181,6.428326,1.000000,0.000000,0.000000,0.000000,0.108011,shared_fullimg_cam,653.527,839.571,37.014,6.729783,0.553794,L1_L2ground_size
37,1.200000,-0.894947,0.874508,6.432986,1.000000,0.000000,0.000000,0.000000,0.106880,shared_fullimg_cam,653.535,839.466,36.600,6.721732,0.562033,L1_L2ground_size
38,1.233333,-0.895599,0.875059,6.435299,1.000000,0.000000,0.000000,0.000000,0.106998,shared_fullimg_cam,653.422,839.547,36.627,6.709584,0.563178,L1_L2ground_size
39,1.266667,-0.895432,0.874972,6.436848,1.000000,0.000000,0.000000,0.000000,0.107488,shared_fullimg_cam,653.553,839.445,36.786,6.690906,0.550917,L1_L2ground_size
40,1.300000,-0.895716,0.875384,6.439901,1.000000,0.000000,0.000000,0.000000,0.107977,shared_fullimg_cam,653.601,839.444,36.936,6.675211,0.548608,L1_L2ground_size
41,1.333333,-0.896596,0.876124,6.446184,1.000000,0.000000,0.000000,0.000000,0.106772,shared_fullimg_cam,653.599,839.405,36.488,6.662701,0.558553,L1_L2ground_size
42,1.366667,-0.896721,0.876308,6.448662,1.000000,0.000000,0.000000,0.000000,0.107457,shared_fullimg_cam,653.674,839.353,36.708,6.655137,0.553911,L1_L2ground_size
43,1.400000,-0.896371,0.876097,6.449347,1.000000,0.000000,0.000000,0.000000,0.107533,shared_fullimg_cam,653.826,839.249,36.730,6.651052,0.557670,L1_L2ground_size
44,1.433333,-0.896205,0.875497,6.447752,1.000000,0.000000,0.000000,0.000000,0.107506,shared_fullimg_cam,653.807,839.118,36.730,6.652072,0.557253,L1_L2ground_size
45,1.466667,-0.895620,0.875023,6.442556,1.000000,0.000000,0.000000,0.000000,0.107419,shared_fullimg_cam,653.760,839.197,36.730,6.659111,0.556812,L1_L2ground_size
46,1.500000,-0.894574,0.874101,6.435511,1.000000,0.000000,0.000000,0.000000,0.107302,shared_fullimg_cam,653.783,839.209,36.730,6.661066,0.551220,L1_L2ground_size
47,1.533333,-0.893468,0.873333,6.428314,1.000000,0.000000,0.000000,0.000000,0.107182,shared_fullimg_cam,653.819,839.281,36.730,6.668696,0.556397,L1_L2ground_size
48,1.566667,-0.892498,0.872539,6.423432,1.000000,0.000000,0.000000,0.000000,0.107031,shared_fullimg_cam,653.919,839.236,36.706,6.673162,0.560525,L1_L2ground_size
49,1.600000,-0.892538,0.872437,6.421054,1.000000,0.000000,0.000000,0.000000,0.106717,shared_fullimg_cam,653.792,839.312,36.612,6.681911,0.564709,L1_L2ground_size
50,1.633333,-0.892756,0.871425,6.418323,1.000000,0.000000,0.000000,0.000000,0.107033,shared_fullimg_cam,653.587,839.092,36.736,6.715481,0.544986,L1_L2ground_size
51,1.666667,-0.890825,0.867863,6.402232,1.000000,0.000000,0.000000,0.000000,0.106416,shared_fullimg_cam,653.481,838.618,36.616,6.711579,0.527712,L1_L2ground_size
52,1.700000,-0.798666,0.713452,6.344794,1.000000,0.000000,0.000000,0.000000,0.113877,shared_fullimg_cam,682.704,787.710,39.538,6.971933,0.272599,L1_L2ground_size
53,1.733333,-0.790249,0.705583,6.268869,1.000000,0.000000,0.000000,0.000000,0.112082,shared_fullimg_cam,682.303,787.945,39.386,6.952962,0.277815,L1_L2ground_size
54,1.766667,-0.728144,0.480457,6.188620,1.000000,0.000000,0.000000,0.000000,0.112094,shared_fullimg_cam,700.809,711.024,39.901,7.006797,0.143949,L1_L2ground_size
55,1.800000,-0.690205,0.253095,6.115368,1.000000,0.000000,0.000000,0.000000,0.112438,shared_fullimg_cam,711.371,631.171,40.503,6.840960,0.073865,L1_L2ground_size
56,1.833333,-0.668866,0.101211,6.056703,1.000000,0.000000,0.000000,0.000000,0.111294,shared_fullimg_cam,716.724,576.812,40.479,6.835733,0.106364,L1_L2ground_size
57,1.866667,-0.641950,-0.044137,6.015203,1.000000,0.000000,0.000000,0.000000,0.112688,shared_fullimg_cam,724.903,523.836,41.269,6.764616,0.085311,L1_L2ground_size
58,1.900000,-0.618820,-0.181837,5.990914,1.000000,0.000000,0.000000,0.000000,0.109671,shared_fullimg_cam,732.455,473.137,40.327,6.813736,0.086181,L1_L2ground_size
59,1.933333,-0.613653,-0.185064,5.978412,1.000000,0.000000,0.000000,0.000000,0.108870,shared_fullimg_cam,733.883,471.808,40.116,6.804933,0.082531,L1_L2ground_size
60,1.966667,-0.605288,-0.303249,5.973339,1.000000,0.000000,0.000000,0.000000,0.109661,shared_fullimg_cam,736.776,428.165,40.442,6.807306,0.079647,L1_L2ground_size
61,2.000000,-0.597020,-0.403420,5.974075,1.000000,0.000000,0.000000,0.000000,0.112384,shared_fullimg_cam,739.852,391.241,41.441,6.824552,0.079183,L1_L2ground_size
62,2.033333,-0.599497,-0.495494,5.979954,1.000000,0.000000,0.000000,0.000000,0.109441,shared_fullimg_cam,739.156,357.469,40.316,6.882201,0.074613,L1_L2ground_size
63,2.066667,-0.595700,-0.566146,5.985605,1.000000,0.000000,0.000000,0.000000,0.108835,shared_fullimg_cam,740.762,331.639,40.055,6.913438,0.074707,L1_L2ground_size
64,2.100000,-0.596167,-0.567652,5.987078,1.000000,0.000000,0.000000,0.000000,0.108862,shared_fullimg_cam,740.644,331.136,40.055,6.910862,0.074687,L1_L2ground_size
65,2.133333,-0.600879,-0.590588,5.983169,1.000000,0.000000,0.000000,0.000000,0.110111,shared_fullimg_cam,738.766,322.555,40.541,6.889823,0.083269,L1_L2ground_size
66,2.166667,-0.592924,-0.648883,5.975375,1.000000,0.000000,0.000000,0.000000,0.109718,shared_fullimg_cam,741.410,300.780,40.449,6.828295,0.084340,L1_L2ground_size
67,2.200000,-0.587944,-0.677597,5.965195,1.000000,0.000000,0.000000,0.000000,0.110256,shared_fullimg_cam,742.876,289.768,40.717,6.833714,0.082537,L1_L2ground_size
68,2.233333,-0.585919,-0.675088,5.954982,1.000000,0.000000,0.000000,0.000000,0.111411,shared_fullimg_cam,743.253,290.267,41.214,6.847157,0.082971,L1_L2ground_size
69,2.266667,-0.583612,-0.681993,5.946770,1.000000,0.000000,0.000000,0.000000,0.110151,shared_fullimg_cam,743.808,287.364,40.804,6.919108,0.089020,L1_L2ground_size
70,2.300000,-0.580283,-0.675106,5.939851,1.000000,0.000000,0.000000,0.000000,0.110157,shared_fullimg_cam,744.791,289.624,40.854,6.976555,0.094496,L1_L2ground_size
71,2.333333,-0.580820,-0.664808,5.933493,1.000000,0.000000,0.000000,0.000000,0.109528,shared_fullimg_cam,744.361,293.179,40.664,7.082947,0.093921,L1_L2ground_size
