frame,time,u,v,radius_px,da3_depth_raw,da3_depth_smooth,object_depth_confidence,depth_observation_state,source
31,1.250000,579.016,96.867,35.504,3.591494,3.591494,1.000000,observed_mask_median,da3_metric_sam2_mask_median
32,1.291667,580.617,132.094,34.346,2.952477,3.054919,1.000000,observed_mask_median,da3_metric_sam2_mask_median
33,1.333333,584.784,153.835,33.525,3.054919,2.952477,1.000000,observed_mask_median,da3_metric_sam2_mask_median
34,1.375000,582.691,136.053,33.644,2.939680,2.939680,1.000000,observed_mask_median,da3_metric_sam2_mask_median
35,1.416667,577.306,106.721,34.664,2.885788,2.939680,1.000000,observed_mask_median,da3_metric_sam2_mask_median
36,1.458333,571.276,75.854,35.812,2.753232,2.939680,1.000000,observed_mask_median,da3_metric_sam2_mask_median
37,1.500000,567.110,44.735,35.234,2.848692,2.939680,1.000000,observed_mask_median,da3_metric_sam2_mask_median
38,1.541667,563.920,25.292,32.645,3.238910,3.132323,1.000000,observed_mask_median,da3_metric_sam2_mask_median
39,1.583333,562.797,15.103,25.657,3.132323,3.238910,1.000000,observed_mask_median,da3_metric_sam2_mask_median
40,1.625000,562.356,8.990,18.151,3.924377,3.895924,1.000000,observed_mask_median,da3_metric_sam2_mask_median
41,1.666667,560.544,5.371,13.552,3.957703,3.895924,1.000000,observed_mask_median,da3_metric_sam2_mask_median
42,1.708333,560.634,4.147,11.604,4.062391,3.924377,1.000000,observed_mask_median,da3_metric_sam2_mask_median
43,1.750000,560.283,4.855,12.679,3.895924,3.924377,1.000000,observed_mask_median,da3_metric_sam2_mask_median
44,1.791667,559.905,7.527,16.737,3.745707,3.895924,1.000000,observed_mask_median,da3_metric_sam2_mask_median
45,1.833333,559.842,12.996,23.152,4.258322,3.745707,1.000000,observed_mask_median,da3_metric_sam2_mask_median
46,1.875000,558.588,21.385,30.288,3.724450,3.724450,1.000000,observed_mask_median,da3_metric_sam2_mask_median
47,1.916667,557.073,35.255,35.030,3.705799,3.705799,1.000000,observed_mask_median,da3_metric_sam2_mask_median
48,1.958333,556.079,62.788,35.107,3.693232,3.693232,1.000000,observed_mask_median,da3_metric_sam2_mask_median
49,2.000000,555.708,93.574,35.301,3.104563,3.484004,1.000000,observed_mask_median,da3_metric_sam2_mask_median
50,2.041667,555.404,115.445,34.866,2.866089,3.484004,1.000000,observed_mask_median,da3_metric_sam2_mask_median
51,2.083333,556.653,94.432,34.793,2.958406,3.484004,1.000000,observed_mask_median,da3_metric_sam2_mask_median
52,2.125000,556.973,72.915,35.522,3.484004,3.484004,1.000000,observed_mask_median,da3_metric_sam2_mask_median
53,2.166667,559.050,53.673,35.427,3.517668,3.517668,1.000000,observed_mask_median,da3_metric_sam2_mask_median
54,2.208333,561.506,38.168,34.697,3.861777,3.861777,1.000000,observed_mask_median,da3_metric_sam2_mask_median
55,2.250000,563.082,29.114,33.715,3.973237,3.865659,1.000000,observed_mask_median,da3_metric_sam2_mask_median
56,2.291667,564.941,25.486,32.425,3.877968,3.877968,1.000000,observed_mask_median,da3_metric_sam2_mask_median
57,2.333333,566.964,24.233,31.880,3.894228,3.877968,1.000000,observed_mask_median,da3_metric_sam2_mask_median
58,2.375000,568.894,25.588,32.733,3.865659,3.877968,1.000000,observed_mask_median,da3_metric_sam2_mask_median
59,2.416667,570.700,29.478,34.095,3.939209,3.865659,1.000000,observed_mask_median,da3_metric_sam2_mask_median
60,2.458333,573.072,37.410,35.238,3.861124,3.861124,1.000000,observed_mask_median,da3_metric_sam2_mask_median
61,2.500000,573.912,52.658,35.052,3.805759,3.805759,1.000000,observed_mask_median,da3_metric_sam2_mask_median
62,2.541667,575.473,71.339,35.391,3.770316,3.770316,1.000000,observed_mask_median,da3_metric_sam2_mask_median
63,2.583333,576.725,94.620,35.589,3.505774,3.505774,1.000000,observed_mask_median,da3_metric_sam2_mask_median
64,2.625000,578.314,119.694,34.443,2.987489,2.987489,1.000000,observed_mask_median,da3_metric_sam2_mask_median
65,2.666667,580.613,138.631,32.538,2.861773,2.901317,1.000000,observed_mask_median,da3_metric_sam2_mask_median
66,2.708333,578.527,136.275,32.747,2.881739,2.881739,1.000000,observed_mask_median,da3_metric_sam2_mask_median
67,2.750000,573.838,116.038,33.057,2.901317,2.881739,1.000000,observed_mask_median,da3_metric_sam2_mask_median
68,2.791667,566.280,91.147,33.800,2.764740,2.881739,1.000000,observed_mask_median,da3_metric_sam2_mask_median
69,2.833333,561.629,60.720,34.193,2.813949,2.901317,1.000000,observed_mask_median,da3_metric_sam2_mask_median
70,2.875000,562.018,31.401,34.545,3.236575,3.236575,1.000000,observed_mask_median,da3_metric_sam2_mask_median
71,2.916667,564.568,16.176,25.811,3.759897,3.521203,1.000000,observed_mask_median,da3_metric_sam2_mask_median
72,2.958333,567.382,6.315,13.866,3.521203,3.547044,1.000000,observed_mask_median,da3_metric_sam2_mask_median
73,3.000000,557.071,45.200,,3.547044,3.572885,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
74,3.041667,561.589,49.983,,3.572885,3.598725,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
75,3.083333,565.842,57.407,,3.598725,3.598725,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
76,3.125000,568.984,64.831,,3.624566,3.624566,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
77,3.166667,570.454,69.742,,3.650407,3.650407,0.000000,missing_mask_interpolated,da3_metric_temporal_interpolation_for_missing_mask
