frame,time,ball_u,floor_depth_proxy,floor_row_proxy
1,0.000000,513.847,2.671320,218.000
2,0.041667,517.041,2.669755,218.000
3,0.083333,519.478,2.671107,218.000
4,0.125000,520.628,2.652525,218.000
5,0.166667,524.193,2.655986,218.000
6,0.208333,526.081,2.636139,218.000
7,0.250000,525.746,2.623158,218.000
8,0.291667,528.398,2.622332,218.000
9,0.333333,529.901,2.410649,218.000
10,0.375000,530.000,2.480102,218.000
11,0.416667,529.000,2.524748,218.000
12,0.458333,530.000,2.659765,218.000
13,0.500000,530.371,2.666858,218.000
14,0.541667,529.000,2.648365,218.000
15,0.583333,529.042,2.593148,218.000
16,0.625000,529.778,2.510278,218.000
17,0.666667,530.030,2.509895,218.000
18,0.708333,530.821,2.503831,218.000
19,0.750000,531.994,2.494695,218.000
20,0.791667,534.182,2.465958,218.000
21,0.833333,538.406,2.457263,218.000
22,0.875000,541.000,2.424511,218.000
23,0.916667,539.800,2.411306,218.000
24,0.958333,534.738,2.417397,218.000
25,1.000000,529.500,2.432047,218.000
26,1.041667,527.411,2.435761,218.000
27,1.083333,524.197,2.429044,218.000
28,1.125000,523.407,2.419465,218.000
29,1.166667,523.932,2.440001,218.000
30,1.208333,524.500,2.430510,218.000
31,1.250000,526.536,2.432164,218.000
32,1.291667,529.979,2.432534,218.000
33,1.333333,534.500,2.439169,218.000
34,1.375000,535.008,2.406121,218.000
35,1.416667,538.971,2.307446,218.000
36,1.458333,537.498,2.331286,218.000
37,1.500000,533.000,2.258085,218.000
38,1.541667,532.519,2.448312,218.000
39,1.583333,524.545,2.444510,218.000
40,1.625000,519.683,2.457531,218.000
41,1.666667,517.509,2.440822,218.000
42,1.708333,515.305,2.425776,218.000
43,1.750000,515.112,2.437717,218.000
44,1.791667,515.357,2.418607,218.000
45,1.833333,517.981,2.431060,218.000
46,1.875000,523.364,2.426448,218.000
47,1.916667,527.875,2.429238,218.000
48,1.958333,539.487,2.399583,218.000
49,2.000000,550.285,2.162904,218.000
50,2.041667,557.347,2.354373,218.000
51,2.083333,561.435,2.243190,218.000
52,2.125000,566.368,2.475515,218.000
53,2.166667,570.310,2.649419,218.000
54,2.208333,575.000,2.638635,218.000
55,2.250000,580.803,2.654465,218.000
56,2.291667,586.331,2.656984,218.000
57,2.333333,592.523,2.667242,218.000
58,2.375000,599.671,2.661357,218.000
59,2.416667,606.000,2.658607,218.000
60,2.458333,612.000,2.636389,218.000
61,2.500000,616.493,2.653188,218.000
62,2.541667,621.625,2.430588,218.000
63,2.583333,622.500,2.430479,218.000
64,2.625000,618.183,2.409102,218.000
65,2.666667,612.500,2.564270,218.000
66,2.708333,606.278,2.644586,218.000
67,2.750000,600.948,2.644551,218.000
68,2.791667,595.564,2.666304,218.000
69,2.833333,591.197,2.666592,218.000
70,2.875000,587.500,2.681192,218.000
71,2.916667,585.629,2.675343,218.000
72,2.958333,581.148,2.664370,218.000
73,3.000000,577.500,2.650236,218.000
74,3.041667,566.433,2.456082,218.000
75,3.083333,558.411,2.288070,218.000
76,3.125000,548.312,2.383956,218.000
77,3.166667,535.100,2.258734,218.000
78,3.208333,526.124,2.449276,218.000
79,3.250000,516.427,2.458799,218.000
80,3.291667,509.963,2.444059,218.000
81,3.333333,503.383,2.441390,218.000
82,3.375000,500.692,2.422872,218.000
83,3.416667,498.161,2.425450,218.000
84,3.458333,494.585,2.426682,218.000
85,3.500000,494.416,2.434630,218.000
86,3.541667,494.913,2.393713,218.000
87,3.583333,496.789,2.309308,218.000
88,3.625000,496.123,2.307906,218.000
89,3.666667,491.422,2.346665,218.000
90,3.708333,489.000,2.452590,218.000
91,3.750000,491.074,2.461779,218.000
92,3.791667,488.198,2.468804,218.000
93,3.833333,491.711,2.469196,218.000
94,3.875000,494.398,2.447812,218.000
95,3.916667,497.971,2.446760,218.000
96,3.958333,499.943,2.435614,218.000
97,4.000000,509.016,2.450111,218.000
98,4.041667,522.503,2.407594,218.000
99,4.083333,533.869,2.299291,218.000
100,4.125000,541.417,2.342341,218.000
101,4.166667,543.809,2.292346,218.000
102,4.208333,544.500,2.459401,218.000
103,4.250000,547.886,2.518532,218.000
104,4.291667,556.954,2.620028,218.000
105,4.333333,562.763,2.663496,218.000
106,4.375000,568.197,2.657490,218.000
107,4.416667,573.777,2.671056,218.000
108,4.458333,579.144,2.673588,218.000
109,4.500000,586.122,2.649502,218.000
110,4.541667,589.557,2.661774,218.000
111,4.583333,593.800,2.390022,218.000
112,4.625000,599.097,2.383904,218.000
113,4.666667,594.052,2.363761,218.000
114,4.708333,592.098,2.466788,218.000
115,4.750000,585.452,2.669404,218.000
116,4.791667,583.612,2.680024,218.000
117,4.833333,582.599,2.690525,218.000
118,4.875000,580.438,2.674881,218.000
119,4.916667,579.739,2.678712,218.000
120,4.958333,580.244,2.688785,218.000
121,5.000000,581.182,2.666115,218.000
122,5.041667,580.675,2.653492,218.000
123,5.083333,579.000,2.649601,218.000
124,5.125000,576.139,2.339803,218.000
125,5.166667,572.270,2.379015,218.000
126,5.208333,566.252,2.455383,218.000
127,5.250000,553.052,2.440845,218.000
128,5.291667,548.335,2.516578,218.000
129,5.333333,537.156,2.481930,218.000
130,5.375000,533.415,2.488508,218.000
131,5.416667,527.171,2.491383,218.000
132,5.458333,521.543,2.463889,218.000
133,5.500000,516.500,2.453153,218.000
134,5.541667,509.706,2.448731,218.000
135,5.583333,507.812,2.394521,218.000
136,5.625000,508.746,2.310988,218.000
137,5.666667,508.979,2.288928,218.000
138,5.708333,508.669,2.341864,218.000
139,5.750000,513.514,2.432988,218.000
140,5.791667,517.150,2.449235,218.000
141,5.833333,521.659,2.464661,218.000
142,5.875000,527.723,2.470932,218.000
143,5.916667,536.329,2.485193,218.000
144,5.958333,546.128,2.504058,218.000
145,6.000000,555.731,2.588468,218.000
146,6.041667,566.118,2.556032,218.000
147,6.083333,575.555,2.332132,218.000
148,6.125000,583.032,2.369118,218.000
149,6.166667,583.718,2.432619,218.000
150,6.208333,584.508,2.445108,218.000
151,6.250000,584.000,2.680524,218.000
152,6.291667,585.500,2.668585,218.000
153,6.333333,584.508,2.684759,218.000
154,6.375000,585.200,2.680417,218.000
155,6.416667,586.809,2.689892,218.000
156,6.458333,588.014,2.673263,218.000
157,6.500000,587.859,2.660583,218.000
158,6.541667,584.741,2.633683,218.000
159,6.583333,578.000,2.357048,218.000
160,6.625000,570.604,2.337855,218.000
161,6.666667,558.000,2.361265,218.000
162,6.708333,543.283,2.376376,218.000
163,6.750000,533.000,2.447665,218.000
164,6.791667,522.886,2.456425,218.000
165,6.833333,515.496,2.460272,218.000
166,6.875000,509.477,2.456271,218.000
167,6.916667,505.168,2.450246,218.000
168,6.958333,501.643,2.433482,218.000
169,7.000000,498.009,2.436830,218.000
170,7.041667,495.539,2.428449,218.000
171,7.083333,496.304,2.425555,218.000
172,7.125000,496.732,2.386394,218.000
173,7.166667,501.124,2.296147,218.000
174,7.208333,503.000,2.323093,218.000
175,7.250000,506.330,2.351848,218.000
176,7.291667,510.359,2.409728,218.000
177,7.333333,516.040,2.437487,218.000
178,7.375000,521.756,2.454900,218.000
179,7.416667,528.007,2.454484,218.000
180,7.458333,536.559,2.468565,218.000
181,7.500000,545.500,2.518122,218.000
182,7.541667,556.715,2.627656,218.000
183,7.583333,564.133,2.638716,218.000
184,7.625000,575.471,2.665406,218.000
185,7.666667,582.820,2.367580,218.000
186,7.708333,588.129,2.436990,218.000
187,7.750000,584.058,2.473372,218.000
