frame,time,x,y,z,yaw,yaw_deg,pitch,pitch_deg,roll,roll_deg,scale
1,0.0,0.017302846017109255,-0.04671068159171764,3.9193092216079273,-0.07402854413054616,-4.2415231421782575,-0.018026236331177538,-1.0328272622818622,-0.02202452493829441,-1.2619123247448996,1.1397282956140027
2,0.041666666666666664,0.017349280261345836,-0.03862203986101542,3.913059364951318,-0.07405317063118844,-4.242934136729236,-0.02277053433171023,-1.3046555144647407,-0.021551495187049064,-1.234809716414418,1.1384443912927382
3,0.08333333333333333,0.019877449061397885,-0.028004664706040416,3.9030306109103625,-0.07425498833636102,-4.254497439466641,-0.028905798647580916,-1.6561802659613494,-0.021171966448303988,-1.213064321480402,1.1363441606491238
4,0.125,0.019851235096062167,-0.01985901200768433,3.885174982858551,-0.07455885777104321,-4.271907875596956,-0.03665630825959787,-2.100251755805498,-0.02022143369990198,-1.1586028067079963,1.130042740942664
5,0.16666666666666666,0.01977516771117681,-0.009259770925558948,3.8595003434047683,-0.07506489699467922,-4.3009017873793765,-0.04773119135095896,-2.7347958155412866,-0.019813176769782233,-1.1352114076551674,1.1248319128760653
6,0.20833333333333334,0.022072072919380105,-0.0013564093416893739,3.8282576633938206,-0.0758146836227156,-4.3438613967012065,-0.05904413900401742,-3.382979969913966,-0.018937420848095313,-1.0850342894589176,1.115913720055516
7,0.25,0.019466039117902057,0.006358313348358389,3.7965471771178407,-0.07682408766605997,-4.401695988208279,-0.06953539364262573,-3.9840845825032702,-0.018148411724939962,-1.0398273967047982,1.108610444300229
8,0.2916666666666667,0.02184812472046669,0.01139469602586548,3.7670158756163987,-0.07832205369835998,-4.487523119713027,-0.07578971415605405,-4.342430751644807,-0.01736229323238312,-0.9947861248841047,1.0993775297776558
9,0.3333333333333333,0.024127563355069857,0.01389883528346063,3.7417768311987722,-0.08025405527276552,-4.598218655939095,-0.07930095984192731,-4.543610310278863,-0.016915545318344962,-0.9691893549034449,1.092168676106663
10,0.375,0.02154815268583891,0.01632154756258929,3.721209412661086,-0.08248333908819028,-4.725947209899755,-0.08079928028757409,-4.629457748172584,-0.016998276572599752,-0.973929506606068,1.0866186161879527
11,0.4166666666666667,0.021457489248401823,0.016281612502949034,3.705192578501258,-0.0848104406651089,-4.85928030875543,-0.08050696834588489,-4.612709507612519,-0.016831115207575298,-0.9643518658925211,1.081893642060878
12,0.4583333333333333,0.023832273589267892,0.016272182782515274,3.693612845656899,-0.08716183866687865,-4.9940054902123325,-0.07915006767534592,-4.534964825972164,-0.016308730972751755,-0.9344214539529612,1.0771248241910205
13,0.5,0.02380852899909649,0.016244945887343133,3.687255874007505,-0.08950345614983712,-5.1281702892199,-0.0792361478771122,-4.539896858233006,-0.016026066122171674,-0.9182259509980265,1.0751462332905897
14,0.5416666666666666,0.023789967536276213,0.016241087563253074,3.6869274551485636,-0.09174408030976089,-5.256548597058577,-0.08135066320059747,-4.661049661984452,-0.01572120250788684,-0.9007585525724012,1.0752122572604934
15,0.5833333333333334,0.02140885241862696,0.01622491056536813,3.69305195215767,-0.09392113129934687,-5.381284430546634,-0.08522772947054995,-4.883189196145258,-0.015531546531696569,-0.8898920655772651,1.0785143746470442
16,0.625,0.023892082856882303,0.01625692705102475,3.705290051040022,-0.09601666134799025,-5.501349458176743,-0.08868858637692462,-5.0814816903792295,-0.014675183360500344,-0.8408260701372823,1.081937801775664
17,0.6666666666666666,0.021601039390629757,0.013820577100757462,3.724385438211652,-0.09825012801752964,-5.62931767202449,-0.09144722204615975,-5.23953987144065,-0.014152199063215787,-0.810861277151262,1.087799626447135
18,0.7083333333333334,0.01918041257836587,0.00883636036375703,3.7506007834843094,-0.10074140397370446,-5.7720572699157255,-0.09307659468686467,-5.332896047007128,-0.013890087553220886,-0.7958433938667531,1.09641334894604
19,0.75,0.014234287825719739,0.0011575112018523711,3.7852405368362483,-0.10362188696885877,-5.9370967884972705,-0.09164386043662269,-5.250806421304422,-0.013963356062068614,-0.8000413701949447,1.1066372602754102
20,0.7916666666666666,0.01170277470704328,-0.01188598097034069,3.8287120421226164,-0.10693009547163745,-6.126643173455782,-0.087025600880775,-4.986199640058388,-0.014561813791673874,-0.8343304723183076,1.1188484759253563
21,0.8333333333333334,0.006611762711444158,-0.027834800322932368,3.881295966168053,-0.11043685473599218,-6.32756567907171,-0.08064334550923057,-4.620523343494192,-0.01517249115664275,-0.8693197079751944,1.135014312874827
22,0.875,0.0013772784861939436,-0.04699007488541789,3.940834716900605,-0.11419314239368772,-6.542785108494745,-0.07117085250906492,-4.077789473117486,-0.01576804800015633,-0.9034426015686557,1.1506953125105113
23,0.9166666666666666,-0.006812064218506427,-0.06687558332619649,4.005312500629533,-0.11829137608650608,-6.777596602551552,-0.06043395804728674,-3.462610735380208,-0.01709629224648717,-0.9795453910459477,1.169793284057559
24,0.9583333333333334,-0.015306294284218867,-0.09002201534471045,4.067333658891915,-0.12245588978352151,-7.016205661114959,-0.049211157959659683,-2.8195916560401275,-0.017807817649639134,-1.0203127936628997,1.185556606595805
25,1.0,-0.02664921001784277,-0.11365241622620792,4.120045911521998,-0.1265305151913374,-7.249664500079581,-0.041115611485840343,-2.3557510102382633,-0.018335774060041523,-1.0505624677458334,1.2013312030808547
26,1.0416666666666667,-0.03826016075192614,-0.13743571341558505,4.159481809588952,-0.130681976551545,-7.487525714831117,-0.034804591162885146,-1.9941561813116409,-0.0190738973887754,-1.092853819242432,1.2121927648128143
27,1.0833333333333333,-0.05269601576688229,-0.1639756863802951,4.187036945672539,-0.1349735610532572,-7.7334153942029795,-0.02986853704992969,-1.7113411131911018,-0.019931909960909246,-1.1420143183948654,1.221005278754029
28,1.125,-0.06720928765515963,-0.19017063697393635,4.1990383250598935,-0.13942573402599834,-7.98850611520326,-0.026198814834554177,-1.5010815182646864,-0.02010408402917253,-1.151879165847949,1.224229516596205
