frame,time,u,v,radius_px,bottom_v,X_raw,Y_raw,Z_raw,X,Y,Z
25,1.000000,529.500,503.500,48.130,551.630,-0.275504,0.384668,2.872221,-0.287627,0.370777,2.994664
26,1.041667,527.411,470.277,46.376,516.653,-0.291329,0.485183,2.980852,-0.285830,0.461969,2.984458
27,1.083333,524.197,446.770,46.099,492.869,-0.301446,0.549289,2.998764,-0.284033,0.530362,2.974253
28,1.125000,523.407,431.722,46.719,478.441,-0.299475,0.580651,2.958967,-0.282236,0.575959,2.964047
29,1.166667,523.932,422.845,46.909,469.754,-0.296919,0.601008,2.946983,-0.280438,0.598757,2.953842
30,1.208333,524.500,419.750,48.050,467.800,-0.288450,0.594466,2.877003,-0.278641,0.598757,2.943636
31,1.250000,526.536,423.280,47.877,471.157,-0.284389,0.587766,2.887399,-0.276844,0.575959,2.933431
32,1.291667,529.979,439.374,49.416,488.790,-0.267171,0.530379,2.797475,-0.275046,0.530362,2.923225
33,1.333333,534.500,472.500,50.384,522.884,-0.251270,0.441293,2.743728,-0.273249,0.461969,2.913020
34,1.375000,535.008,532.830,46.859,579.689,-0.268871,0.319991,2.950127,-0.271452,0.370777,2.902814
35,1.416667,538.971,590.980,46.079,637.059,-0.263102,0.173973,3.000065,-0.269655,0.256786,2.892609
36,1.458333,537.498,615.445,45.488,660.933,-0.270406,0.120000,3.039043,-0.307319,0.120000,2.975562
37,1.500000,533.000,570.441,44.797,615.238,-0.286626,0.233970,3.085921,-0.303788,0.243572,2.967833
38,1.541667,532.519,530.242,48.341,578.583,-0.266807,0.316606,2.859684,-0.300257,0.348133,2.960103
39,1.583333,524.545,492.597,47.358,539.955,-0.292550,0.418566,2.919042,-0.296726,0.433681,2.952374
40,1.625000,519.683,465.867,46.615,512.482,-0.309730,0.494048,2.965569,-0.293195,0.500220,2.944645
41,1.666667,517.509,444.427,47.267,491.694,-0.310976,0.541664,2.924662,-0.289664,0.547748,2.936915
42,1.708333,515.305,430.628,47.230,477.858,-0.316820,0.577148,2.926953,-0.286133,0.576264,2.929186
43,1.750000,515.112,423.581,47.605,471.186,-0.314811,0.590366,2.903897,-0.282603,0.585769,2.921457
44,1.791667,515.357,422.416,47.556,469.972,-0.314517,0.593914,2.906889,-0.279072,0.576264,2.913728
45,1.833333,517.981,426.538,47.982,474.520,-0.305162,0.578332,2.881081,-0.275541,0.547748,2.905998
46,1.875000,523.364,442.742,49.025,491.767,-0.285493,0.526365,2.819786,-0.272010,0.500220,2.898269
47,1.916667,527.875,478.523,48.391,526.914,-0.278048,0.444531,2.856730,-0.268479,0.433681,2.890540
48,1.958333,539.487,529.516,49.885,579.401,-0.241787,0.308553,2.771174,-0.264948,0.348133,2.882811
49,2.000000,550.285,588.010,48.185,636.195,-0.223426,0.173765,2.868943,-0.261417,0.243572,2.875081
50,2.041667,557.347,626.624,44.702,671.326,-0.221877,0.120000,3.092479,-0.220397,0.120000,2.993375
51,2.083333,561.435,580.701,46.237,626.938,-0.203902,0.200055,2.989814,-0.206136,0.247609,2.990144
52,2.125000,566.368,535.406,47.868,583.274,-0.184588,0.306789,2.887942,-0.191875,0.353950,2.986912
53,2.166667,570.310,504.851,44.883,549.734,-0.186324,0.408884,3.080008,-0.177615,0.439025,2.983680
54,2.208333,575.000,474.877,46.847,521.724,-0.166499,0.468522,2.950883,-0.163354,0.502828,2.980448
55,2.250000,580.803,454.887,46.945,501.832,-0.151318,0.518642,2.944723,-0.149093,0.545365,2.977217
56,2.291667,586.331,441.264,47.220,488.484,-0.136389,0.550241,2.927573,-0.134832,0.566633,2.973985
57,2.333333,592.523,433.403,46.387,479.790,-0.122820,0.580458,2.980145,-0.120572,0.566634,2.970753
58,2.375000,599.671,433.340,47.670,481.010,-0.101520,0.564994,2.899937,-0.106311,0.545365,2.967522
59,2.416667,606.000,441.500,47.035,488.535,-0.086744,0.551804,2.939088,-0.092050,0.502829,2.964290
60,2.458333,612.000,465.868,46.761,512.629,-0.071855,0.492503,2.956310,-0.077790,0.439023,2.961058
61,2.500000,616.493,513.394,46.388,559.782,-0.060810,0.373519,2.980081,-0.063529,0.353949,2.957826
62,2.541667,621.625,574.562,46.101,620.663,-0.047830,0.216625,2.998633,-0.049268,0.247607,2.954595
63,2.583333,622.500,622.839,46.303,669.142,-0.045353,0.120000,2.985552,-0.042713,0.120000,2.956388
64,2.625000,618.183,581.122,47.080,628.202,-0.055608,0.195400,2.936279,-0.056027,0.239505,2.954830
65,2.666667,612.500,538.214,46.239,584.453,-0.071368,0.310309,2.989684,-0.069340,0.339094,2.953272
66,2.708333,606.278,501.887,47.271,549.158,-0.085605,0.395753,2.924415,-0.082653,0.418762,2.951714
67,2.750000,600.948,476.656,47.448,524.104,-0.098766,0.458088,2.913505,-0.095966,0.478515,2.950156
68,2.791667,595.564,458.268,46.503,504.771,-0.114666,0.514847,2.972712,-0.109279,0.518350,2.948599
69,2.833333,591.197,447.870,46.322,494.192,-0.126427,0.543795,2.984327,-0.122592,0.538269,2.947041
70,2.875000,587.500,443.000,47.024,490.024,-0.133974,0.548105,2.939776,-0.135906,0.538268,2.945483
71,2.916667,585.629,443.655,47.364,491.019,-0.137753,0.542511,2.918673,-0.149219,0.518349,2.943925
72,2.958333,581.148,456.715,47.866,504.581,-0.147542,0.504080,2.888062,-0.162532,0.478518,2.942367
73,3.000000,577.500,490.000,47.130,537.130,-0.159134,0.427203,2.933164,-0.175845,0.418763,2.940809
74,3.041667,566.433,536.305,47.730,584.035,-0.184958,0.305416,2.896292,-0.189159,0.339095,2.939251
75,3.083333,558.411,600.397,45.833,646.230,-0.213616,0.150251,3.016167,-0.202472,0.239504,2.937694
76,3.125000,548.312,612.849,46.876,659.725,-0.234716,0.120000,2.949057,-0.273467,0.120000,2.951066
77,3.166667,535.100,568.900,45.140,614.040,-0.278866,0.236289,3.062473,-0.284158,0.245123,2.953571
78,3.208333,526.124,531.440,47.813,579.253,-0.285803,0.317095,2.891264,-0.294849,0.347491,2.956076
79,3.250000,516.427,496.675,45.989,542.664,-0.322441,0.420385,3.005936,-0.305540,0.427114,2.958581
80,3.291667,509.963,471.324,46.626,517.950,-0.334672,0.479887,2.964869,-0.316231,0.483987,2.961086
81,3.333333,503.383,451.130,46.860,497.990,-0.349851,0.529204,2.950064,-0.326922,0.518112,2.963591
82,3.375000,500.692,441.722,47.602,489.324,-0.351182,0.544671,2.904080,-0.337613,0.529486,2.966096
83,3.416667,498.161,442.772,47.278,490.050,-0.360013,0.545739,2.923982,-0.348304,0.518109,2.968601
84,3.458333,494.585,460.724,46.704,507.428,-0.373625,0.506321,2.959918,-0.358995,0.483990,2.971106
85,3.500000,494.416,493.835,47.806,541.641,-0.365437,0.411536,2.891687,-0.369687,0.427114,2.973611
86,3.541667,494.913,546.629,46.902,593.531,-0.371209,0.284393,2.947422,-0.380378,0.347494,2.976116
87,3.583333,496.789,605.582,45.560,651.142,-0.377202,0.137494,3.034240,-0.391069,0.245120,2.978621
88,3.625000,496.123,603.262,44.967,648.229,-0.383954,0.145499,3.074255,-0.402930,0.120000,2.902215
