frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
94,494.398,439.968,503.859,442.317,9.461488,2.348563,9.748615
95,497.971,440.027,507.798,447.200,9.826709,7.173490,12.166477
96,499.943,449.068,511.728,461.393,11.784976,12.324981,17.052590
97,509.016,485.181,515.650,484.873,6.634311,-0.308451,6.641478
98,522.503,547.582,519.565,517.605,-2.937867,-29.977177,30.120793
99,533.869,611.295,523.471,559.567,-10.397714,-51.728435,52.763088
100,541.417,607.489,536.929,610.564,-4.487762,3.075483,5.440460
101,543.809,567.214,542.162,560.304,-1.647032,-6.909638,7.103225
102,544.500,532.500,547.392,519.199,2.891979,-13.300594,13.611368
103,547.886,498.503,552.620,487.256,4.734022,-11.247017,12.202719
104,556.954,473.590,557.846,464.458,0.891707,-9.131541,9.174975
105,562.763,458.857,563.069,450.803,0.305642,-8.053602,8.059400
106,568.197,448.577,568.290,446.285,0.092590,-2.291672,2.293542
107,573.777,446.076,573.508,450.895,-0.268790,4.819466,4.826956
108,579.144,451.892,578.724,464.634,-0.419915,12.741855,12.748772
109,586.122,472.644,583.938,487.486,-2.183997,14.842470,15.002292
110,589.557,511.550,589.149,519.453,-0.407822,7.903040,7.913556
111,593.800,571.200,594.358,560.520,0.558384,-10.680083,10.694670
112,599.097,624.000,593.531,611.353,-5.565940,-12.647408,13.817982
113,594.052,587.330,591.975,569.593,-2.077049,-17.737439,17.858636
114,592.098,547.198,590.415,534.701,-1.682593,-12.496960,12.609724
115,585.452,509.838,588.852,506.698,3.400417,-3.139919,4.628383
116,583.612,481.712,587.286,485.605,3.673969,3.893378,5.353171
117,582.599,461.457,585.716,471.454,3.117051,9.997060,10.471734
118,580.438,449.076,584.143,464.256,3.704634,15.179852,15.625371
119,579.739,442.167,582.566,464.041,2.826742,21.874447,22.056335
120,580.244,440.936,580.985,470.830,0.741346,29.893766,29.902957
121,581.182,447.211,579.402,484.649,-1.780176,37.438258,37.480558
122,580.675,468.898,577.814,505.518,-2.860615,36.620328,36.731887
123,579.000,511.000,576.223,533.465,-2.776594,22.464861,22.635800
