frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,source
15,0.466667,-0.933209,0.908337,6.718734,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.155,837.911,,654.155,837.911,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,1,0,1,floor,,floor,left_foot,0.933583,6.666112,654.155,837.911,617.000,842.000,0.090029,0.090029,6.808735,6.718706,4.305723,6.718706,0.142623,sequence_se3_optimizer
16,0.500000,-0.933194,0.908367,6.718726,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.179,837.852,,654.179,837.852,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.931915,6.674203,654.179,837.852,617.000,842.000,0.076517,0.076517,6.795223,6.718706,4.315924,6.718706,0.121020,sequence_se3_optimizer
17,0.533333,-0.933179,0.908400,6.718714,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.285,837.889,,654.285,837.889,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929947,6.682101,654.285,837.889,617.000,842.000,0.081970,0.081970,6.800676,6.718706,4.317028,6.718706,0.118575,sequence_se3_optimizer
18,0.566667,-0.933164,0.908437,6.718698,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.347,837.902,,654.347,837.902,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.927154,6.680662,654.347,837.902,617.000,842.000,0.094602,0.094602,6.813308,6.718706,4.313677,6.718706,0.132646,sequence_se3_optimizer
19,0.600000,-0.933148,0.908477,6.718678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.294,837.907,,654.294,837.907,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.927437,6.687319,654.294,837.907,618.000,847.000,0.294268,0.294268,7.012974,6.718706,4.304266,6.718706,0.325654,sequence_se3_optimizer
20,0.633333,-0.933131,0.908520,6.718652,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.443,837.902,,654.443,837.902,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928537,6.690660,654.443,837.902,617.000,842.000,0.101772,0.101772,6.820478,6.718706,4.298377,6.718706,0.129817,sequence_se3_optimizer
21,0.666667,-0.933110,0.908566,6.718620,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.378,837.780,,654.378,837.780,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929186,6.698761,654.378,837.780,617.000,843.000,0.257731,0.257731,6.976437,6.718706,4.298538,6.718706,0.277676,sequence_se3_optimizer
22,0.700000,-0.933085,0.908614,6.718581,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.271,837.687,,654.271,837.687,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929368,6.703583,654.271,837.687,618.000,843.000,0.028804,0.028804,6.747510,6.718706,4.297718,6.718706,0.043927,sequence_se3_optimizer
23,0.733333,-0.933053,0.908665,6.718534,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.257,837.717,,654.257,837.717,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.930446,6.701982,654.257,837.717,618.000,844.000,0.042575,0.042575,6.761281,6.718706,4.286685,6.718706,0.059298,sequence_se3_optimizer
24,0.766667,-0.933011,0.908717,6.718476,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.224,837.632,,654.224,837.632,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.930138,6.695570,654.224,837.632,617.000,842.000,0.129988,0.129988,6.848694,6.718706,4.270646,6.718706,0.153123,sequence_se3_optimizer
