frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
12,0.500000,1,0.528435,-0.165334,4.255640,0.460289,-0.134252,4.230850,0.409002,-0.156033,4.208443,0.433155,-0.162952,4.208882,0.451088,-0.164797,4.215917,0.463427,-0.164716,4.213421,0.472277,-0.155347,4.206703,1,0.026756,-0.116100,4.041932,0.070884,-0.113271,4.003999,0.114198,-0.090902,4.011590,0.077504,-0.087745,4.032398,0.065473,-0.089439,4.023714,0.058822,-0.094979,4.014715,0.055321,-0.092253,4.000762
13,0.541667,1,0.544306,-0.145111,4.276568,0.476824,-0.117617,4.260370,0.435634,-0.135753,4.231968,0.453574,-0.140766,4.238001,0.469421,-0.145091,4.244374,0.479394,-0.146490,4.243771,0.484603,-0.137835,4.237966,1,0.068729,-0.145600,4.023249,0.103151,-0.144029,3.995463,0.138003,-0.128738,3.991654,0.100781,-0.116274,4.010817,0.092410,-0.117309,4.003494,0.094116,-0.127388,3.990530,0.098171,-0.127862,3.981031
14,0.583333,1,0.548784,-0.126841,4.318247,0.482029,-0.103864,4.293052,0.457403,-0.114674,4.254652,0.465839,-0.115333,4.268325,0.476744,-0.120898,4.276583,0.481947,-0.123324,4.279561,0.481451,-0.116139,4.276974,1,0.112942,-0.172018,4.024929,0.141590,-0.171435,3.993335,0.172393,-0.163104,3.982954,0.137529,-0.145172,4.000035,0.133095,-0.145444,3.994010,0.139750,-0.157727,3.979622,0.149905,-0.159730,3.973606
15,0.625000,1,0.545344,-0.108081,4.363385,0.475708,-0.089816,4.329760,0.464478,-0.093996,4.285262,0.467254,-0.090889,4.304905,0.472339,-0.095557,4.314322,0.472518,-0.097794,4.320303,0.466712,-0.092290,4.320740,1,0.158182,-0.197474,4.030334,0.190646,-0.195633,3.996792,0.225658,-0.190246,3.988364,0.198492,-0.175469,4.004158,0.197313,-0.175641,3.999141,0.201083,-0.184669,3.987806,0.211559,-0.185618,3.981278
16,0.666667,1,0.524841,-0.086458,4.406217,0.459137,-0.071383,4.367979,0.448283,-0.073725,4.329179,0.452849,-0.071091,4.348783,0.454909,-0.073604,4.355364,0.452970,-0.074956,4.361187,0.445769,-0.071011,4.361640,1,0.200474,-0.216549,4.028797,0.242624,-0.217310,4.000162,0.286152,-0.211016,4.000592,0.269271,-0.204220,4.015517,0.269300,-0.204940,4.010082,0.267048,-0.207108,4.003013,0.274143,-0.205545,3.992778
17,0.708333,1,0.494812,-0.071690,4.441377,0.434434,-0.049909,4.402318,0.414125,-0.052952,4.375457,0.424965,-0.054685,4.391005,0.427097,-0.055324,4.392698,0.426608,-0.055362,4.396234,0.422082,-0.051993,4.394986,1,0.236923,-0.234601,4.026495,0.287432,-0.235047,3.997713,0.337710,-0.224864,4.009114,0.328229,-0.225186,4.021991,0.327117,-0.226787,4.013936,0.322070,-0.222639,4.008303,0.326105,-0.219036,3.993511
18,0.750000,1,0.459205,-0.056596,4.460536,0.404860,-0.031634,4.427378,0.376936,-0.031210,4.404913,0.393644,-0.037349,4.416804,0.395808,-0.037207,4.417235,0.397975,-0.034822,4.420566,0.396674,-0.030247,4.420346,1,0.271742,-0.237608,4.013252,0.321424,-0.244534,3.987686,0.374762,-0.228233,4.007495,0.366391,-0.234804,4.016600,0.363608,-0.237583,4.005339,0.358389,-0.229618,3.998521,0.360431,-0.224774,3.980031
19,0.791667,1,0.426055,-0.040606,4.462780,0.375608,-0.019448,4.441415,0.347669,-0.009660,4.411885,0.367741,-0.017666,4.421781,0.368270,-0.017909,4.426392,0.372026,-0.012196,4.433179,0.371907,-0.005150,4.437823,1,0.297211,-0.231740,3.986343,0.344351,-0.243049,3.973500,0.397461,-0.219815,3.996940,0.384492,-0.233398,4.002047,0.381409,-0.237457,3.989278,0.375225,-0.228231,3.980571,0.375390,-0.222692,3.960056
20,0.833333,1,0.401563,-0.029902,4.470686,0.352443,-0.010714,4.445893,0.329937,0.009200,4.404991,0.350177,0.002125,4.414246,0.348590,0.000592,4.424888,0.352619,0.008844,4.436285,0.352040,0.017973,4.446427,1,0.307996,-0.217999,3.972189,0.355043,-0.232260,3.959897,0.405193,-0.203288,3.981866,0.386311,-0.222293,3.985201,0.384352,-0.227390,3.973163,0.376278,-0.218858,3.962705,0.374566,-0.213875,3.941645
21,0.875000,1,0.389415,-0.021842,4.468543,0.338416,-0.003201,4.441966,0.324416,0.022479,4.391441,0.339732,0.019390,4.400994,0.336711,0.016646,4.416023,0.340637,0.025507,4.430890,0.339270,0.034924,4.444945,1,0.305352,-0.202013,3.958057,0.350344,-0.214824,3.947374,0.394884,-0.184758,3.962530,0.374865,-0.202621,3.967105,0.374834,-0.208032,3.957412,0.366107,-0.200828,3.946304,0.363297,-0.198010,3.926278
