frame,time,ball_u,floor_depth_proxy,floor_row_proxy
1,0.000000,654.057,3.125900,218.000
2,0.033333,653.609,3.146985,218.000
3,0.066667,653.609,3.139484,218.000
4,0.100000,653.565,3.180834,218.000
5,0.133333,653.565,3.191356,218.000
6,0.166667,653.410,3.208471,218.000
7,0.200000,653.414,3.202838,218.000
8,0.233333,653.414,3.202356,218.000
9,0.266667,653.396,3.245731,218.000
10,0.300000,653.099,3.229860,218.000
11,0.333333,652.971,3.243472,218.000
12,0.366667,652.883,3.247722,218.000
13,0.400000,653.963,3.264854,218.000
14,0.433333,653.951,3.263481,218.000
15,0.466667,653.408,3.269138,218.000
16,0.500000,653.408,3.260213,218.000
17,0.533333,653.408,3.259287,218.000
18,0.566667,653.408,3.264567,218.000
19,0.600000,653.443,3.287377,218.000
20,0.633333,653.443,3.285896,218.000
21,0.666667,653.443,3.285226,218.000
22,0.700000,654.165,3.281376,218.000
23,0.733333,654.171,3.277728,218.000
24,0.766667,653.443,3.308776,218.000
25,0.800000,653.443,3.304528,218.000
26,0.833333,653.643,3.286931,218.000
27,0.866667,653.643,3.257555,218.000
28,0.900000,653.643,3.275647,218.000
29,0.933333,653.643,3.268913,218.000
30,0.966667,653.643,3.286596,218.000
31,1.000000,653.443,3.254636,218.000
32,1.033333,653.656,3.257926,218.000
33,1.066667,653.459,3.265679,218.000
34,1.100000,653.459,3.270461,218.000
35,1.133333,653.459,3.282328,218.000
36,1.166667,653.644,3.287358,218.000
37,1.200000,653.988,3.297131,218.000
38,1.233333,654.260,3.298393,218.000
39,1.266667,653.431,3.276738,218.000
40,1.300000,652.798,3.245955,218.000
41,1.333333,654.351,3.261275,218.000
42,1.366667,653.439,3.271228,218.000
43,1.400000,653.609,3.277926,218.000
44,1.433333,653.609,3.277894,218.000
45,1.466667,653.609,3.259522,218.000
46,1.500000,653.609,3.281930,218.000
47,1.533333,653.609,3.241061,218.000
48,1.566667,653.606,3.193624,218.000
49,1.600000,653.846,3.208546,218.000
50,1.633333,653.662,3.285825,218.000
51,1.666667,653.837,3.183751,218.000
52,1.700000,683.500,3.179534,218.000
53,1.733333,683.000,3.173802,218.000
54,1.766667,699.817,3.259002,218.000
55,1.800000,712.643,3.201385,218.000
56,1.833333,716.460,3.159649,218.000
57,1.866667,721.771,3.136203,218.000
58,1.900000,726.556,3.149421,218.000
59,1.933333,726.960,3.154137,218.000
60,1.966667,730.452,3.166915,218.000
61,2.000000,732.235,3.166205,218.000
62,2.033333,734.710,3.201858,218.000
63,2.066667,736.074,3.225973,218.000
64,2.100000,736.074,3.224521,218.000
