case,result_name,frame,time,object_tx,object_ty,object_tz,object_qw,object_qx,object_qy,object_qz,object_pose_source,human_site_id,human_body_part,human_side,human_x,human_y,human_z,human_coordinate_frame,human_confidence,human_source,contact_state,contact_type,contact_part,audio_score,audio_anchor_type
15_suitcase_drag,final_full_6d,9,0.333333,-0.355457537,0.835315756,4.662509165,0.701167414,0.712418029,0.022541143,-0.017796224,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,right_palm,hand,right,0.094064,0.056671,3.805699,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,10,0.375,-0.350692442,0.835577590,4.657645095,0.700740419,0.712790584,0.023544969,-0.018387034,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,left_palm,hand,left,-0.244873,-0.038470,4.472341,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,10,0.375,-0.350692442,0.835577590,4.657645095,0.700740419,0.712790584,0.023544969,-0.018387034,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,right_palm,hand,right,0.120667,0.056673,3.813216,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,11,0.416667,-0.343370447,0.838355162,4.612049832,0.697443471,0.715943091,0.024944187,-0.019387709,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,left_palm,hand,left,-0.241514,-0.041044,4.471892,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,11,0.416667,-0.343370447,0.838355162,4.612049832,0.697443471,0.715943091,0.024944187,-0.019387709,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,right_palm,hand,right,0.144427,0.055655,3.821778,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,12,0.458333,-0.336376003,0.840720446,4.566334887,0.692659017,0.720467447,0.026527873,-0.021128559,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,left_palm,hand,left,-0.238199,-0.043662,4.470628,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,12,0.458333,-0.336376003,0.840720446,4.566334887,0.692659017,0.720467447,0.026527873,-0.021128559,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,right_palm,hand,right,0.164874,0.053685,3.829334,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,13,0.5,-0.331103368,0.841554398,4.541206934,0.688052234,0.724719590,0.028337782,-0.023719381,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,left_palm,hand,left,-0.233569,-0.046403,4.467867,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,13,0.5,-0.331103368,0.841554398,4.541206934,0.688052234,0.724719590,0.028337782,-0.023719381,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,right_palm,hand,right,0.181655,0.051272,3.834101,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,14,0.541667,-0.327459198,0.841991058,4.528019374,0.684707360,0.727666726,0.030811761,-0.026974108,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,left_palm,hand,left,-0.228148,-0.048509,4.462218,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,14,0.541667,-0.327459198,0.841991058,4.528019374,0.684707360,0.727666726,0.030811761,-0.026974108,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,right_palm,hand,right,0.194494,0.048950,3.835371,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,15,0.583333,-0.325482380,0.842565997,4.518792867,0.682743738,0.729196368,0.034413356,-0.030811793,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,left_palm,hand,left,-0.223136,-0.049350,4.453409,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,15,0.583333,-0.325482380,0.842565997,4.518792867,0.682743738,0.729196368,0.034413356,-0.030811793,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,right_palm,hand,right,0.203540,0.047008,3.833601,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
15_suitcase_drag,final_full_6d,16,0.625,-0.324553163,0.842972368,4.512986079,0.681632669,0.729786223,0.039210231,-0.035376996,samples_known_object/15_suitcase_drag/results/ablation_evaluation/frozen_poses/full_object_pose_6d.csv,left_palm,hand,left,-0.219018,-0.048956,4.443001,gvhmr_incam,1.0,hamer_palm_site_export,,,,,
