frame,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,raw_velocity_score,raw_accel_score,final_velocity_score,final_accel_score,se3_smoothed,delta_translation_m,delta_rotation_rad,trust_weight,anchor_residual_enabled,anchor_residual_count,anchor_residual_m
55,0,0,0,0,0.049932,0.015739,0.011530,0.000732,1,0.093067,0.000000,0.602000,0,0,0.000000
56,0,0,0,0,0.041217,0.022206,0.010900,0.000495,1,0.130528,0.000000,0.602000,0,0,0.000000
57,0,0,0,0,0.020421,0.013362,0.010491,0.000337,1,0.146388,0.000000,0.602000,0,0,0.000000
58,0,0,0,0,0.017363,0.025285,0.010239,0.000329,1,0.150211,0.000000,0.602000,0,0,0.000000
59,0,0,0,0,0.025675,0.038266,0.010014,0.000442,1,0.129169,0.000000,0.602000,0,0,0.000000
60,0,0,0,0,0.063087,0.051489,0.009746,0.000662,1,0.075989,0.000000,0.602000,0,0,0.000000
61,0,0,0,0,0.111366,0.038351,0.009370,0.007698,1,0.056367,0.000000,0.602000,0,0,0.000000
62,0,0,0,0,0.148819,0.037208,0.004162,0.001056,1,0.194694,0.000000,0.670800,0,0,0.000000
63,0,0,0,1,0.111644,0.205238,0.004282,0.001107,1,0.304542,0.000000,0.756800,0,0,0.000000
64,0,0,0,0,0.094455,0.035132,0.004528,0.000696,1,0.210048,0.000000,0.602000,0,0,0.000000
65,0,0,0,0,0.119694,0.045453,0.004787,0.002256,1,0.093316,0.000000,0.602000,0,0,0.000000
66,0,0,0,0,0.076419,0.014950,0.005897,0.002794,1,0.027384,0.000000,0.602000,0,0,0.000000
67,0,0,0,0,0.066374,0.018077,0.007896,0.003943,1,0.052954,0.000000,0.602000,0,0,0.000000
68,0,0,0,0,0.048697,0.019328,0.011272,0.000790,1,0.099318,0.000000,0.602000,0,0,0.000000
69,0,0,0,0,0.029864,0.015634,0.011888,0.000493,1,0.127763,0.000000,0.602000,0,0,0.000000
70,0,0,0,0,0.017930,0.015446,0.012240,0.000256,1,0.140827,0.000000,0.602000,0,0,0.000000
71,0,0,0,0,0.010894,0.033219,0.012413,0.000265,1,0.139590,0.000000,0.688000,0,0,0.000000
72,0,0,0,0,0.039057,0.038975,0.012605,0.000358,1,0.106007,0.000000,0.602000,0,0,0.000000
73,0,0,0,0,0.075241,0.039555,0.012887,0.000847,1,0.039720,0.000000,0.602000,0,0,0.000000
74,0,0,0,0,0.114541,0.041928,0.013580,0.004275,1,0.085961,0.000000,0.602000,0,0,0.000000
75,0,0,0,1,0.156035,0.119617,0.017463,0.000782,1,0.237822,0.000000,0.670800,0,0,0.000000
76,0,0,0,1,0.044647,0.143624,0.017657,0.000818,1,0.272937,0.000000,0.756800,0,0,0.000000
77,0,0,0,0,0.112885,0.010281,0.017598,0.000549,1,0.168150,0.000000,0.602000,0,0,0.000000
78,0,0,0,0,0.104337,0.021199,0.017424,0.001067,1,0.080902,0.000000,0.602000,0,0,0.000000
79,0,0,0,0,0.083521,0.029262,0.016800,0.001414,1,0.064087,0.000000,0.602000,0,0,0.000000
80,0,0,0,0,0.061243,0.017418,0.015628,0.007160,1,0.095387,0.000000,0.602000,0,0,0.000000
81,0,0,0,0,0.048128,0.029925,0.008679,0.001163,1,0.131792,0.000000,0.602000,0,0,0.000000
82,0,0,0,0,0.021577,0.022311,0.007684,0.000577,1,0.145168,0.000000,0.602000,0,0,0.000000
83,0,0,0,0,0.014870,0.031823,0.007228,0.000329,1,0.138497,0.000000,0.602000,0,0,0.000000
84,0,0,0,0,0.040096,0.043737,0.006986,0.000409,1,0.102677,0.000000,0.602000,0,0,0.000000
85,0,0,0,0,0.082649,0.052848,0.006681,0.000586,1,0.043951,0.000000,0.602000,0,0,0.000000
86,0,0,0,0,0.126162,0.035237,0.006201,0.004724,1,0.108607,0.000000,0.602000,0,0,0.000000
87,0,0,0,1,0.156375,0.166077,0.002870,0.000887,1,0.263038,0.000000,0.739600,0,0,0.000000
88,0,0,0,1,0.016439,0.107172,0.002461,0.000970,1,0.253676,0.000000,0.602000,0,0,0.000000
89,0,0,0,0,0.118079,0.020959,0.002226,0.000773,1,0.143280,0.000000,0.602000,0,0,0.000000
90,0,0,0,0,0.097288,0.029239,0.002303,0.002909,1,0.074336,0.000000,0.602000,0,0,0.000000
91,0,0,0,0,0.073800,0.018414,0.004511,0.003375,1,0.071406,0.000000,0.602000,0,0,0.000000
92,0,0,0,0,0.055774,0.023935,0.007719,0.000800,1,0.111279,0.000000,0.602000,0,0,0.000000
93,0,0,0,0,0.032500,0.011858,0.008407,0.000500,1,0.138883,0.000000,0.602000,0,0,0.000000
94,0,0,0,0,0.023373,0.021303,0.008836,0.000256,1,0.156932,0.000000,0.602000,0,0,0.000000
95,0,0,0,0,0.008216,0.023093,0.009054,0.000261,1,0.157567,0.000000,0.688000,0,0,0.000000
96,0,0,0,0,0.025939,0.059253,0.009283,0.000340,1,0.135822,0.000000,0.602000,0,0,0.000000
97,0,0,0,0,0.080730,0.058552,0.009591,0.000652,1,0.071741,0.000000,0.200000,0,0,0.000000
98,0,0,0,0,0.137036,0.045366,0.010209,0.001147,1,0.095791,0.000000,0.602000,0,0,0.000000
99,0,0,0,1,0.181554,0.184754,0.011327,0.000166,1,0.263398,0.000000,0.200000,0,0,0.000000
100,0,0,0,0,0.023770,0.092999,0.011473,0.000150,1,0.255701,0.000000,0.602000,0,0,0.000000
101,0,0,0,0,0.102158,0.015835,0.011393,0.000227,1,0.155835,0.000000,0.602000,0,0,0.000000
102,0,0,0,0,0.090259,0.022400,0.011198,0.000721,1,0.067250,0.000000,0.602000,0,0,0.000000
103,0,0,0,0,0.070961,0.023107,0.010519,0.001290,1,0.023943,0.000000,0.602000,0,0,0.000000
