frame,time,E_total,E_2d,E_depth,E_visual,E_mask,E_contact,E_audio,E_support,E_smooth,E_temporal,E_static,E_penetration,E_prior,E_reg,vlm_contact_gate,vlm_anchor_gate,contact_active,static_active,failure_label,contact_state,visibility_state,source
30,1.208333,1.904658308,0.000000000,0.000000000,0.000000000,0.000000000,0.025490358,,0.000000000,0.000001221,0.000001221,,,1.879166729,1.879166729,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
31,1.250000,1.896657676,0.000000000,0.000000000,0.000000000,0.000000000,0.018038907,,0.000000000,0.000001313,0.000001313,,,1.878617456,1.878617456,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
32,1.291667,1.844219359,0.000000000,0.000000000,0.000000000,0.000000000,0.001750418,,0.000000000,0.000001480,0.000001480,,,1.842467461,1.842467461,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
33,1.333333,1.836606461,0.000000000,0.000000000,0.000000000,0.000000000,0.004969827,,0.000000000,0.000001781,0.000001781,,,1.831634853,1.831634853,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
34,1.375000,1.862746026,0.000000000,0.000000000,0.000000000,0.000000000,0.000928360,,0.000000000,0.000002632,0.000002632,,,1.861815034,1.861815034,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
35,1.416667,1.914659733,0.000000000,0.000000000,0.000000000,0.000000000,0.001023808,,0.000000000,0.000002671,0.000002671,,,1.913633254,1.913633254,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
36,1.458333,1.958712123,0.000000000,0.000000000,0.000000000,0.000000000,0.000063489,,0.000000000,0.000002021,0.000002021,,,1.958646613,1.958646613,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
37,1.500000,1.958710860,0.000000000,0.000000000,0.000000000,0.000000000,0.010271417,,0.000000000,0.000001627,0.000001627,,,1.948437816,1.948437816,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
38,1.541667,1.892335160,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000001657,0.000001657,,,1.892333503,1.892333503,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
39,1.583333,1.838108410,0.000000000,0.000000000,0.000000000,0.000000000,0.000579654,,0.000000000,0.000002441,0.000002441,,,1.837526315,1.837526315,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
40,1.625000,1.757850274,0.000000000,0.000000000,0.000000000,0.000000000,0.001762069,,0.000000000,0.000004249,0.000004249,,,1.756083956,1.756083956,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
41,1.666667,1.651231443,0.000000000,0.000000000,0.000000000,0.000000000,0.020280893,,0.000000000,0.000007417,0.000007417,,,1.630943133,1.630943133,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
42,1.708333,1.562497412,0.000000000,0.000000000,0.000000000,0.000000000,0.017956804,,0.000000000,0.000010062,0.000010062,,,1.544530546,1.544530546,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
43,1.750000,1.558552145,0.000000000,0.000000000,0.000000000,0.000000000,0.023810959,,0.000000000,0.000012357,0.000012357,,,1.534728829,1.534728829,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
44,1.791667,1.608214112,0.000000000,0.000000000,0.000000000,0.000000000,0.019549632,,0.000000000,0.000013840,0.000013840,,,1.588650640,1.588650640,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
45,1.833333,1.675778790,0.000000000,0.000000000,0.000000000,0.000000000,0.009260405,,0.000000000,0.000015699,0.000015699,,,1.666502686,1.666502686,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
46,1.875000,1.788395121,0.000000000,0.000000000,0.000000000,0.000000000,0.004119971,,0.000000000,0.000018811,0.000018811,,,1.784256339,1.784256339,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
47,1.916667,1.860007091,0.000000000,0.000000000,0.000000000,0.000000000,0.003084136,,0.000000000,0.000029434,0.000029434,,,1.856893521,1.856893521,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
48,1.958333,1.984927180,0.000000000,0.000000000,0.000000000,0.000000000,0.000634385,,0.000000000,0.000088177,0.000088177,,,1.984204618,1.984204618,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
49,2.000000,2.092741888,0.000000000,0.000000000,0.000000000,0.000000000,0.000240932,,0.000000000,0.000173024,0.000173024,,,2.092327932,2.092327932,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
50,2.041667,2.128498481,0.000000000,0.000000000,0.000000000,0.000000000,0.007619195,,0.000000000,0.000179963,0.000179963,,,2.120699323,2.120699323,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
51,2.083333,2.093979712,0.000000000,0.000000000,0.000000000,0.000000000,0.000111704,,0.000000000,0.000180536,0.000180536,,,2.093687472,2.093687472,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
52,2.125000,2.080976847,0.000000000,0.000000000,0.000000000,0.000000000,0.001152806,,0.000000000,0.000178282,0.000178282,,,2.079645759,2.079645759,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
53,2.166667,2.038165843,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000169207,0.000169207,,,2.037996636,2.037996636,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
54,2.208333,2.083116779,0.000000000,0.000000000,0.000000000,0.000000000,0.013246859,,0.000000000,0.000154668,0.000154668,,,2.069715252,2.069715252,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
55,2.250000,2.092357085,0.000000000,0.000000000,0.000000000,0.000000000,0.026495375,,0.000000000,0.000132943,0.000132943,,,2.065728767,2.065728767,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
56,2.291667,2.101992944,0.000000000,0.000000000,0.000000000,0.000000000,0.029767291,,0.000000000,0.000118809,0.000118809,,,2.072106844,2.072106844,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
57,2.333333,2.077573820,0.000000000,0.000000000,0.000000000,0.000000000,0.026034791,,0.000000000,0.000110064,0.000110064,,,2.051428965,2.051428965,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
58,2.375000,1.986315184,0.000000000,0.000000000,0.000000000,0.000000000,0.024146363,,0.000000000,0.000104828,0.000104828,,,1.962063993,1.962063993,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
59,2.416667,1.881259984,0.000000000,0.000000000,0.000000000,0.000000000,0.023563171,,0.000000000,0.000100281,0.000100281,,,1.857596532,1.857596532,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
60,2.458333,1.779105627,0.000000000,0.000000000,0.000000000,0.000000000,0.012820127,,0.000000000,0.000094990,0.000094990,,,1.766190510,1.766190510,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
61,2.500000,1.716818266,0.000000000,0.000000000,0.000000000,0.000000000,0.023628609,,0.000000000,0.000087789,0.000087789,,,1.693101868,1.693101868,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
62,2.541667,1.566454657,0.000000000,0.000000000,0.000000000,0.000000000,0.003416987,,0.000000000,0.000017319,0.000017319,,,1.563020351,1.563020351,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
63,2.583333,1.560008101,0.000000000,0.000000000,0.000000000,0.000000000,0.015860632,,0.000000000,0.000018337,0.000018337,,,1.544129132,1.544129132,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
64,2.625000,1.482997127,0.000000000,0.000000000,0.000000000,0.000000000,0.000464359,,0.000000000,0.000020500,0.000020500,,,1.482512268,1.482512268,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
