frame,motion_regime,sequence_se3_optimizer_enabled,visual_residual_enabled,contact_anchor_residual_enabled,depth_residual_enabled,geometry_residual_enabled,velocity_residual_enabled,acceleration_residual_enabled,static_freeze_residual_enabled,boundary_freeze_interpolation_enabled,static_tail_freeze_enabled,trust_weight,smooth_weight,accel_weight,feedback_reoptimized,feedback_reweight_reason,visual_prior_reason,overlay_prior_reason,pose_lock_reason,vlm_pose_refine_disabled,vlm_gate_optimizer_mode,decision_source
37,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.062000,1.016667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
38,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.864000,0.808333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
39,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.841667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
40,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,0.875000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
41,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,1.104167,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
42,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.333333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
43,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.380000,1.791667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
44,static_hold,1,1,1,1,1,1,1,1,1,1,0.688000,1.560000,1.791667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
45,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.560000,1.562500,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
46,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.104167,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
47,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,0.841667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
48,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.650000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
49,high_speed,1,1,1,1,1,1,1,1,1,1,0.670800,0.600000,0.858333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
50,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.756800,0.798000,0.858333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
51,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.062000,1.016667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
52,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.864000,0.808333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
53,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.841667,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
54,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,0.875000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
55,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.984000,1.104167,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
56,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.333333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
57,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.380000,1.562500,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
58,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.380000,1.562500,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
59,low_speed,1,1,1,1,1,1,1,1,1,1,0.602000,1.380000,1.333333,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
60,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.602000,1.182000,1.070833,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
61,free_motion,1,1,1,1,1,1,1,1,1,1,0.602000,0.924000,0.650000,1,stage_audit_residual_reweight:vlm,,,,0,,generic_sequence_se3_mainline
