frame,time,proposal_score,anchor_score,floor_score,anchor_contact_state,human_contact_state,floor_contact_state,transition_contact_state,multi_contact_state,confidence_level,contact_part,contact_label,contact_side,anchor_type,min_object_boundary_gap_px,active_part_distance_px,contact_depth_offset_m,object_acceleration,support_surface_type,support_source,signed_support_gap_px,support_conf,active_object_point_id,active_object_u,active_object_v,state_active_part_u,state_active_part_v
1,0.000000,0.460990,0.460990,0.000000,0,0,0,0,0,soft,hand,right_hand,right,hand,10.695754,10.695754,0.034877,,floor,generic_floor_candidates,-224.191584,0.000000,boundary_003,508.000,349.000,505.904,338.512
2,0.041667,0.536898,0.536898,0.000000,0,0,0,0,0,soft,hand,right_hand,right,hand,3.952565,3.952565,0.052342,,floor,generic_floor_candidates,-227.146584,0.000000,boundary_004,506.000,342.000,507.268,338.256
3,0.083333,0.546161,0.546161,0.000000,0,0,0,0,0,soft,hand,right_hand,right,hand,2.130457,2.130457,0.072793,,floor,generic_floor_candidates,-229.515084,0.000000,boundary_004,506.000,341.000,507.845,339.935
4,0.125000,0.546414,0.546414,0.000000,0,0,0,0,0,soft,hand,right_hand,right,hand,2.058851,2.058851,0.020017,,floor,generic_floor_candidates,-230.018034,0.000000,boundary_003,510.000,344.000,508.240,345.068
5,0.166667,0.545157,0.545157,0.000000,0,0,0,0,0,soft,hand,right_hand,right,hand,2.394106,2.394106,0.018247,,floor,generic_floor_candidates,-226.125099,0.000000,boundary_004,507.000,358.000,508.515,356.147
6,0.208333,0.520783,0.520783,0.000000,0,0,0,0,0,soft,hand,right_hand,right,hand,5.947361,5.947361,-0.053594,,floor,generic_floor_candidates,-216.800044,0.000000,boundary_002,514.000,378.000,511.078,372.820
7,0.250000,0.386406,0.386406,0.000000,0,0,0,0,0,proposal,hand,right_hand,right,hand,15.124895,15.124895,-0.042657,,floor,generic_floor_candidates,-197.972506,0.000000,boundary_000,526.000,406.000,515.495,395.119
8,0.291667,0.000419,0.000419,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,68.207451,68.207451,2.437364,,floor,generic_floor_candidates,-168.593229,0.000000,boundary_000,524.000,479.000,520.223,410.897
9,0.333333,1.000000,0.000000,1.000000,0,0,0,0,0,none,hand,right_hand,right,hand,119.176341,119.176341,-0.107549,,floor,generic_floor_candidates,-128.272736,1.000000,boundary_000,527.000,540.000,555.454,641.496
10,0.375000,1.000000,0.000000,1.000000,0,0,1,1,0,strong,floor,floor,,hand,134.719308,134.719308,0.008248,,floor,generic_floor_candidates,-93.748390,1.000000,boundary_000,547.000,558.000,557.305,641.469
11,0.416667,0.073953,0.000000,0.603810,0,0,0,0,0,none,hand,right_hand,right,hand,103.888419,103.888419,0.075393,,floor,generic_floor_candidates,-83.336348,0.603810,boundary_062,530.000,527.000,558.130,640.535
12,0.458333,0.003352,0.003352,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,57.489425,57.489425,1.796760,,floor,generic_floor_candidates,-88.347919,0.000000,boundary_062,526.000,474.000,525.729,416.511
13,0.500000,0.066978,0.066978,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,36.937778,36.937778,3.841463,,floor,generic_floor_candidates,-101.156018,0.000000,boundary_062,522.000,441.000,521.952,404.062
14,0.541667,0.188678,0.188678,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,26.330177,26.330177,3.813060,,floor,generic_floor_candidates,-117.321688,0.000000,boundary_000,521.000,414.000,519.190,387.732
15,0.583333,0.311755,0.311755,0.000000,0,0,0,0,0,proposal,hand,right_hand,right,hand,19.179952,19.179952,2.160910,,floor,generic_floor_candidates,-134.982657,0.000000,boundary_000,521.000,394.000,519.038,374.921
