frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
16,0.625000,527.348,423.359,527.348,423.359,527.348,423.359,cotracker_center_fallback,center,527.348,461.324,461.324,37.965,37.965,cotracker_bottom,,,stage2_contact_policy,2.642728,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.645533,2.642728,2.642728,2.642728,1.000000,0.000000,,,46.477
17,0.666667,529.287,416.293,529.287,416.293,529.287,416.293,cotracker_center_fallback,center,529.287,453.518,453.518,37.225,37.225,cotracker_bottom,,,stage2_contact_policy,2.597757,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.634933,2.597757,2.597757,2.597757,1.000000,0.000000,,,46.884
18,0.708333,530.680,417.553,530.680,417.553,530.680,417.553,cotracker_center_fallback,center,530.680,454.033,454.033,36.480,36.480,cotracker_bottom,,,stage2_contact_policy,2.556508,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.596135,2.556508,2.556508,2.556508,1.000000,0.000000,,,45.717
19,0.750000,533.560,433.814,533.560,433.814,533.560,433.814,cotracker_center_fallback,center,533.560,472.306,472.306,38.492,38.492,cotracker_bottom,,,stage2_contact_policy,2.530824,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.590389,2.530824,2.530824,2.530824,1.000000,0.000000,,,46.570
20,0.791667,534.040,482.778,534.040,482.778,534.040,482.778,cotracker_center_fallback,center,534.040,513.813,513.813,31.035,31.035,cotracker_bottom,,,stage2_contact_policy,2.496188,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.427672,2.496188,2.496188,2.496188,1.000000,0.000000,,,45.025
21,0.833333,535.175,540.956,535.175,540.956,535.175,540.956,cotracker_center_fallback,center,535.175,569.194,569.194,28.238,28.238,cotracker_bottom,,,stage2_contact_policy,2.452960,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.400147,2.452960,2.452960,2.452960,1.000000,0.000000,,,45.027
22,0.875000,539.066,604.311,539.066,604.311,539.066,604.311,cotracker_center_fallback,center,539.066,634.052,634.052,29.741,29.741,cotracker_bottom,,,stage2_contact_policy,2.406218,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.420961,2.406218,2.406218,2.406218,1.000000,0.000000,,,44.511
23,0.916667,538.213,600.868,538.213,600.868,538.213,600.868,cotracker_center_fallback,center,538.213,630.027,630.027,29.159,29.159,cotracker_bottom,,,stage2_contact_policy,2.353819,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.403079,2.353819,2.353819,2.353819,1.000000,0.000000,,,43.369
24,0.958333,533.800,545.411,533.800,545.411,533.800,545.411,cotracker_center_fallback,center,533.800,576.576,576.576,31.165,31.165,cotracker_bottom,,,stage2_contact_policy,2.327056,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.332340,2.327056,2.327056,2.327056,1.000000,0.000000,,,45.441
25,1.000000,528.938,505.726,528.938,505.726,528.938,505.726,cotracker_center_fallback,center,528.938,541.533,541.533,35.807,35.807,cotracker_bottom,,,stage2_contact_policy,2.303332,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.268938,2.303332,2.303332,2.303332,1.000000,0.000000,,,48.130
