frame,time,contact_id,human_part,human_side,object_part,contact_observed,contact_persistent,anchor_update_allowed,pose_anchor_allowed,stable_local_x,stable_local_y,stable_local_z,stable_local_s,observed_local_x,observed_local_y,observed_local_z,observed_local_s,contact_confidence,anchor_action,source
1,0.000000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.765372,inactive,hand_floor_from_anchor_floor_candidates
2,0.041667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.905911,inactive,hand_floor_from_anchor_floor_candidates
3,0.083333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.948132,inactive,hand_floor_from_anchor_floor_candidates
4,0.125000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.949831,inactive,hand_floor_from_anchor_floor_candidates
5,0.166667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.941903,inactive,hand_floor_from_anchor_floor_candidates
6,0.208333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.861841,inactive,hand_floor_from_anchor_floor_candidates
7,0.250000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.685147,inactive,hand_floor_from_anchor_floor_candidates
8,0.291667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.181739,inactive,hand_floor_from_anchor_floor_candidates
9,0.333333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.579706,inactive,hand_floor_from_anchor_floor_candidates
10,0.375000,floor_floor_support,floor,,floor_support,1,0,1,1,,,,,,,,,0.871438,update,hand_floor_from_anchor_floor_candidates
11,0.416667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.318454,inactive,hand_floor_from_anchor_floor_candidates
12,0.458333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.237584,inactive,hand_floor_from_anchor_floor_candidates
13,0.500000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.397149,inactive,hand_floor_from_anchor_floor_candidates
14,0.541667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.517754,inactive,hand_floor_from_anchor_floor_candidates
15,0.583333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.619094,inactive,hand_floor_from_anchor_floor_candidates
16,0.625000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.753833,inactive,hand_floor_from_anchor_floor_candidates
17,0.666667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.904716,inactive,hand_floor_from_anchor_floor_candidates
18,0.708333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.945113,inactive,hand_floor_from_anchor_floor_candidates
19,0.750000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.901788,inactive,hand_floor_from_anchor_floor_candidates
20,0.791667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.617283,inactive,hand_floor_from_anchor_floor_candidates
21,0.833333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.242323,inactive,hand_floor_from_anchor_floor_candidates
22,0.875000,floor_floor_support,floor,,floor_support,1,1,1,1,,,,,,,,,0.573102,update,hand_floor_from_anchor_floor_candidates
23,0.916667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.579133,inactive,hand_floor_from_anchor_floor_candidates
24,0.958333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.285891,inactive,hand_floor_from_anchor_floor_candidates
25,1.000000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.654390,inactive,hand_floor_from_anchor_floor_candidates
26,1.041667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.740000,inactive,hand_floor_from_anchor_floor_candidates
27,1.083333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.766135,inactive,hand_floor_from_anchor_floor_candidates
28,1.125000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.783244,inactive,hand_floor_from_anchor_floor_candidates
29,1.166667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.814712,inactive,hand_floor_from_anchor_floor_candidates
30,1.208333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.883802,inactive,hand_floor_from_anchor_floor_candidates
31,1.250000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.964316,inactive,hand_floor_from_anchor_floor_candidates
32,1.291667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.925422,inactive,hand_floor_from_anchor_floor_candidates
