frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,contact_conf,anchor_score,source
50,2.041667,1,floor,,floor_support,boundary_000,539.000,586.000,0.116312,0.584193,1.000000,hand_floor_from_anchor_floor_candidates
51,2.083333,0,none,right,none,boundary_003,550.000,539.000,0.017078,0.292475,0.984057,hand_floor_from_anchor_floor_candidates
52,2.125000,0,none,right,none,boundary_003,559.000,493.000,0.039678,0.569540,0.298497,hand_floor_from_anchor_floor_candidates
53,2.166667,0,none,right,none,boundary_005,559.000,470.000,-0.027190,0.642980,0.000000,hand_floor_from_anchor_floor_candidates
54,2.208333,0,none,right,none,boundary_003,565.000,439.000,0.056577,0.745472,0.000000,hand_floor_from_anchor_floor_candidates
55,2.250000,0,none,right,none,boundary_001,574.000,415.000,0.090446,0.734285,0.000000,hand_floor_from_anchor_floor_candidates
56,2.291667,0,none,right,none,boundary_002,579.000,400.000,0.091486,0.730832,0.000000,hand_floor_from_anchor_floor_candidates
57,2.333333,0,none,right,none,boundary_004,588.000,396.000,0.072253,0.621598,0.000000,hand_floor_from_anchor_floor_candidates
58,2.375000,0,none,right,none,boundary_006,592.000,394.000,0.055643,0.691597,0.000000,hand_floor_from_anchor_floor_candidates
59,2.416667,0,none,right,none,boundary_003,605.000,401.000,0.040156,0.848326,0.000000,hand_floor_from_anchor_floor_candidates
60,2.458333,0,none,right,none,boundary_058,613.000,427.000,-0.003459,0.887720,0.000000,hand_floor_from_anchor_floor_candidates
61,2.500000,0,none,right,none,boundary_059,612.000,475.000,0.055012,0.627926,0.000000,hand_floor_from_anchor_floor_candidates
62,2.541667,0,none,right,none,boundary_062,616.000,531.000,1.748307,0.294004,0.874846,hand_floor_from_anchor_floor_candidates
63,2.583333,1,floor,,floor_support,boundary_000,610.000,585.000,0.093592,0.124645,1.000000,hand_floor_from_anchor_floor_candidates
64,2.625000,0,none,right,none,boundary_000,609.000,540.000,1.732655,0.283980,0.970505,hand_floor_from_anchor_floor_candidates
65,2.666667,0,none,right,none,boundary_002,604.000,498.000,0.108294,0.608825,0.266611,hand_floor_from_anchor_floor_candidates
66,2.708333,0,none,right,none,boundary_004,596.000,464.000,-0.085508,0.813949,0.000000,hand_floor_from_anchor_floor_candidates
67,2.750000,0,none,right,none,boundary_004,589.000,441.000,-0.005724,0.754432,0.000000,hand_floor_from_anchor_floor_candidates
68,2.791667,0,none,right,none,boundary_001,593.000,418.000,0.036603,0.668077,0.000000,hand_floor_from_anchor_floor_candidates
69,2.833333,0,none,right,none,boundary_002,588.000,409.000,0.045365,0.601366,0.000000,hand_floor_from_anchor_floor_candidates
70,2.875000,0,none,right,none,boundary_003,585.000,403.000,0.056698,0.595717,0.000000,hand_floor_from_anchor_floor_candidates
71,2.916667,0,none,right,none,boundary_063,583.000,402.000,0.032098,0.713503,0.000000,hand_floor_from_anchor_floor_candidates
72,2.958333,0,none,right,none,boundary_061,583.000,417.000,0.032413,0.803475,0.000000,hand_floor_from_anchor_floor_candidates
73,3.000000,0,none,right,none,boundary_061,584.000,449.000,-0.030550,0.825792,0.000000,hand_floor_from_anchor_floor_candidates
74,3.041667,0,none,right,none,boundary_061,576.000,494.000,0.062560,0.582011,0.269002,hand_floor_from_anchor_floor_candidates
75,3.083333,0,none,right,none,boundary_063,556.000,555.000,0.089049,0.333955,1.000000,hand_floor_from_anchor_floor_candidates
76,3.125000,1,floor,,floor_support,boundary_000,556.000,567.000,0.079477,0.570351,1.000000,hand_floor_from_anchor_floor_candidates
77,3.166667,0,none,right,none,boundary_000,531.000,527.000,0.068826,0.358880,0.795129,hand_floor_from_anchor_floor_candidates
78,3.208333,0,none,right,none,boundary_001,521.000,486.000,0.065381,0.701963,0.266611,hand_floor_from_anchor_floor_candidates
79,3.250000,0,none,right,none,boundary_001,509.000,453.000,0.070002,0.810662,0.000000,hand_floor_from_anchor_floor_candidates
