frame,time,u,v,radius_px,da3_depth_raw,da3_depth_smooth
110,3.633333,729.995,624.296,44.028,6.603249,6.404218
111,3.666667,726.264,610.780,42.379,5.416569,6.045319
112,3.700000,724.233,608.752,41.550,5.195569,5.767591
113,3.733333,724.184,608.330,41.189,5.200750,5.621728
114,3.766667,722.227,610.859,42.193,5.198595,5.615329
115,3.800000,720.256,616.711,40.889,5.414606,5.723596
116,3.833333,718.889,627.629,40.783,6.322765,5.865699
117,3.866667,718.000,628.500,40.918,6.558447,6.227227
118,3.900000,713.628,646.725,41.630,6.174437,6.308093
119,3.933333,713.000,647.000,42.202,6.190293,6.544710
120,3.966667,712.446,666.896,40.187,7.731450,6.533734
121,4.000000,709.000,696.000,41.869,5.764649,6.491701
122,4.033333,705.763,731.383,42.076,7.070931,6.287419
123,4.066667,703.174,767.663,41.394,6.245936,6.224154
124,4.100000,701.500,767.500,42.362,6.264211,9.087590
125,4.133333,703.779,766.622,41.240,4.744460,12.226992
126,4.166667,709.155,730.155,42.230,5.747436,12.129263
127,4.200000,709.276,698.888,41.907,27.775505,12.288330
128,4.233333,709.523,699.433,41.800,27.740459,12.262645
129,4.266667,714.000,668.000,40.608,6.386831,12.333475
130,4.300000,717.568,642.288,40.082,7.359409,12.294057
131,4.333333,720.256,627.901,40.373,6.084421,9.107496
132,4.366667,723.979,615.655,41.644,5.240275,5.927939
133,4.400000,724.317,609.657,40.712,5.471507,5.799031
134,4.433333,724.129,609.849,41.320,5.469569,5.566805
135,4.466667,727.251,608.978,41.193,5.483560,5.540657
136,4.500000,730.942,612.682,42.103,5.484481,5.634523
137,4.533333,734.635,619.479,42.405,5.733822,5.870524
138,4.566667,736.122,632.847,41.864,5.901388,6.517982
139,4.600000,736.122,632.847,41.864,5.897335,7.427777
140,4.633333,737.797,649.424,40.898,7.123517,8.334327
141,4.666667,742.764,672.962,40.042,10.001765,8.589422
142,4.700000,744.086,699.603,41.201,11.852127,8.460421
143,4.733333,743.910,699.706,41.023,11.830334,8.281388
144,4.766667,745.735,730.660,41.744,7.519493,7.981629
145,4.800000,747.564,763.406,41.812,4.998375,7.583805
146,4.833333,752.677,778.908,39.516,4.644109,6.917950
147,4.866667,750.667,750.083,40.451,5.025205,7.061264
148,4.900000,749.089,716.782,40.484,7.216991,7.078870
149,4.933333,749.030,716.433,40.338,7.191141,7.572168
150,4.966667,747.768,684.965,41.289,12.833530,7.975553
151,5.000000,752.730,656.593,39.975,7.642737,8.324576
152,5.033333,753.129,635.098,40.649,8.451461,8.231024
153,5.066667,752.041,621.551,43.044,7.467802,8.116124
154,5.100000,750.270,620.575,41.341,7.468373,7.154005
155,5.133333,751.938,611.166,43.532,6.562126,6.935955
156,5.166667,750.692,601.883,42.326,6.386841,6.620698
