frame,time,ball_center_x,ball_center_y,radius,mask_area
133,5.500000,724.858,609.543,39.706,4953.0
134,5.541667,724.704,609.785,40.299,5102.0
135,5.583333,726.754,608.165,39.546,4913.0
136,5.625000,730.286,612.238,40.425,5134.0
137,5.666667,733.752,618.705,39.814,4980.0
138,5.708333,735.648,631.800,40.192,5075.0
139,5.750000,735.694,631.532,39.554,4915.0
140,5.791667,738.084,649.032,39.550,4914.0
141,5.833333,743.164,670.767,37.746,4476.0
142,5.875000,746.708,699.644,39.129,4810.0
143,5.916667,746.754,699.728,39.100,4803.0
144,5.958333,747.556,730.446,39.870,4994.0
145,6.000000,749.636,763.392,39.658,4941.0
146,6.041667,751.986,779.011,36.024,4077.0
147,6.083333,750.988,750.646,38.107,4562.0
148,6.125000,749.850,715.966,38.592,4679.0
149,6.166667,749.740,715.907,38.592,4679.0
150,6.208333,750.375,684.155,38.485,4653.0
151,6.250000,752.817,656.467,37.428,4401.0
152,6.291667,753.408,635.451,38.675,4699.0
153,6.333333,750.806,619.523,40.437,5137.0
154,6.375000,750.631,619.346,40.441,5138.0
155,6.416667,750.686,609.681,41.058,5296.0
156,6.458333,749.906,602.049,40.977,5275.0
157,6.500000,750.713,601.702,41.132,5315.0
158,6.541667,750.677,601.668,41.205,5334.0
159,6.583333,750.886,606.986,39.774,4970.0
160,6.625000,751.289,616.892,39.766,4968.0
161,6.666667,750.834,633.730,38.564,4672.0
162,6.708333,754.187,655.527,38.423,4638.0
163,6.750000,751.396,686.834,41.120,5312.0
164,6.791667,751.581,687.188,40.782,5225.0
165,6.833333,751.680,721.250,41.178,5327.0
166,6.875000,749.005,762.339,42.986,5805.0
167,6.916667,756.572,737.051,41.398,5384.0
168,6.958333,762.727,704.256,41.054,5295.0
169,7.000000,762.768,704.117,41.112,5310.0
170,7.041667,771.719,674.035,38.027,4543.0
171,7.083333,774.198,652.003,40.117,5056.0
172,7.125000,780.846,635.229,40.837,5239.0
173,7.166667,781.062,635.147,41.081,5302.0
174,7.208333,786.430,629.220,41.555,5425.0
175,7.250000,791.870,628.394,41.502,5411.0
176,7.291667,797.177,632.841,42.748,5741.0
177,7.333333,802.986,632.742,41.248,5345.0
178,7.375000,803.652,585.388,42.137,5578.0
179,7.416667,803.636,585.361,42.216,5599.0
180,7.458333,804.725,539.077,41.112,5310.0
181,7.500000,801.903,495.005,41.689,5460.0
182,7.541667,799.402,462.304,41.959,5531.0
183,7.583333,799.914,434.519,41.819,5494.0
184,7.625000,799.171,434.375,42.001,5542.0
185,7.666667,799.180,412.232,41.167,5324.0
186,7.708333,800.662,393.669,41.232,5341.0
187,7.750000,798.826,382.825,41.891,5513.0
188,7.791667,798.965,382.929,41.636,5446.0
189,7.833333,799.269,379.485,41.463,5401.0
190,7.875000,799.573,380.597,41.857,5504.0
191,7.916667,797.377,389.012,40.782,5225.0
192,7.958333,797.781,401.662,41.298,5358.0
193,8.000000,798.721,418.150,41.116,5311.0
194,8.041667,798.769,418.245,41.336,5368.0
195,8.083333,798.498,418.546,40.825,5236.0
196,8.125000,797.471,443.696,41.356,5373.0
197,8.166667,798.369,473.061,41.159,5322.0
198,8.208333,798.116,510.448,40.236,5086.0
199,8.250000,798.185,510.352,40.386,5124.0
200,8.291667,797.737,549.528,41.860,5505.0
201,8.333333,798.797,594.892,39.702,4952.0
202,8.375000,803.015,648.450,38.323,4614.0
203,8.416667,803.131,648.124,37.313,4374.0
204,8.458333,799.105,710.063,42.088,5565.0
205,8.500000,800.254,777.963,41.597,5436.0
206,8.541667,800.406,843.103,41.008,5283.0
207,8.583333,795.555,829.432,41.929,5523.0
208,8.625000,790.884,806.809,41.251,5346.0
209,8.666667,790.774,806.737,41.228,5340.0
210,8.708333,785.807,791.364,40.899,5255.0
211,8.750000,779.538,781.414,40.872,5248.0
212,8.791667,774.514,780.724,40.457,5142.0
213,8.833333,768.200,786.211,41.085,5303.0
214,8.875000,768.112,786.158,41.015,5285.0
215,8.916667,763.169,796.388,39.858,4991.0
216,8.958333,756.389,815.819,40.743,5215.0
217,9.000000,752.211,837.573,39.886,4998.0
218,9.041667,752.055,837.798,40.042,5037.0
219,9.083333,747.650,840.067,39.562,4917.0
220,9.125000,744.007,831.996,40.571,5171.0
221,9.166667,737.945,825.053,39.493,4900.0
222,9.208333,733.372,825.248,39.910,5004.0
223,9.250000,728.596,831.094,39.842,4987.0
224,9.291667,728.469,831.095,39.922,5007.0
225,9.333333,724.347,840.617,38.006,4538.0
