frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,active_hand,active_hand_z,floor_window_weight,contact_depth_gap
27,1.083333,-0.302477,0.226643,3.835994,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.197,446.770,46.099,524.197,446.770,45.942,492.712,657.784,0.000000,0,0,right,3.619800,0.000000,0.216194
28,1.125000,-0.303648,0.186788,3.824745,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,523.407,431.722,46.719,523.407,431.722,46.077,477.799,657.784,0.000000,0,0,right,3.608790,0.000000,0.215956
29,1.166667,-0.299714,0.162280,3.792272,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,523.932,422.845,46.909,523.932,422.845,46.471,469.316,657.784,0.000000,0,0,right,3.600039,0.000000,0.192233
30,1.208333,-0.294347,0.152270,3.742677,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.500,419.750,48.050,524.500,419.750,47.087,466.837,657.784,0.000000,0,0,right,3.591058,0.000000,0.151619
31,1.250000,-0.285562,0.159261,3.696136,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.536,423.280,47.877,526.536,423.280,47.680,470.960,657.784,0.000000,0,0,right,3.585791,0.000000,0.110345
32,1.291667,-0.273223,0.197115,3.647086,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.979,439.374,49.416,529.979,439.374,48.321,487.695,657.784,0.000000,0,0,right,3.585649,0.000000,0.061436
33,1.333333,-0.262160,0.279554,3.649374,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,534.500,472.500,50.384,534.500,472.500,48.291,520.791,657.784,0.000000,0,0,right,3.592409,0.084658,0.056964
34,1.375000,-0.266897,0.439346,3.733293,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.008,532.830,46.859,535.008,532.830,47.206,580.036,657.784,0.000000,0,0,right,3.618556,0.333740,0.114737
35,1.416667,-0.261414,0.597664,3.800035,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,538.971,590.980,46.079,538.971,590.980,46.377,637.357,657.784,0.000000,0,0,right,3.658267,0.760067,0.141768
36,1.458333,-0.266898,0.665136,3.823998,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,537.498,615.445,45.488,537.498,615.445,46.086,661.531,657.784,0.000000,1,1,right,3.678698,1.000000,0.145300
37,1.500000,-0.278012,0.546777,3.815792,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.000,570.441,44.797,533.000,570.441,46.185,616.626,657.784,0.000000,0,0,right,3.688451,0.760067,0.127341
38,1.541667,-0.275547,0.436447,3.765041,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,532.519,530.242,48.341,532.519,530.242,46.808,577.050,657.784,0.000000,0,0,right,3.671550,0.333740,0.093491
39,1.583333,-0.295904,0.339838,3.763940,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.545,492.597,47.358,524.545,492.597,46.821,539.418,657.784,0.000000,0,0,right,3.640499,0.084658,0.123441
40,1.625000,-0.309717,0.272520,3.780450,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.683,465.867,46.615,519.683,465.867,46.617,512.484,657.784,0.000000,0,0,right,3.621206,0.000000,0.159244
41,1.666667,-0.315171,0.217232,3.778738,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,517.509,444.427,47.267,517.509,444.427,46.638,491.065,657.784,0.000000,0,0,right,3.614303,0.000000,0.164434
42,1.708333,-0.320188,0.181356,3.771039,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,515.305,430.628,47.230,515.305,430.628,46.733,477.361,657.784,0.000000,0,0,right,3.603596,0.000000,0.167444
43,1.750000,-0.319517,0.162667,3.757319,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,515.112,423.581,47.605,515.112,423.581,46.904,470.485,657.784,0.000000,0,0,right,3.605705,0.000000,0.151614
44,1.791667,-0.317461,0.158971,3.740484,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,515.357,422.416,47.556,515.357,422.416,47.115,469.531,657.784,0.000000,0,0,right,3.608222,0.000000,0.132262
45,1.833333,-0.308261,0.168098,3.710193,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,517.981,426.538,47.982,517.981,426.538,47.500,474.038,657.784,0.000000,0,0,right,3.600945,0.000000,0.109248
46,1.875000,-0.291699,0.206933,3.672889,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,523.364,442.742,49.025,523.364,442.742,47.982,490.724,657.784,0.000000,0,0,right,3.601496,0.000000,0.071393
47,1.916667,-0.279074,0.294999,3.655296,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.875,478.523,48.391,527.875,478.523,48.213,526.736,657.784,0.000000,0,0,right,3.610142,0.084658,0.045154
48,1.958333,-0.250244,0.422038,3.656333,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,539.487,529.516,49.885,539.487,529.516,48.199,577.715,657.784,0.000000,0,0,right,3.635264,0.333740,0.021069
49,2.000000,-0.228318,0.580269,3.737496,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,550.285,588.010,48.185,550.285,588.010,47.153,635.163,657.784,0.000000,0,0,right,3.665288,0.760067,0.072208
50,2.041667,-0.216317,0.697800,3.843587,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,557.347,626.624,44.702,557.347,626.624,45.851,672.475,657.784,0.000000,1,1,right,3.677545,1.000000,0.166042
51,2.083333,-0.205320,0.576776,3.838022,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,561.435,580.701,46.237,561.435,580.701,45.918,626.619,657.784,0.000000,0,0,right,3.679149,0.760067,0.158873
52,2.125000,-0.191550,0.456309,3.820495,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,566.368,535.406,47.868,566.368,535.406,46.128,581.534,657.784,0.000000,0,0,right,3.660060,0.333740,0.160435
53,2.166667,-0.182513,0.379354,3.846168,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,570.310,504.851,44.883,570.310,504.851,45.820,550.671,657.784,0.000000,0,0,right,3.629781,0.084658,0.216387
54,2.208333,-0.169476,0.299521,3.829122,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,575.000,474.877,46.847,575.000,474.877,46.024,520.901,657.784,0.000000,0,0,right,3.595288,0.000000,0.233834
55,2.250000,-0.153594,0.246196,3.810477,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,580.803,454.887,46.945,580.803,454.887,46.249,501.136,657.784,0.000000,0,0,right,3.578041,0.000000,0.232437
56,2.291667,-0.138932,0.210366,3.801739,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,586.331,441.264,47.220,586.331,441.264,46.356,487.620,657.784,0.000000,0,0,left,4.051600,0.000000,-0.249861
57,2.333333,-0.122946,0.190084,3.803093,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,592.523,433.403,46.387,592.523,433.403,46.339,479.742,657.784,0.000000,0,0,left,4.054409,0.000000,-0.251316
58,2.375000,-0.104114,0.189336,3.791382,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,599.671,433.340,47.670,599.671,433.340,46.482,479.822,657.784,0.000000,0,0,left,4.049604,0.000000,-0.258222
