frame,time,u,v,radius_px,da3_depth_raw,da3_depth_smooth
1,0.000000,513.847,388.459,46.265,2.607968,2.681067
2,0.041667,517.041,381.280,46.539,2.677267,2.691532
3,0.083333,519.478,379.743,46.553,2.724858,2.669402
4,0.125000,520.628,383.106,45.554,2.714178,2.664412
5,0.166667,524.193,395.050,47.204,2.733392,2.692018
6,0.208333,526.081,417.918,48.281,2.558751,2.654066
7,0.250000,525.746,454.762,51.399,2.634469,2.618466
8,0.291667,528.398,517.203,45.820,2.801210,2.591195
9,0.333333,529.901,582.494,45.684,2.411601,2.574700
10,0.375000,530.000,599.500,46.220,2.475661,2.600945
11,0.416667,529.000,557.000,44.654,2.523279,2.608720
12,0.458333,530.000,515.500,45.213,2.617925,2.580082
13,0.500000,530.371,484.292,45.350,2.742472,2.613501
14,0.541667,529.000,458.856,45.746,2.688889,2.636254
15,0.583333,529.042,438.000,45.256,2.600745,2.646662
16,0.625000,529.778,423.168,46.477,2.645533,2.642728
17,0.666667,530.030,413.418,46.884,2.634933,2.597757
18,0.708333,530.821,414.977,45.717,2.596135,2.556508
19,0.750000,531.994,429.713,46.570,2.590389,2.530824
20,0.791667,534.182,476.567,45.025,2.427672,2.496188
21,0.833333,538.406,534.935,45.027,2.400147,2.452960
22,0.875000,541.000,602.500,44.511,2.420961,2.406218
23,0.916667,539.800,601.000,43.369,2.403079,2.353819
24,0.958333,534.738,547.007,45.441,2.332340,2.327056
25,1.000000,529.500,503.500,48.130,2.268938,2.303332
26,1.041667,527.411,470.277,46.376,2.223597,2.289598
27,1.083333,524.197,446.770,46.099,2.240334,2.278769
28,1.125000,523.407,431.722,46.719,2.234073,2.284359
29,1.166667,523.932,422.845,46.909,2.324825,2.281055
30,1.208333,524.500,419.750,48.050,2.327275,2.281573
31,1.250000,526.536,423.280,47.877,2.371472,2.280533
32,1.291667,529.979,439.374,49.416,2.245807,2.289145
33,1.333333,534.500,472.500,50.384,2.227224,2.288120
34,1.375000,535.008,532.830,46.859,2.233056,2.269600
35,1.416667,538.971,590.980,46.079,2.294358,2.250310
36,1.458333,537.498,615.445,45.488,2.317648,2.235235
37,1.500000,533.000,570.441,44.797,2.197635,2.235876
38,1.541667,532.519,530.242,48.341,2.236440,2.256797
39,1.583333,524.545,492.597,47.358,2.140287,2.280371
40,1.625000,519.683,465.867,46.615,2.231711,2.314917
