frame,time,ball_center_x,ball_center_y,left_palm_u,left_palm_v,right_palm_u,right_palm_v,left_palm_valid,right_palm_valid,left_palm_dist_px,right_palm_dist_px,min_palm_dist_px,active_hand,hand_score,is_candidate,hand_contact_state
1,0.0,513.847,388.459,752.8931220222428,356.6861354312386,505.90428919552335,338.5115708854257,1,1,241.14842603006525,50.57501685693216,50.57501685693216,right,0.5317597239941415,0,1
2,0.041667,517.041,381.28,753.2475947461968,356.5063498414003,507.26826271177947,338.2564344551666,1,1,237.50218766102915,44.119537466922196,44.119537466922196,right,0.6183964162871037,0,1
3,0.083333,519.478,379.743,753.1590858458201,356.0235396670134,507.84494877710745,339.9346302790527,1,1,234.88180576743204,41.4732947882619,41.4732947882619,right,0.6539660777999754,0,1
4,0.125,520.628,383.106,752.0319463481153,355.33216373621633,508.239856994751,345.06806620090794,1,1,233.0647385734034,40.00438094537411,40.00438094537411,right,0.6735801598941993,1,1
5,0.166667,524.193,395.05,751.4728344345489,355.01117538514814,508.51542044745804,356.14655903517763,1,1,230.77961482144568,41.943583770699675,41.943583770699675,right,0.6476620625686484,0,1
6,0.208333,526.081,417.918,750.9725816945274,354.56854274433033,511.07773424491114,372.820090096936,1,1,233.64369722218962,47.52809128234272,47.52809128234272,right,0.5724912133162192,0,1
7,0.25,525.746,454.762,749.3452508586871,354.5072330576327,515.4948087503788,395.118667000413,1,1,245.04620641673785,60.51788242607252,60.51788242607252,right,0.4048252541857593,0,1
8,0.291667,528.398,517.203,748.1093600667892,354.61372389980625,520.2227859593537,410.8972170307007,1,1,273.3282906052415,106.61966806047627,106.61966806047627,right,0.06039477133929141,0,0
9,0.333333,529.901,582.494,748.3096054452162,355.69075431254697,525.3464327223634,420.8351306893287,1,1,314.86827592961373,161.72301663613385,161.72301663613385,right,0.0015681475290943933,0,0
10,0.375,530.0,599.5,749.5427545031766,357.5792061206321,528.0631167494012,424.6182683285122,1,1,326.6874524160145,174.89245721055184,174.89245721055184,right,0.0005248293323723884,0,0
11,0.416667,529.0,557.0,752.2073599049338,360.7181060308476,528.4648511829205,423.12292376761195,1,1,297.2340953118404,133.87814580725663,133.87814580725663,right,0.011967980641697332,0,0
12,0.458333,530.0,515.5,755.7376942797665,364.68700835324285,525.729282809095,416.51121270153516,1,1,271.48124257154524,99.0808711918976,99.0808711918976,right,0.08857059887639457,0,0
13,0.5,530.371,484.292,760.4590350511261,369.3876220878008,521.952108925003,404.0622529426889,1,1,257.183825185562,80.67025498789987,80.67025498789987,right,0.20052085015035243,0,0
14,0.541667,529.0,458.856,765.2496231875467,373.45804473222717,519.1902786324669,387.73208966921476,1,1,251.2104600134603,71.79722316392338,71.79722316392338,right,0.2800463063564874,0,0
15,0.583333,529.042,438.0,769.2104229182528,376.8589116827668,519.037862236215,374.92067640437506,1,1,247.82877970013172,63.867705749293634,63.867705749293634,right,0.36524709037999353,0,0
16,0.625,529.778,423.168,771.8163981279849,380.13515576896515,521.786307773082,368.163097378265,1,1,245.8341144979139,55.582429391637206,55.582429391637206,right,0.46635114006607264,0,1
17,0.666667,530.03,413.418,773.3574508266015,382.4029183726597,525.3294129232181,368.0081828224061,1,1,245.29611414395208,45.65245902433853,45.65245902433853,right,0.5977371314279208,0,1
18,0.708333,530.821,414.977,774.2648391778846,383.97283075928334,528.6769550387359,377.2347949246724,1,1,245.4101899758336,37.803055071568,37.803055071568,right,0.7026776478035723,0,1
19,0.75,531.994,429.713,773.147481355076,384.87653129832637,529.9238231890095,395.0305164814607,1,1,245.28618080786603,34.744212396347585,34.744212396347585,right,0.7422536332910228,1,1
20,0.791667,534.182,476.567,768.6942549344244,384.28783846756414,529.8500386027176,419.72164429455626,1,1,252.01476418566799,57.01017764246986,57.01017764246986,right,0.44820313204538476,0,1
21,0.833333,538.406,534.935,762.4718758944255,383.6063036054537,530.1555875620944,438.3068802050401,1,1,270.381010969352,96.9797032399288,96.9797032399288,right,0.0980539208962609,0,0
22,0.875,541.0,602.5,755.2815464430239,383.53431427764616,529.2030375643163,451.1358525982985,1,1,306.3699604561035,151.82316503535597,151.82316503535597,right,0.003374778653100859,0,0
23,0.916667,539.8,601.0,748.3435719201143,382.7432783746276,526.728728884952,455.78258936603777,1,1,301.87152552676315,145.80450774854629,145.80450774854629,right,0.005252114282814989,0,0
24,0.958333,534.738,547.007,741.2340042733981,383.0182412407424,522.3143165513183,452.85962166496233,1,1,263.6909417865566,94.96355489235731,94.96355489235731,right,0.10788541155858995,0,0
25,1.0,529.5,503.5,736.0251280487716,384.1876852541976,517.6981896640108,443.0879391453938,1,1,238.51217362131212,61.55403986666759,61.55403986666759,right,0.39237752812035726,0,0
26,1.041667,527.411,470.277,732.5673688786355,385.80538461596257,513.9662143734981,424.5761368027709,1,1,221.8661522113176,47.63749738928816,47.63749738928816,right,0.5710213492088309,0,1
27,1.083333,524.197,446.77,729.9870922760828,388.0963611834624,512.5388387222124,403.5226025784829,1,1,213.9910231083822,44.791183374784225,44.791183374784225,right,0.6093451658308616,1,1
28,1.125,523.407,431.722,729.0953077566737,390.22005912700195,512.5009916567469,386.70182519948287,1,1,209.8334840868586,46.3223181312445,46.3223181312445,right,0.588712940333206,0,1
29,1.166667,523.932,422.845,729.8044775860766,392.70434434538583,513.5073534278534,376.6761539319236,1,1,208.06714337136373,47.331127214676656,47.331127214676656,right,0.5751383873815359,0,1
30,1.208333,524.5,419.75,731.7295385420385,394.5587208600188,515.4606030956074,373.7616458343515,1,1,208.75507703779252,46.868319953463896,46.868319953463896,right,0.5813629010752372,0,1
31,1.25,526.536,423.28,735.1959760877397,396.7192960371662,518.6278527799311,381.5206457603034,1,1,210.34366312284624,42.501558312263626,42.501558312263626,right,0.6401707378992919,0,1
32,1.291667,529.979,439.374,739.8281690200644,398.24421545650983,523.1317291227471,402.9025788086355,1,1,213.84184088948882,37.10862005227883,37.10862005227883,right,0.7117615913829748,1,1
33,1.333333,534.5,472.5,744.254591698514,399.23371579587797,527.7013773297277,429.06462476490157,1,1,222.18221607430576,43.964225138475285,43.964225138475285,right,0.6204888294214059,0,1
34,1.375,535.008,532.83,748.1248820861794,399.2283234912789,531.0554833099868,455.951904463736,1,1,251.53173437177946,76.97963341993629,76.97963341993629,right,0.23149979597304735,0,0
35,1.416667,538.971,590.98,752.1212825763407,399.1836286562587,534.9215878593141,473.5305798809367,1,1,286.73836684859634,117.51920704714341,117.51920704714341,right,0.03303904644546004,0,0
36,1.458333,537.498,615.445,757.2594415813712,398.7791502049448,535.4571791887341,480.88620282771393,1,1,308.60846014543387,134.57427260080632,134.57427260080632,right,0.011428295642371899,0,0
37,1.5,533.0,570.441,761.6648408087832,399.1147499374662,532.8855287351274,479.42671240168505,1,1,285.72765596384966,91.01435958517355,91.01435958517355,right,0.12933663449894178,0,0
38,1.541667,532.519,530.242,766.2024827293745,399.99381942054544,526.6927612892488,468.76954240950363,1,1,267.5304817115016,61.74794004442599,61.74794004442599,right,0.39006803798641254,0,0
39,1.583333,524.545,492.597,770.7881148586604,401.5276605371611,518.1143232441141,446.5953337962719,1,1,262.5438938644226,46.44897089342139,46.44897089342139,right,0.5870074589355047,0,1
40,1.625,519.683,465.867,774.0388111785559,403.39936469008427,511.92838127224644,420.9174819246011,1,1,261.9142686863658,45.613520877295166,45.613520877295166,right,0.5982618542655387,1,1
41,1.666667,517.509,444.427,775.8894144466217,405.1402360351976,508.1518339567489,395.88473285968996,1,1,261.350126061638,49.43590047204762,49.43590047204762,right,0.5469301741111215,0,1
42,1.708333,515.305,430.628,775.7054058891433,406.74641038973897,505.61361967009645,379.5242054958253,1,1,261.4932154178069,52.01461972776265,52.01461972776265,right,0.5127177429368626,0,1
43,1.75,515.112,423.581,773.768976621039,407.88274371917953,503.4335734217624,369.6003853921416,1,1,259.13291339579973,55.22945229481659,55.22945229481659,right,0.47087688138107764,0,1
44,1.791667,515.357,422.416,770.9482130900784,408.2804614088099,502.2106798836778,369.97854548126213,1,1,255.9817994704329,54.06026608337697,54.06026608337697,right,0.4859701910032269,0,1
45,1.833333,517.981,426.538,767.3870890748626,408.8993793826637,502.82042519746966,381.4362445531722,1,1,250.0290347237709,47.58162852119064,47.58162852119064,right,0.5717718940526314,0,1
46,1.875,523.364,442.742,762.1115254339317,408.81566195786996,505.2230621893676,402.2899871328218,1,1,241.14596682046064,44.33349715120141,44.33349715120141,right,0.6155134317916304,1,1
47,1.916667,527.875,478.523,755.5560376841722,409.2762289374579,509.69511107165533,432.3628377369456,1,1,237.9785079025616,49.611177587298435,49.611177587298435,right,0.5445907268599001,0,1
48,1.958333,539.487,529.516,749.0766111417557,409.56713772982295,516.8345891255797,460.6909915920214,1,1,241.4860962011318,72.45697689513324,72.45697689513324,right,0.2735421297103229,0,0
49,2.0,550.285,588.01,743.9610543706855,409.53780353884713,525.1404655508231,476.8416889434143,1,1,263.36806743845216,113.97649317223107,113.97649317223107,right,0.040454973936358385,0,0
50,2.041667,557.347,626.624,741.6873465474673,409.1411313913044,534.2593232127191,483.74843683988456,1,1,285.09675814275323,144.7289444712221,144.7289444712221,right,0.005673396836487162,0,0
51,2.083333,561.435,580.701,740.9171766551755,409.1375134486405,542.0490503924179,483.2254595765711,1,1,248.28991452440866,99.38458644592347,99.38458644592347,right,0.0872621454951874,0,0
52,2.125,566.368,535.406,741.5052372329417,409.6174725115964,548.0377656992619,473.3316082375899,1,1,215.628860575964,64.72424277033392,64.72424277033392,right,0.3554476898952844,0,0
53,2.166667,570.31,504.851,744.2876843740709,410.54125779188917,554.1413179837703,453.015655602739,1,1,197.89533126257467,54.29851938059275,54.29851938059275,right,0.4828822131283041,0,1
54,2.208333,575.0,474.877,747.9406289989483,411.1452839084861,559.2456432557631,428.7560583523473,1,1,184.3100452892387,48.737470337419765,48.737470337419765,right,0.5562686297962179,1,1
55,2.25,580.803,454.887,752.6256018551239,411.4276295581831,567.1504309360369,404.71835977306546,1,1,177.2335278311175,51.99312554815182,51.99312554815182,right,0.513000836338902,0,1
