frame,time,anchor_type,ball_center_x,ball_center_y,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,proximity_score,approaching_score,object_response_score,audio_support,anchor_score,is_candidate,anchor_contact_state
1,0.0,hand,513.847,388.459,752.8931220222428,356.6861354312386,505.90428919552335,338.5115708854257,1,1,center,center,241.14842603006525,50.57501685693216,50.57501685693216,0.0,247.65661375690146,0.0,0.4612478928834802,right,center,1.0,0.0,0.0,0.0,0.3883743678650441,1,0
2,0.041667,hand,517.041,381.28,753.2475947461968,356.5063498414003,507.26826271177947,338.2564344551666,1,1,center,center,237.50218766102915,44.119537466922196,44.119537466922196,0.0,246.6554098326303,0.0,1.0,right,center,1.0,0.0,0.1193353341622975,0.0,0.5738670668324595,1,1
3,0.083333,hand,519.478,379.743,753.1590858458201,356.0235396670134,507.84494877710745,339.9346302790527,1,1,center,center,234.88180576743204,41.4732947882619,41.4732947882619,0.0,245.84116589997927,0.0,1.0,right,center,1.0,0.0,0.10620472291526407,0.0,0.5712409445830529,1,1
4,0.125,hand,520.628,383.106,752.0319463481153,355.33216373621633,508.239856994751,345.06806620090794,1,1,center,center,233.0647385734034,40.00438094537411,40.00438094537411,0.0,244.00806242723434,0.0,1.0,right,center,1.0,0.0,0.18687521487549955,0.0,0.5873750429750999,1,1
5,0.166667,hand,524.193,395.05,751.4728344345489,355.01117538514814,508.51542044745804,356.14655903517763,1,1,center,center,230.77961482144568,41.943583770699675,41.943583770699675,0.0,242.96006689850782,0.0,1.0,right,center,1.0,0.0,0.23168687120814435,0.0,0.5963373742416289,1,1
6,0.208333,hand,526.081,417.918,750.9725816945274,354.56854274433033,511.07773424491114,372.820090096936,1,1,center,center,233.64369722218962,47.52809128234272,47.52809128234272,0.0,240.58814769983803,0.0,1.0,right,center,1.0,0.0,0.2966674461084225,0.0,0.6093334892216845,1,1
7,0.25,hand,525.746,454.762,749.3452508586871,354.5072330576327,515.4948087503788,395.118667000413,1,1,center,center,245.04620641673785,60.51788242607252,60.51788242607252,1.118882426072517,237.35062216295134,0.0,0.0,right,center,0.9996909371812684,0.0,0.5402411954108967,0.0,0.35797097337749645,0,0
8,0.291667,hand,528.398,517.203,748.1093600667892,354.61372389980625,520.2227859593537,410.8972170307007,1,1,center,center,273.3282906052415,106.61966806047627,106.61966806047627,52.79966806047627,234.73415230306634,0.0,0.0,right,center,0.5024059098971447,0.0,0.06441837013084172,0.0,0.13848515150045454,0,0
9,0.333333,hand,529.901,582.494,748.3096054452162,355.69075431254697,525.3464327223634,420.8351306893287,1,1,center,center,314.86827592961373,161.72301663613385,161.72301663613385,108.03901663613385,232.28509673278762,0.0,0.0,right,center,0.05601805311551752,0.0,1.0,0.0,0.2140045132788794,0,0
10,0.375,hand,530.0,599.5,749.5427545031766,357.5792061206321,528.0631167494012,424.6182683285122,1,1,center,center,326.6874524160145,174.89245721055184,174.89245721055184,120.67245721055184,231.40325365313174,0.0,0.0,right,center,0.027446502689024786,0.0,1.0,0.0,0.20686162567225622,0,0
