contact_type,target,start_frame,end_frame,start_time,end_time,peak_frame,peak_time,mean_score,max_score,num_frames
anchor_contact_state,right_hand,2,6,0.041667,0.208333,3,0.083333,0.5876307835707851,0.6093334892216845,5
anchor_contact_state,right_hand,17,19,0.666667,0.75,17,0.666667,0.6330342526585874,0.684727688748674,3
anchor_contact_state,right_hand,26,33,1.041667,1.333333,30,1.208333,0.5988572902519508,0.6652919465129516,8
transition_contact_state,anchor_floor_transition,34,35,1.375,1.416667,34,1.375,0.2371405967119618,0.23867650968550155,2
floor_contact_state,floor,36,36,1.458333,1.458333,36,1.458333,0.597190823087483,0.597190823087483,1
transition_contact_state,anchor_floor_transition,37,38,1.5,1.541667,38,1.541667,0.39097973008914544,0.4313924146970949,2
anchor_contact_state,right_hand,39,47,1.583333,1.916667,44,1.791667,0.5064620225613288,0.6545019295366381,9
transition_contact_state,anchor_floor_transition,48,49,1.958333,2.0,48,1.958333,0.23163500792266095,0.2688640482735551,2
floor_contact_state,floor,50,50,2.041667,2.041667,50,2.041667,0.9997144357812254,0.9997144357812254,1
anchor_contact_state,right_hand,54,54,2.208333,2.208333,54,2.208333,0.5361265741632469,0.5361265741632469,1
anchor_contact_state,right_hand,59,60,2.416667,2.458333,59,2.416667,0.6319675666292119,0.6472994250942805,2
transition_contact_state,anchor_floor_transition,61,62,2.5,2.541667,61,2.5,0.2683236940218716,0.3070189780697088,2
floor_contact_state,floor,63,63,2.583333,2.583333,63,2.583333,0.9812626433753707,0.9812626433753707,1
transition_contact_state,anchor_floor_transition,64,65,2.625,2.666667,65,2.666667,0.37998068278823205,0.42494116787582886,2
anchor_contact_state,right_hand,66,67,2.708333,2.75,67,2.75,0.594905449537682,0.6608482805401358,2
anchor_contact_state,right_hand,72,73,2.958333,3.0,72,2.958333,0.5827727942166332,0.6249474307838727,2
transition_contact_state,anchor_floor_transition,74,75,3.041667,3.083333,74,3.041667,0.31697699916328054,0.321179802320695,2
floor_contact_state,floor,76,76,3.125,3.125,76,3.125,0.5244132712072845,0.5244132712072845,1
anchor_contact_state,right_hand,80,85,3.291667,3.5,82,3.375,0.4724259914972349,0.5674568224813714,6
anchor_contact_state,right_hand,90,97,3.708333,4.0,94,3.875,0.5314967580703818,0.6673438928505969,8
transition_contact_state,anchor_floor_transition,98,98,4.041667,4.041667,98,4.041667,0.21760139584047875,0.21760139584047875,1
floor_contact_state,floor,99,99,4.083333,4.083333,99,4.083333,0.378734016011088,0.378734016011088,1
anchor_contact_state,right_hand,103,103,4.25,4.25,103,4.25,0.45696479404610646,0.45696479404610646,1
anchor_contact_state,right_hand,109,109,4.5,4.5,109,4.5,0.5039469446326079,0.5039469446326079,1
transition_contact_state,anchor_floor_transition,110,111,4.541667,4.583333,110,4.541667,0.26513776139715284,0.33702200963886647,2
floor_contact_state,floor,112,112,4.625,4.625,112,4.625,1.0,1.0,1
transition_contact_state,anchor_floor_transition,113,114,4.666667,4.708333,114,4.708333,0.3550372584679977,0.400130895702668,2
anchor_contact_state,right_hand,115,116,4.75,4.791667,116,4.791667,0.4847860211889057,0.5538886587917058,2
anchor_contact_state,right_hand,121,122,5.0,5.041667,121,5.0,0.5744212730755707,0.6357335135332054,2
transition_contact_state,anchor_floor_transition,123,124,5.083333,5.125,123,5.083333,0.26284789233756695,0.3221599691454759,2
floor_contact_state,floor,125,125,5.166667,5.166667,125,5.166667,0.9580398354369961,0.9580398354369961,1
transition_contact_state,anchor_floor_transition,126,127,5.208333,5.25,127,5.25,0.3923117562892682,0.42841310795537524,2
anchor_contact_state,right_hand,128,128,5.291667,5.291667,128,5.291667,0.7645177241967752,0.7645177241967752,1
anchor_contact_state,right_hand,132,134,5.458333,5.541667,132,5.458333,0.5575836088546623,0.6328602480897247,3
anchor_contact_state,right_hand,139,145,5.75,6.0,143,5.916667,0.5338875993459721,0.6773085549451487,7
transition_contact_state,anchor_floor_transition,146,147,6.041667,6.083333,146,6.041667,0.23444037718350177,0.2831676283970217,2
floor_contact_state,floor,148,148,6.125,6.125,148,6.125,0.9879211372670605,0.9879211372670605,1
transition_contact_state,anchor_floor_transition,149,150,6.166667,6.208333,150,6.208333,0.3458301630671524,0.3901615180101047,2
anchor_contact_state,right_hand,151,152,6.25,6.291667,152,6.291667,0.45021413286896184,0.4964766588298851,2
anchor_contact_state,right_hand,156,157,6.458333,6.5,156,6.458333,0.5610507455345581,0.6584697801742239,2
transition_contact_state,anchor_floor_transition,158,159,6.541667,6.583333,158,6.541667,0.3097805873897579,0.358822837514397,2
floor_contact_state,floor,160,160,6.625,6.625,160,6.625,0.8789458388287137,0.8789458388287137,1
transition_contact_state,anchor_floor_transition,161,162,6.666667,6.708333,162,6.708333,0.3820864430288732,0.42012049888699843,2
anchor_contact_state,right_hand,163,163,6.75,6.75,163,6.75,0.6866371171841281,0.6866371171841281,1
