frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap
20,0.633333,-0.877939,0.859984,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.114,839.630,36.770,654.114,839.630,41.810,881.440,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928537,6.690660,7.382971,-0.367983
21,0.666667,-0.878008,0.859628,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.090,839.506,36.770,654.090,839.506,41.810,881.316,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929186,6.698761,7.379900,-0.376083
22,0.700000,-0.878278,0.859378,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.996,839.419,36.544,653.996,839.419,41.810,881.229,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929368,6.703583,7.376830,-0.380906
23,0.733333,-0.878232,0.859665,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.012,839.519,36.543,654.012,839.519,41.810,881.329,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.930446,6.701982,7.373760,-0.379305
24,0.766667,-0.878358,0.859343,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.968,839.407,36.770,653.968,839.407,41.810,881.217,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.930138,6.695570,7.370690,-0.372893
25,0.800000,-0.878404,0.859407,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.952,839.429,36.770,653.952,839.429,41.810,881.239,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929435,6.694598,7.367620,-0.371921
26,0.833333,-0.878459,0.859349,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.933,839.409,36.938,653.933,839.409,41.810,881.219,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928665,6.692117,7.364550,-0.369440
27,0.866667,-0.878677,0.859277,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.857,839.384,36.938,653.857,839.384,41.810,881.194,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928655,6.683447,7.361479,-0.360770
28,0.900000,-0.878794,0.859447,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.816,839.443,36.938,653.816,839.443,41.810,881.253,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928815,6.676996,7.358409,-0.354318
29,0.933333,-0.878413,0.859209,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.949,839.360,36.938,653.949,839.360,41.810,881.170,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.929168,6.678268,7.355339,-0.355590
30,0.966667,-0.878559,0.859375,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.898,839.418,36.938,653.898,839.418,41.810,881.228,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.932065,6.666778,7.352269,-0.344100
31,1.000000,-0.878496,0.859513,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.920,839.466,36.770,653.920,839.466,41.810,881.276,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.936827,6.658965,7.349199,-0.336287
32,1.033333,-0.877988,0.859395,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.097,839.425,37.010,654.097,839.425,41.810,881.235,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.941768,6.666178,7.346129,-0.343501
33,1.066667,-0.880881,0.858864,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.089,839.240,36.846,653.089,839.240,41.810,881.050,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.944392,6.674597,7.343058,-0.351920
34,1.100000,-0.879730,0.859995,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.490,839.634,36.846,653.490,839.634,41.810,881.444,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.943467,6.675766,7.339988,-0.353089
35,1.133333,-0.879558,0.860285,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.550,839.735,36.846,653.550,839.735,41.810,881.545,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.940259,6.681797,7.336918,-0.359119
36,1.166667,-0.879624,0.859814,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.527,839.571,37.014,653.527,839.571,41.810,881.381,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.935537,6.680017,7.333848,-0.357339
37,1.200000,-0.879601,0.859513,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.535,839.466,36.600,653.535,839.466,41.810,881.276,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.931583,6.676761,7.330778,-0.354083
38,1.233333,-0.879925,0.859745,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.422,839.547,36.627,653.422,839.547,41.810,881.357,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.930020,6.669746,7.327708,-0.347068
39,1.266667,-0.879549,0.859453,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.553,839.445,36.786,653.553,839.445,41.810,881.255,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.928937,6.659429,7.324637,-0.336751
40,1.300000,-0.879412,0.859450,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.601,839.444,36.936,653.601,839.444,41.810,881.254,879.464,floor,ball_contact_events,0.687020,0.000000,0,1,0,1,0,1,floor,,floor,left_foot,0.930002,6.648218,7.321567,-0.325541
41,1.333333,-0.879417,0.859338,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.599,839.405,36.488,653.599,839.405,41.810,881.215,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.931678,6.635000,6.621242,-0.312323
42,1.366667,-0.879202,0.859188,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.674,839.353,36.708,653.674,839.353,41.810,881.163,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.935024,6.634801,6.616180,-0.312123
43,1.400000,-0.878766,0.858890,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.826,839.249,36.730,653.826,839.249,41.810,881.059,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.941473,6.633226,6.611118,-0.310548
44,1.433333,-0.878820,0.858514,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.807,839.118,36.730,653.807,839.118,41.810,880.928,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.948225,6.646417,6.606056,-0.323740
45,1.466667,-0.878955,0.858741,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.760,839.197,36.730,653.760,839.197,41.810,881.007,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.954336,6.645915,6.600995,-0.323237
46,1.500000,-0.878889,0.858775,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.783,839.209,36.730,653.783,839.209,41.810,881.019,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.959647,6.659759,6.595933,-0.337081
47,1.533333,-0.878786,0.858982,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.819,839.281,36.730,653.819,839.281,41.810,881.091,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.964267,6.652146,6.590871,-0.329469
48,1.566667,-0.878499,0.858853,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.919,839.236,36.706,653.919,839.236,41.810,881.046,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.968780,6.629023,6.585809,-0.306345
49,1.600000,-0.878863,0.859071,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.792,839.312,36.612,653.792,839.312,41.810,881.122,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.969056,6.647145,6.580747,-0.324468
50,1.633333,-0.879452,0.858439,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.587,839.092,36.736,653.587,839.092,41.810,880.902,879.464,floor,ball_contact_events,0.687020,0.000000,0,1,0,0,0,1,foot,left,left_foot,left_foot,0.972070,6.657468,6.575686,-0.334790
51,1.666667,-0.879756,0.857079,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.481,838.618,36.616,653.481,838.618,41.810,880.428,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,foot,left,left_foot,left_foot,0.970985,6.684716,6.570624,-0.362038
52,1.700000,-0.795882,0.710965,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,682.704,787.710,39.538,682.704,787.710,41.810,829.520,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.910504,6.355902,6.565562,-0.033224
53,1.733333,-0.797032,0.711640,6.322678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,682.303,787.945,39.386,682.303,787.945,41.810,829.755,879.464,floor,ball_contact_events,0.687020,0.000000,1,0,1,0,1,0,foot,right,right_foot,right_foot,0.866439,6.322678,6.560500,0.000000
