frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,lowest_visible_x,lowest_visible_y,lowest_visible_x1,lowest_visible_x2,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
37,1.200000,football,653.535,839.466,cotracker_box_center,1,653.085,838.284,cotracker_box_center,1,653.775,839.274,3618.5,618.000,807.000,690.000,870.000,72.000,63.000,663.000,869.000,655.000,671.000,36.600,71.915,66.496,1.142857,0.875304,0,,,,,,,,,,,,1.000000,0.875304,1.000000,1.000000,617.365,837.995,1.000000,688.804,839.921,1.000000,653.987,807.369,1.000000,653.017,869.199,1.000000
38,1.233333,football,653.422,839.547,cotracker_box_center,1,653.152,838.345,cotracker_box_center,1,653.833,839.268,3611.5,618.000,807.000,690.000,870.000,72.000,63.000,663.000,869.000,655.000,671.000,36.627,71.886,66.355,1.142857,0.873610,0,,,,,,,,,,,,1.000000,0.873610,1.000000,1.000000,617.589,837.896,1.000000,688.714,840.045,1.000000,653.931,807.454,1.000000,652.924,869.237,1.000000
39,1.266667,football,653.553,839.445,cotracker_box_center,1,653.814,838.171,cotracker_box_center,1,653.100,839.127,3651.0,617.000,807.000,690.000,870.000,73.000,63.000,663.500,869.000,656.000,671.000,36.786,71.953,66.901,1.158730,0.866039,0,,,,,,,,,,,,1.000000,0.866039,1.000000,1.000000,618.906,837.508,1.000000,688.722,839.996,1.000000,654.065,807.254,1.000000,652.879,869.088,1.000000
40,1.300000,football,653.601,839.444,cotracker_tb_center,1,653.481,838.188,cotracker_tb_center,1,652.879,839.222,3642.5,616.000,807.000,690.000,870.000,74.000,63.000,664.000,869.000,658.000,670.000,36.936,71.661,66.614,1.174603,0.862204,0,,,,,,,,,,,,0.750000,0.862204,0.862204,1.000000,619.210,837.256,0.000000,688.683,840.063,1.000000,654.075,807.272,1.000000,652.887,869.104,1.000000
41,1.333333,football,653.599,839.405,cotracker_tb_center,1,653.469,838.188,cotracker_tb_center,1,654.025,838.915,3557.5,618.000,807.000,690.000,870.000,72.000,63.000,665.000,869.000,660.000,670.000,36.488,71.368,65.177,1.142857,0.869463,0,,,,,,,,,,,,0.750000,0.869463,0.869463,1.000000,619.327,837.133,0.000000,688.680,839.991,1.000000,654.018,807.314,1.000000,652.920,869.062,1.000000
42,1.366667,football,653.674,839.353,cotracker_tb_center,1,653.546,838.162,cotracker_tb_center,1,652.995,839.179,3641.0,618.000,807.000,690.000,870.000,72.000,63.000,664.000,869.000,658.000,670.000,36.708,71.776,66.918,1.142857,0.869918,0,,,,,,,,,,,,0.750000,0.869918,0.869918,1.000000,619.572,837.247,0.000000,688.745,839.880,1.000000,654.032,807.290,1.000000,653.059,869.034,1.000000
43,1.400000,football,653.826,839.249,cotracker_tb_center,1,653.704,838.100,cotracker_tb_center,1,653.529,839.369,3634.5,618.000,807.000,690.000,870.000,72.000,63.000,663.500,869.000,656.000,671.000,36.730,71.778,67.088,1.142857,0.870205,0,,,,,,,,,,,,0.750000,0.870205,0.870205,1.000000,619.582,837.508,0.000000,688.832,839.677,1.000000,654.087,807.245,1.000000,653.320,868.956,1.000000
44,1.433333,football,653.807,839.118,cotracker_tb_center,1,653.766,838.099,cotracker_tb_center,1,653.520,839.368,3637.5,618.000,807.000,690.000,870.000,72.000,63.000,663.500,869.000,656.000,671.000,36.730,71.905,67.030,1.142857,0.870923,0,,,,,,,,,,,,0.750000,0.870923,0.870923,1.000000,619.299,837.506,0.000000,688.788,839.562,1.000000,654.069,807.263,1.000000,653.462,868.935,1.000000
45,1.466667,football,653.760,839.197,cotracker_tb_center,1,653.733,838.241,cotracker_tb_center,1,653.463,839.368,3638.0,618.000,807.000,690.000,870.000,72.000,63.000,664.000,869.000,657.000,671.000,36.730,71.640,67.049,1.142857,0.875515,0,,,,,,,,,,,,0.750000,0.875515,0.875515,1.000000,619.286,837.565,0.000000,688.661,839.569,1.000000,653.931,807.434,1.000000,653.536,869.047,1.000000
46,1.500000,football,653.783,839.209,cotracker_tb_center,1,653.850,838.156,cotracker_tb_center,1,653.522,839.378,3646.0,618.000,807.000,690.000,870.000,72.000,63.000,663.500,869.000,656.000,671.000,36.730,71.639,67.228,1.142857,0.877440,0,,,,,,,,,,,,0.750000,0.877440,0.877440,1.000000,619.377,837.614,0.000000,688.687,839.451,1.000000,654.128,807.342,1.000000,653.572,868.971,1.000000
